"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"1","L_0.5","L",0.5,0.717673635277085,0.761618367581356,0.0776750553059308,0.0419726574380212,0.0158553357516853,0,0,0.0625,0.00708391043397969,12905.9988072484,283.143411984349,2.78639385693941e-62,4
"2","LQ_0.5","LQ",0.5,0.722140241449283,0.71549846005055,0.0804056547413155,0.0640777195585632,0.0369535872944329,0.00164473684210526,1.08206371191136e-05,0.0953947368421053,0.00532375346260388,12816.759423836,193.904028571957,6.65469868752695e-43,8
"3","H_0.5","H",0.5,0.804317278806086,0.727487403573077,0.0538968049310972,0.0720355898616347,0.0467021358604229,0.0131578947368421,0.000346260387811634,0.175997734402231,0.0286300925278544,12757.9901355417,135.134740277745,3.84341430279823e-30,40
"4","LQH_0.5","LQH",0.5,0.803843013916664,0.725791709808706,0.0534902615527813,0.0722277931691631,0.0469516869547867,0.0131578947368421,0.000346260387811634,0.16941878703381,0.0265238662615962,12764.230426865,141.375031601016,1.69689573614243e-31,38
"5","LQHP_0.5","LQHP",0.5,0.803221917792128,0.718666293377359,0.0539250386374905,0.0751840248889397,0.0508737383865064,0.0131578947368421,0.000346260387811634,0.194089839665389,0.0395403761174051,12755.2433301054,132.387934841383,1.51767375479905e-29,44
"6","LQHPT_0.5","LQHPT",0.5,0.825368472984521,0.720383956186328,0.037083537493226,0.081549547266459,0.0411556336193734,0.0131578947368421,0.000346260387811634,0.192455995120251,0.0264604726060212,12844.7227676957,221.867372431707,5.63592790909252e-49,82
"7","L_1","L",1,0.717269849380519,0.762094891011793,0.0762380307431017,0.0424202619490932,0.0161953076144672,0,0,0.0625,0.00708391043397969,12914.7570614256,291.901666161626,3.49310607330917e-64,4
"8","LQ_1","LQ",1,0.720777647587416,0.725287033382541,0.0729940656329935,0.0545645514830886,0.0267956125069557,0.00164473684210526,1.08206371191136e-05,0.0805921052631579,0.00306945406278855,12829.8018018389,206.946406574898,9.7951704426409e-46,6
"9","H_1","H",1,0.797408869193926,0.737334321561731,0.042799384631545,0.0586256091045178,0.0309326583858815,0.0115131578947368,0.000241660895660203,0.146392471244336,0.0122124390573011,12626.6620732876,3.80667802358766,0.126544589109692,29
"10","LQH_1","LQH",1,0.796944882490963,0.737902225733127,0.0426840951399058,0.0592038266815744,0.0315458378436771,0.00822368421052632,0.000270515927977839,0.131578947368421,0.0105032317636196,12630.9503274604,8.09493219643809,0.0148272639181963,30
"11","LQHP_1","LQHP",1,0.796157867070746,0.737392307025,0.0449192342988873,0.0616732129454653,0.0342322667551503,0.00986842105263158,0.000245267774699908,0.125,0.00897391505078486,12631.7918807274,8.93648546344593,0.00973464341725093,30
"12","LQHPT_1","LQHPT",1,0.810583301764618,0.706987120179198,0.0393651099593384,0.0840827371158253,0.0367337931244129,0.0164473684210526,0.000476108033240997,0.177664255838271,0.0147311670945225,12622.855395264,0,0.848893503554861,52
