"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"1","L_0.5","L",0.5,0.717673635277085,0.761618367581356,0.0776750553059308,0.0419726574380212,0.0158553357516853,0,0,0.0625,0.00708391043397969,12905.9988072484,292.376425930519,3.22076025121919e-64,4
"2","LQ_0.5","LQ",0.5,0.722140241449283,0.71549846005055,0.0804056547413155,0.0640777195585632,0.0369535872944329,0.00164473684210526,1.08206371191136e-05,0.0953947368421053,0.00532375346260388,12816.759423836,203.137042518127,7.69208881337746e-45,8
"3","H_0.5","H",0.5,0.804317278806086,0.727487403573077,0.0538968049310972,0.0720355898616347,0.0467021358604229,0.0131578947368421,0.000346260387811634,0.175997734402231,0.0286300925278544,12757.9901355417,144.367754223915,4.4425578905836e-32,40
"4","LQH_0.5","LQH",0.5,0.803843013916664,0.725791709808706,0.0534902615527813,0.0722277931691631,0.0469516869547867,0.0131578947368421,0.000346260387811634,0.16941878703381,0.0265238662615962,12764.230426865,150.608045547186,1.96142204513542e-33,38
"5","LQHP_0.5","LQHP",0.5,0.803221917792128,0.718666293377359,0.0539250386374905,0.0751840248889397,0.0508737383865064,0.0131578947368421,0.000346260387811634,0.194089839665389,0.0395403761174051,12755.2433301054,141.620948787553,1.75426144139739e-31,44
"6","LQHPT_0.5","LQHPT",0.5,0.825368472984521,0.720383956186328,0.037083537493226,0.081549547266459,0.0411556336193734,0.0131578947368421,0.000346260387811634,0.192455995120251,0.0264604726060212,12844.7227676957,231.100386377877,6.51450351971429e-51,82
"7","L_2.5","L",2.5,0.715054166042634,0.767043828467253,0.0733117599085253,0.0427118273238629,0.0164187017400914,0,0,0.0592105263157895,0.00660780240073869,12927.558380215,313.935998897192,6.70434897243137e-69,3
"8","LQ_2.5","LQ",2.5,0.718523788128401,0.741316543391494,0.0588430121312832,0.0392047339270636,0.0138331004606267,0,0,0.0509868421052632,0.00122273199445983,12854.9380854058,241.315704087936,3.94142499945003e-53,5
"9","H_2.5","H",2.5,0.782018019129173,0.720380014766926,0.0363042988842703,0.0865598169245615,0.0164874398883689,0.00986842105263158,0.000389542936288089,0.0838815789473684,0.0066186230378578,12623.6605360614,10.0381547435827,0.00656047071280745,17
"10","LQH_2.5","LQH",2.5,0.777755508373785,0.729133819886997,0.0390757054281122,0.0752408179410888,0.0137237937789084,0.0148026315789474,0.000876471606648199,0.0921052631578947,0.0053381809787627,12636.5906199228,22.9682386049972,1.02141672600352e-05,18
"11","LQHP_2.5","LQHP",2.5,0.779035876743988,0.73295808399487,0.0432218095674932,0.072499428783291,0.0190172721032671,0.00986842105263158,0.000389542936288089,0.0888157894736842,0.00405413204062789,12627.3910280811,13.7686467632921,0.00101594208596452,18
"12","LQHPT_2.5","LQHPT",2.5,0.783230845131223,0.733503650220347,0.0376489359463921,0.0697841487073298,0.0193799533233575,0.0131578947368421,0.000692520775623269,0.095427413733008,0.00318189263615627,12613.6223813178,0,0.992413373033968,21
