"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"1","L_0.5","L",0.5,0.717673635277085,0.715788873485164,0.000224429892008178,0.0135747954857502,0.000184275072479945,0.003584229390681,2.5693400650043e-05,0.104068318908996,2.39233134412763e-05,12905.9988072484,292.376425930519,3.22076025121919e-64,4
"2","LQ_0.5","LQ",0.5,0.722140241449283,0.718234107672426,4.56083152704563e-05,0.0128985061269737,0.000166371460307579,0.003584229390681,2.5693400650043e-05,0.108002229215841,0.00202028220243815,12816.759423836,203.137042518127,7.69208881337746e-45,8
"3","H_0.5","H",0.5,0.804317278806086,0.785785961620182,0.000191008354858588,0.0210865656612405,0.000444643251385807,0.00537634408602151,5.78101514625968e-05,0.119022641839322,0.00420479532550684,12757.9901355417,144.367754223915,4.4425578905836e-32,40
"4","LQH_0.5","LQH",0.5,0.803843013916664,0.784858670240144,0.000210346117603627,0.0218250065565171,0.000476330911192016,0.00537634408602151,5.78101514625968e-05,0.129961097998077,0.00296414324877889,12764.230426865,150.608045547186,1.96142204513542e-33,38
"5","LQHP_0.5","LQHP",0.5,0.803221917792128,0.783213711956423,0.000216888606671755,0.0219414986865929,0.000481429364613758,0.00537634408602151,5.78101514625968e-05,0.133009878485882,0.00251324943024196,12755.2433301054,141.620948787553,1.75426144139739e-31,44
"6","LQHPT_0.5","LQHPT",0.5,0.825368472984521,0.789633513284992,9.59162763085351e-05,0.0348751881443833,0.000284909506348676,0.00869284902526445,6.3711019311082e-05,0.143494842206487,0.00367826122113993,12844.7227676957,231.100386377877,6.51450351971429e-51,82
"7","L_2.5","L",2.5,0.715054166042634,0.713835616699851,0.000311866878376161,0.0152291522232398,0.000231927077438609,0.0017921146953405,6.42335016251076e-06,0.0961786432380453,0.000120559674352119,12927.558380215,313.935998897192,6.70434897243137e-69,3
"8","LQ_2.5","LQ",2.5,0.718523788128401,0.714813572076265,8.90673016874983e-05,0.012116778778046,0.000146816327956105,0.0017921146953405,6.42335016251076e-06,0.0972495410437975,0.000884524226752255,12854.9380854058,241.315704087936,3.94142499945003e-53,5
"9","H_2.5","H",2.5,0.782018019129173,0.762944999255136,0.000136683172305425,0.0181202261698455,0.000328342596446353,0.00537634408602151,5.78101514625968e-05,0.106477838971938,0.00221872678867394,12623.6605360614,10.0381547435827,0.00656047071280745,17
"10","LQH_2.5","LQH",2.5,0.777755508373785,0.759791304266185,0.000129480979636085,0.0173311578006816,0.000300369030712125,0.00537634408602151,5.78101514625968e-05,0.108991170556867,0.00111631119709306,12636.5906199228,22.9682386049972,1.02141672600352e-05,18
"11","LQHP_2.5","LQHP",2.5,0.779035876743988,0.760347468724673,0.00010779855362658,0.0179420621652884,0.000321917594743075,0.00716845878136201,0.000102773602600172,0.099041655739138,0.00104170047188735,12627.3910280811,13.7686467632921,0.00101594208596452,18
"12","LQHPT_2.5","LQHPT",2.5,0.783230845131223,0.764219276191669,0.000185556285654984,0.0177168352817448,0.000313886252400477,0.00896057347670251,0.000160583754062769,0.105406941166186,0.000803290376978511,12613.6223813178,0,0.992413373033968,21
