"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"1","L_0.5","L",0.5,0.717954478720848,0.761499588797992,0.078159362678016,0.0418233464367083,0.0157427307644843,0,0,0.0597130242825607,0.0061358212034235,12777.5219899664,281.139278072131,4.7727443100514e-62,4
"2","LQ_0.5","LQ",0.5,0.722318862501891,0.714416289895448,0.0816735432216054,0.0651450093717332,0.0381948502143888,0.00166666666666667,1.11111111111111e-05,0.106302428256071,0.00797933862549888,12688.9113740151,192.528662120803,8.32374834234231e-43,8
"3","H_0.5","H",0.5,0.804548123893333,0.729590509693743,0.052570282589201,0.071864728967378,0.0464808534259923,0.0133112582781457,0.000355557504787802,0.167682119205298,0.0267628196943929,12626.5712577756,130.188545881269,2.8661781668152e-29,38
"4","LQH_0.5","LQH",0.5,0.804109164464455,0.727889756544801,0.0525118681881542,0.0724410020212513,0.0472292889645865,0.0133112582781457,0.000355557504787802,0.167682119205298,0.0264665233980966,12641.4584877344,145.075775840054,1.67719003145787e-32,40
"5","LQHP_0.5","LQHP",0.5,0.803412168074006,0.720927398252096,0.0527900999517203,0.0749455468855547,0.0505515149817738,0.0133112582781457,0.000355557504787802,0.185905077262693,0.0367212800933032,12627.514799588,131.13208769365,1.78819831844156e-29,43
"6","LQHPT_0.5","LQHPT",0.5,0.826248439172977,0.722809631177376,0.0381155253079874,0.0799873629366264,0.0426364503842289,0.015,0.000485185185185185,0.194304635761589,0.0264699007678351,12700.0876703827,203.704958488395,3.11470572504678e-45,83
"7","L_1","L",1,0.71757038922058,0.76219289702636,0.0767896681900726,0.0422337221061413,0.0160531855464489,0,0,0.0597130242825607,0.0061358212034235,12786.1460119626,289.763300068325,6.39860920101622e-64,4
"8","LQ_1","LQ",1,0.720869999792384,0.724720402309027,0.0736859708789377,0.0553494134960828,0.0275720181692431,0.00166666666666667,1.11111111111111e-05,0.0764679911699779,0.00274757020078717,12703.044488883,206.661776988714,7.10153189278262e-46,6
"9","H_1","H",1,0.797923692241985,0.738226106015354,0.0424360200345945,0.059305335854323,0.0316541057471464,0.011644591611479,0.000248051986024005,0.13953642384106,0.0130129763639347,12496.3827118943,0,0.533810024305189,28
"10","LQH_1","LQH",1,0.797216315054232,0.738511458566971,0.0424863824267617,0.0596428789256019,0.0320154570588061,0.00833333333333333,0.000277777777777778,0.134558498896247,0.011708726712766,12502.048166504,5.66545460969428,0.0314158552923226,29
"11","LQHP_1","LQHP",1,0.796546012142567,0.737679335229978,0.0447496629623431,0.0619542555800834,0.0345449680603406,0.00998896247240618,0.000251950450516303,0.129602649006623,0.00964703822281999,12502.2177384866,5.83502659226906,0.0288620250749171,29
"12","LQHPT_1","LQHPT",1,0.810687624013454,0.707954156878485,0.0406776575141489,0.0836296335056838,0.0388932142175887,0.0166335540838852,0.000488598940592274,0.176147902869757,0.0142860899538194,12496.9305186818,0.547806787493755,0.405912095327572,53
