"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"1","L_0.5","L",0.5,0.717954478720848,0.761499588797992,0.078159362678016,0.0418233464367083,0.0157427307644843,0,0,0.0597130242825607,0.0061358212034235,12777.5219899664,299.480643057797,9.29994562476433e-66,4
"2","LQ_0.5","LQ",0.5,0.722318862501891,0.714416289895448,0.0816735432216054,0.0651450093717332,0.0381948502143888,0.00166666666666667,1.11111111111111e-05,0.106302428256071,0.00797933862549888,12688.9113740151,210.87002710647,1.62192654685019e-46,8
"3","H_0.5","H",0.5,0.804548123893333,0.729590509693743,0.052570282589201,0.071864728967378,0.0464808534259923,0.0133112582781457,0.000355557504787802,0.167682119205298,0.0267628196943929,12626.5712577756,148.529910866935,5.58490029439288e-33,38
"4","LQH_0.5","LQH",0.5,0.804109164464455,0.727889756544801,0.0525118681881542,0.0724410020212513,0.0472292889645865,0.0133112582781457,0.000355557504787802,0.167682119205298,0.0264665233980966,12641.4584877344,163.417140825721,3.26809380131805e-36,40
"5","LQHP_0.5","LQHP",0.5,0.803412168074006,0.720927398252096,0.0527900999517203,0.0749455468855547,0.0505515149817738,0.0133112582781457,0.000355557504787802,0.185905077262693,0.0367212800933032,12627.514799588,149.473452679316,3.48439934081078e-33,43
"6","LQHPT_0.5","LQHPT",0.5,0.826248439172977,0.722809631177376,0.0381155253079874,0.0799873629366264,0.0426364503842289,0.015,0.000485185185185185,0.194304635761589,0.0264699007678351,12700.0876703827,222.046323474062,6.06916943341664e-49,83
"7","L_2.5","L",2.5,0.715408217439146,0.766962289431125,0.0738252635424513,0.0425499902282138,0.0162945150157898,0,0,0.0597130242825607,0.0061358212034235,12798.0089114924,319.967564583767,3.3098013164112e-70,3
"8","LQ_2.5","LQ",2.5,0.718519490688425,0.741185678365265,0.0591801672625991,0.0394708872913002,0.0140215584920627,0,0,0.0498675496688742,0.0011894741458708,12727.8746896211,249.833342712454,5.61377109460204e-55,5
"9","H_2.5","H",2.5,0.782362877082462,0.720828513022709,0.0373554406158633,0.0870539763859645,0.0175173332795351,0.01,4e-04,0.0898123620309051,0.00628476187691573,12496.3506909565,18.309344047866,0.00010569445996312,18
"10","LQH_2.5","LQH",2.5,0.777948072285941,0.728563444141453,0.0395243275502556,0.0765891441957246,0.0140809139846187,0.015,9e-04,0.093167770419426,0.00541938852584438,12506.1531631663,28.1118162576986,7.86090285382495e-07,17
"11","LQHP_2.5","LQHP",2.5,0.779132224664181,0.733083237910858,0.0434768876833754,0.0729888366893244,0.0194457486922703,0.0133333333333333,0.000711111111111111,0.093112582781457,0.00436183338287632,12495.2910677557,17.249720847045,0.000179533905572805,16
"12","LQHPT_2.5","LQHPT",2.5,0.783398732356352,0.732970673820401,0.0387750232190475,0.0723975496296992,0.0203742947331429,0.015,9e-04,0.10476821192053,0.00339709986728977,12478.0413469086,0,0.999713985544179,17
