variable,x,y
bio11,-333.7,1.1004154657712206E-4
bio11,-332.3632,1.1004154657712206E-4
bio11,-331.02639999999997,1.1004154657712206E-4
bio11,-329.6896,1.1004154657712206E-4
bio11,-328.3528,1.1004154657712206E-4
bio11,-327.01599999999996,1.1004154657712206E-4
bio11,-325.6792,1.1004154657712206E-4
bio11,-324.3424,1.1004154657712206E-4
bio11,-323.0056,1.1004154657712206E-4
bio11,-321.6688,1.1004154657712206E-4
bio11,-320.332,1.1004154657712206E-4
bio11,-318.9952,1.1004154657712206E-4
bio11,-317.6584,1.1004154657712206E-4
bio11,-316.3216,1.1004154657712206E-4
bio11,-314.9848,1.1004154657712206E-4
bio11,-313.64799999999997,1.1004154657712206E-4
bio11,-312.3112,1.1004154657712206E-4
bio11,-310.9744,1.1004154657712206E-4
bio11,-309.6376,1.1004154657712206E-4
bio11,-308.3008,1.1004154657712206E-4
bio11,-306.964,1.1004154657712206E-4
bio11,-305.6272,1.1004154657712206E-4
bio11,-304.2904,1.1004154657712206E-4
bio11,-302.9536,1.1004154657712206E-4
bio11,-301.6168,1.1004154657712206E-4
bio11,-300.28,1.1004154657712206E-4
bio11,-298.9432,1.1004154657712206E-4
bio11,-297.6064,1.1004154657712206E-4
bio11,-296.26959999999997,1.1004154657712206E-4
bio11,-294.9328,1.1004154657712206E-4
bio11,-293.596,1.1004154657712206E-4
bio11,-292.25919999999996,1.1004154657712206E-4
bio11,-290.9224,1.1004154657712206E-4
bio11,-289.5856,1.1004154657712206E-4
bio11,-288.24879999999996,1.1004154657712206E-4
bio11,-286.912,1.1004154657712206E-4
bio11,-285.5752,1.1004154657712206E-4
bio11,-284.2384,1.1004154657712206E-4
bio11,-282.9016,1.1004154657712206E-4
bio11,-281.5648,1.1004154657712206E-4
bio11,-280.228,1.1004154657712206E-4
bio11,-278.89119999999997,1.1004154657712206E-4
bio11,-277.5544,1.1145742610096931E-4
bio11,-276.2176,1.1580954742385074E-4
bio11,-274.8808,1.2032223457936198E-4
bio11,-273.544,1.2500111188273877E-4
bio11,-272.2072,1.2985193461645395E-4
bio11,-270.8704,1.3488071272149682E-4
bio11,-269.5336,1.4009331061970443E-4
bio11,-268.1968,1.45496116601862E-4
bio11,-266.86,1.5109578089322895E-4
bio11,-265.5232,1.568987063365057E-4
bio11,-264.1864,1.6291193605866283E-4
bio11,-262.8496,1.6914257139433175E-4
bio11,-261.51279999999997,1.7559809202793986E-4
bio11,-260.176,1.8228577391710132E-4
bio11,-258.8392,1.8921356240753084E-4
bio11,-257.50239999999997,1.9638947560451925E-4
bio11,-256.1656,2.0382196817081422E-4
bio11,-254.8288,2.1151924738660455E-4
bio11,-253.492,2.194902626797557E-4
bio11,-252.15519999999998,2.2774416720494628E-4
bio11,-250.8184,2.3629009956493974E-4
bio11,-249.48160000000001,2.4513789685443044E-4
bio11,-248.14479999999998,2.5429722154513E-4
bio11,-246.808,2.6377852191217244E-4
bio11,-245.47119999999998,2.7359207160770893E-4
bio11,-244.1344,2.8374887187965214E-4
bio11,-242.7976,2.9425989487208426E-4
bio11,-241.4608,3.051368403248489E-4
bio11,-240.124,3.163913497701287E-4
bio11,-238.78719999999998,3.280354430899024E-4
bio11,-237.4504,3.400819259695709E-4
bio11,-236.1136,3.5254337126389146E-4
bio11,-234.77679999999998,3.6543331225402653E-4
bio11,-233.44,3.787650784943253E-4
bio11,-232.1032,3.925529890693724E-4
bio11,-230.7664,4.0681115933693945E-4
bio11,-229.4296,4.215547232888639E-4
bio11,-228.0928,4.367986402940005E-4
bio11,-226.75599999999997,4.5255888835527003E-4
bio11,-225.4192,4.688512999564409E-4
bio11,-224.0824,4.8569278442300856E-4
bio11,-222.7456,5.031000473536551E-4
bio11,-221.40879999999999,5.210909876041114E-4
bio11,-220.072,5.396832129918039E-4
bio11,-218.7352,5.588956992141902E-4
bio11,-217.39839999999998,5.78746956307441E-4
bio11,-216.0616,5.992570659145713E-4
bio11,-214.7248,6.204458768479526E-4
bio11,-213.38799999999998,6.423337617889047E-4
bio11,-212.0512,6.649424321949482E-4
bio11,-210.7144,6.882931338623166E-4
bio11,-209.3776,7.124087424017489E-4
bio11,-208.0408,7.373116677626967E-4
bio11,-206.704,7.630260661244392E-4
bio11,-205.3672,7.895755697973073E-4
bio11,-204.0304,8.169855573214591E-4
bio11,-202.6936,8.452810579910874E-4
bio11,-201.3568,8.744887309148908E-4
bio11,-200.01999999999998,9.04634827747941E-4
bio11,-198.6832,9.357476374134421E-4
bio11,-197.3464,9.678546921350062E-4
bio11,-196.0096,0.00100098573602736
bio11,-194.6728,0.0010351696982979774
bio11,-193.33599999999998,0.001070437952876091
bio11,-191.9992,0.0011068210005760193
bio11,-190.6624,0.0011443517869338393
bio11,-189.3256,0.0011830622097477317
bio11,-187.9888,0.0012229870771989226
bio11,-186.652,0.0012641603825613856
bio11,-185.3152,0.0013066170504316688
bio11,-183.9784,0.0013503945665434003
bio11,-182.64159999999998,0.0013955289032310247
bio11,-181.3048,0.0014420594088733196
bio11,-179.968,0.0014900240348652005
bio11,-178.6312,0.0015394637593999505
bio11,-177.2944,0.001590418629348278
bio11,-175.95759999999999,0.0016429316019639373
bio11,-174.6208,0.001697044586762786
bio11,-173.284,0.0017528027528896928
bio11,-171.9472,0.0018102498725056648
bio11,-170.61039999999997,0.0018694334430620074
bio11,-169.2736,0.0019303992157801986
bio11,-167.9368,0.0019931967835873365
bio11,-166.6,0.0020578743424266577
bio11,-165.2632,0.0021244839299470186
bio11,-163.92639999999997,0.0021930753719061613
bio11,-162.5896,0.0022637033835053444
bio11,-161.2528,0.0023364205844700336
