x,y,species logistic values
1.0,1.0,0.005662949
2.0,2.0,2.7071917E-4
3.0,3.0,0.022835584
4.0,4.0,0.25648278
5.0,5.0,0.0028902332
6.0,6.0,0.012585661
7.0,7.0,0.06872955
8.0,8.0,0.014622036
9.0,9.0,0.17254548
10.0,10.0,0.0017924535
11.0,11.0,0.0038173741
12.0,12.0,5.920235E-4
13.0,13.0,0.07981015
14.0,14.0,0.3037359
15.0,15.0,0.17208478
16.0,16.0,0.036392864
17.0,17.0,0.20941868
18.0,18.0,0.0033126832
19.0,19.0,0.11274152
20.0,20.0,0.21466699
21.0,21.0,0.062472332
22.0,22.0,0.0040556756
23.0,23.0,0.031062076
24.0,24.0,3.7384572E-4
25.0,25.0,0.004008695
26.0,26.0,0.48520255
27.0,27.0,5.162459E-4
28.0,28.0,0.116819516
29.0,29.0,0.011938658
30.0,30.0,0.008740499
31.0,31.0,0.43306005
32.0,32.0,0.29672268
33.0,33.0,0.6119206
34.0,34.0,0.0023742465
35.0,35.0,0.12141497
36.0,36.0,0.012876269
37.0,37.0,0.21295197
38.0,38.0,4.6913497E-4
39.0,39.0,0.1674396
40.0,40.0,0.008488247
41.0,41.0,0.13715759
42.0,42.0,0.052400034
43.0,43.0,0.1480289
44.0,44.0,0.07940689
45.0,45.0,0.31512392
46.0,46.0,0.13064961
47.0,47.0,5.781646E-4
48.0,48.0,0.005217296
49.0,49.0,0.107013635
50.0,50.0,0.12738444
51.0,51.0,0.3435898
52.0,52.0,0.28506625
53.0,53.0,0.84724164
54.0,54.0,0.011597358
55.0,55.0,0.0017169032
56.0,56.0,0.0025835251
57.0,57.0,1.80899E-4
58.0,58.0,0.14593443
59.0,59.0,0.21709296
60.0,60.0,0.29093796
61.0,61.0,0.12018373
62.0,62.0,6.9278915E-4
63.0,63.0,0.5744197
64.0,64.0,0.01925461
65.0,65.0,0.04304354
66.0,66.0,0.005852776
67.0,67.0,0.115555875
68.0,68.0,0.11628493
69.0,69.0,6.285035E-4
70.0,70.0,0.1768952
71.0,71.0,0.0014392337
72.0,72.0,0.0035811388
73.0,73.0,0.0050058467
74.0,74.0,9.556558E-5
75.0,75.0,0.2889509
76.0,76.0,0.21156465
77.0,77.0,0.21107164
78.0,78.0,0.013218361
79.0,79.0,0.12835503
80.0,80.0,0.0018272032
81.0,81.0,0.29399365
82.0,82.0,0.07396699
83.0,83.0,0.12273101
84.0,84.0,0.004490948
85.0,85.0,0.20401281
86.0,86.0,0.0028503775
87.0,87.0,0.06881016
88.0,88.0,0.0011511791
89.0,89.0,0.00596966
90.0,90.0,0.0017296782
