Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.12642E-9,0.000000613,0.000016136,1,0,0
7.59062E-9,0.000001372,0.000019992,0.999902705,0,0
8.10248E-9,0.000002954,0.000021341,0.999708114,0,0
9.95675E-9,0.000010399,0.000026224,0.998929753,0,0
1.42866E-8,0.000025068,0.000037628,0.997859506,0,0
2.05207E-8,0.000051676,0.000054046,0.996400078,0,0
2.76713E-8,0.000101912,0.000072877,0.994454174,0,0
3.75645E-8,0.000250885,0.000098931,0.99007589,0,0
5.00151E-8,0.000503505,0.000131716,0.984335474,0,0
6.69733E-8,0.001001149,0.000176369,0.976065382,0,0
1.09785E-7,0.002507661,0.000289077,0.959233314,0,0
1.55208E-7,0.005013393,0.000408632,0.940747227,0,0
2.19638E-7,0.010010622,0.000578165,0.915061296,0,0
4.09364E-7,0.025016334,0.001077056,0.868262308,0,0
6.37139E-7,0.050006548,0.001675337,0.82146332,0,0
1.02182E-6,0.100086074,0.002684137,0.762599728,0,0
1.59649E-6,0.200038425,0.004187356,0.686514886,0,0
2.41165E-6,0.300048207,0.006311894,0.636991633,0,0
3.64083E-6,0.400195786,0.009498421,0.604203152,0,0
4.77747E-6,0.500064199,0.012426908,0.581436077,0,0
5.94558E-6,0.600064597,0.015418505,0.563241876,0,0
7.10334E-6,0.700136529,0.01836574,0.548258416,0,0
7.83448E-6,0.750456612,0.020217898,0.541739638,0,0
8.5806E-6,0.800525069,0.022100787,0.535804631,0,0
1.00332E-5,0.900857354,0.025745954,0.52529675,0,0
1.15245E-5,1.000616862,0.029459864,0.516248297,0,0
1.33381E-5,1.10089696,0.033938587,0.508270091,0,0
1.46529E-5,1.200653615,0.037159952,0.501362133,0,0
1.64015E-5,1.30144039,0.041410573,0.495037945,0.003333333,0
1.78995E-5,1.401307129,0.045022457,0.489394824,0.006666667,0
1.9384E-5,1.500110038,0.048575231,0.484238179,0.006666667,0
2.30457E-5,1.750355423,0.057226017,0.472854641,0.016666667,0
2.55836E-5,2.001775332,0.063130157,0.462833236,0.02,0
2.78743E-5,2.25027883,0.068396057,0.453784783,0.02,0
3.0309E-5,2.501235899,0.073928655,0.445417396,0.02,0
3.23895E-5,2.752696266,0.078604373,0.437633781,0.02,0
3.44574E-5,3.002766588,0.083205295,0.430336641,0.02,0
3.60748E-5,3.250134383,0.086771837,0.423525978,0.02,0
3.80989E-5,3.502878391,0.091196551,0.416909905,0.02,0
3.98367E-5,3.752092163,0.094961248,0.410683012,0.02,0
4.10814E-5,4.003041546,0.097638605,0.40465071,0.02,0
4.25224E-5,4.253591746,0.100718605,0.398812999,0.02,0
4.39793E-5,4.504272809,0.10381122,0.393169877,0.02,0
4.53277E-5,4.750145094,0.106654474,0.387818642,0.02,0
4.66048E-5,5.003193691,0.109330972,0.382467406,0.02,0
4.7721E-5,5.253130214,0.111657002,0.377310761,0.02,0
4.87436E-5,5.504059441,0.113777431,0.372251411,0.02,0
4.97075E-5,5.750061908,0.115767063,0.367386651,0.02,0
5.05883E-5,6.000797618,0.117577137,0.362521891,0.02,0
5.1443E-5,6.250881785,0.11932667,0.357754427,0.02,0
5.26253E-5,6.500703149,0.121735282,0.353084258,0.02,0
5.37974E-5,6.750823259,0.124109951,0.348511384,0.02,0
5.50185E-5,7.000761749,0.12657054,0.344035805,0.02,0
5.60322E-5,7.250566514,0.128602759,0.339657521,0.026666667,0
5.71209E-5,7.505527755,0.130774569,0.335279237,0.026666667,0
5.84057E-5,7.753645029,0.133323921,0.331095544,0.026666667,0
5.9945E-5,8.002405355,0.136358553,0.327009146,0.03,0
6.10168E-5,8.250490117,0.138459137,0.323020043,0.03,0
6.22892E-5,8.503576266,0.140939449,0.31903094,0.03,0
6.33531E-5,8.755078996,0.143002406,0.315139132,0.03,0
6.44631E-5,9.004776581,0.145144401,0.31134462,0.03,0
6.58947E-5,9.252736705,0.147891095,0.307647402,0.03,0
6.6877E-5,9.504963916,0.149765487,0.303950185,0.033333333,0
6.81444E-5,9.754627819,0.152171726,0.300350263,0.033333333,0
6.90601E-5,10.001802287,0.153902,0.296847636,0.04,0
7.00168E-5,10.252143658,0.155701982,0.293345009,0.04,0
7.11916E-5,10.50652445,0.157902037,0.289842382,0.04,0
7.20462E-5,10.750088282,0.159495071,0.286534345,0.043333333,0
7.2712E-5,11.003434929,0.160732244,0.283129013,0.043333333,0
7.33293E-5,11.251729799,0.161875898,0.279820977,0.043333333,0
7.39749E-5,11.502054422,0.163068686,0.27651294,0.043333333,0
7.48639E-5,11.755105694,0.164705515,0.273204904,0.043333333,0
