Predictor variable,Categorical,Sample average
bio1,false,206.14
bio10,false,261.8066666666667
bio11,false,144.43333333333334
bio12,false,1233.7733333333333
bio13,false,196.40333333333334
bio14,false,36.9
bio15,false,53.87
bio16,false,515.76
bio17,false,132.59666666666666
bio18,false,337.3433333333333
bio19,false,213.00666666666666
bio2,false,125.72333333333333
bio3,false,53.086666666666666
bio4,false,4578.966666666666
bio5,false,330.8233333333333
bio6,false,72.27666666666667
bio7,false,258.5466666666667
bio8,false,233.55333333333334
bio9,false,173.76
