x,y,species logistic values
1.0,1.0,0.3884553
2.0,2.0,0.40451002
3.0,3.0,0.56215996
4.0,4.0,0.49564075
5.0,5.0,0.41277528
6.0,6.0,0.52217203
7.0,7.0,0.45075902
8.0,8.0,0.08801415
9.0,9.0,0.48540226
10.0,10.0,0.43591094
11.0,11.0,0.44258836
12.0,12.0,0.42356923
13.0,13.0,0.44638422
14.0,14.0,0.43870115
15.0,15.0,0.33921567
16.0,16.0,0.40959212
17.0,17.0,0.5381776
18.0,18.0,0.37037942
19.0,19.0,0.48040232
20.0,20.0,0.47781798
21.0,21.0,0.3706685
22.0,22.0,0.3952809
23.0,23.0,0.19499925
24.0,24.0,0.4664665
25.0,25.0,0.50652003
26.0,26.0,0.50439715
27.0,27.0,0.43511167
28.0,28.0,0.5452319
29.0,29.0,0.434322
30.0,30.0,0.43743318
31.0,31.0,0.4370406
32.0,32.0,0.3883711
33.0,33.0,0.42520797
34.0,34.0,0.27801976
35.0,35.0,0.39346686
36.0,36.0,0.43666357
37.0,37.0,0.41514662
38.0,38.0,0.43182224
39.0,39.0,0.42209357
40.0,40.0,0.36896262
41.0,41.0,0.40790513
42.0,42.0,0.44503945
43.0,43.0,0.4581746
44.0,44.0,0.53653044
45.0,45.0,0.3676408
46.0,46.0,0.38368604
47.0,47.0,0.4673924
48.0,48.0,0.4154087
49.0,49.0,0.45764843
50.0,50.0,0.55808747
51.0,51.0,0.37813056
52.0,52.0,0.48526433
53.0,53.0,0.277807
54.0,54.0,0.37979138
55.0,55.0,0.24989416
56.0,56.0,0.3840468
57.0,57.0,0.51999295
58.0,58.0,0.44812858
59.0,59.0,0.48439893
60.0,60.0,0.42471492
61.0,61.0,0.4199134
62.0,62.0,0.40659282
63.0,63.0,0.25612077
64.0,64.0,0.42186606
65.0,65.0,0.20454508
66.0,66.0,0.41713777
67.0,67.0,0.45904195
68.0,68.0,0.4418616
69.0,69.0,0.510375
70.0,70.0,0.3329976
71.0,71.0,0.48672536
72.0,72.0,0.42661035
73.0,73.0,0.1517571
74.0,74.0,0.12745734
75.0,75.0,0.4127127
76.0,76.0,0.4339298
77.0,77.0,0.534836
78.0,78.0,0.40881383
79.0,79.0,0.5391879
80.0,80.0,0.2957691
81.0,81.0,0.27752018
82.0,82.0,0.167747
83.0,83.0,0.46245232
84.0,84.0,0.35450804
85.0,85.0,0.4531163
86.0,86.0,0.5666764
87.0,87.0,0.5325746
88.0,88.0,0.6053003
89.0,89.0,0.4364393
90.0,90.0,0.11753984
91.0,91.0,0.31797612
92.0,92.0,0.08748903
93.0,93.0,0.17867151
94.0,94.0,0.26916888
95.0,95.0,0.40619403
96.0,96.0,0.4451262
97.0,97.0,0.34969592
98.0,98.0,0.47105378
99.0,99.0,0.40206268
100.0,100.0,0.4951224
101.0,101.0,0.44759977
102.0,102.0,0.5575219
103.0,103.0,0.45712024
104.0,104.0,0.49648884
105.0,105.0,0.43856993
106.0,106.0,0.4573121
107.0,107.0,0.37016037
108.0,108.0,0.17658526
109.0,109.0,0.41516447
110.0,110.0,0.21636489
111.0,111.0,0.53621095
112.0,112.0,0.40362117
113.0,113.0,0.39958128
114.0,114.0,0.292834
115.0,115.0,0.54114807
116.0,116.0,0.3482866
117.0,117.0,0.3898598
118.0,118.0,0.52339476
119.0,119.0,0.20190299
120.0,120.0,0.4542832
121.0,121.0,0.31822658
122.0,122.0,0.51029634
123.0,123.0,0.5652846
124.0,124.0,0.50342
125.0,125.0,0.56971335
126.0,126.0,0.42462814
127.0,127.0,0.35266203
128.0,128.0,0.3866017
129.0,129.0,0.40103018
130.0,130.0,0.29684395
131.0,131.0,0.5549958
132.0,132.0,0.31812036
133.0,133.0,0.48769256
134.0,134.0,0.46810248
135.0,135.0,0.56420565
136.0,136.0,0.4141541
137.0,137.0,0.5640619
138.0,138.0,0.39609125
139.0,139.0,0.32358107
140.0,140.0,0.13618797
141.0,141.0,0.42545512
142.0,142.0,0.4075518
143.0,143.0,0.3774294
144.0,144.0,0.5802844
145.0,145.0,0.42050618
146.0,146.0,0.415877
147.0,147.0,0.5482197
148.0,148.0,0.42729795
149.0,149.0,0.34141114
150.0,150.0,0.48675513
151.0,151.0,0.44248873
152.0,152.0,0.43561763
153.0,153.0,0.21474831
154.0,154.0,0.45319745
155.0,155.0,0.4649161
156.0,156.0,0.26588756
157.0,157.0,0.43302038
158.0,158.0,0.29835895
159.0,159.0,0.4396622
160.0,160.0,0.42072558
161.0,161.0,0.39949632
162.0,162.0,0.36148134
163.0,163.0,0.39180902
164.0,164.0,0.38962868
165.0,165.0,0.3867258
166.0,166.0,0.42160016
167.0,167.0,0.4364154
168.0,168.0,0.44552433
169.0,169.0,0.5712026
170.0,170.0,0.29269695
171.0,171.0,0.4370904
172.0,172.0,0.43102455
173.0,173.0,0.10606412
174.0,174.0,0.3750153
175.0,175.0,0.30273107
176.0,176.0,0.39667326
177.0,177.0,0.38651422
178.0,178.0,0.5270624
179.0,179.0,0.46183434
180.0,180.0,0.33453125
181.0,181.0,0.37798482
182.0,182.0,0.41719368
183.0,183.0,0.3040905
184.0,184.0,0.4307421
185.0,185.0,0.44390625
186.0,186.0,0.47725797
187.0,187.0,0.57711804
188.0,188.0,0.2684376
189.0,189.0,0.4289854
190.0,190.0,0.112529844
191.0,191.0,0.46848527
192.0,192.0,0.45829225
193.0,193.0,0.38713026
194.0,194.0,0.4451819
195.0,195.0,0.42512783
196.0,196.0,0.37117139
197.0,197.0,0.50476307
198.0,198.0,0.4346094
199.0,199.0,0.45295817
200.0,200.0,0.31676072
201.0,201.0,0.38629106
202.0,202.0,0.43213677
203.0,203.0,0.4455288
204.0,204.0,0.33952513
205.0,205.0,0.46981722
206.0,206.0,0.19839825
207.0,207.0,0.41736183
208.0,208.0,0.5572303
209.0,209.0,0.383815
210.0,210.0,0.41297942
211.0,211.0,0.41145626
212.0,212.0,0.4725008
213.0,213.0,0.49734986
214.0,214.0,0.61618656
215.0,215.0,0.42078558
216.0,216.0,0.42479265
217.0,217.0,0.4970516
218.0,218.0,0.39646104
219.0,219.0,0.20939574
220.0,220.0,0.17515883
221.0,221.0,0.42523375
222.0,222.0,0.39780608
223.0,223.0,0.12527183
224.0,224.0,0.15114717
225.0,225.0,0.5084924
226.0,226.0,0.15444905
227.0,227.0,0.41874936
228.0,228.0,0.5836782
229.0,229.0,0.49557167
230.0,230.0,0.43005285
231.0,231.0,0.4237334
232.0,232.0,0.28737295
233.0,233.0,0.4183823
234.0,234.0,0.52300197
235.0,235.0,0.55002666
236.0,236.0,0.47694415
237.0,237.0,0.4201947
238.0,238.0,0.5564372
239.0,239.0,0.34551224
240.0,240.0,0.47379747
241.0,241.0,0.65454173
242.0,242.0,0.37051103
243.0,243.0,0.3673884
244.0,244.0,0.23267932
245.0,245.0,0.40920103
246.0,246.0,0.4097734
247.0,247.0,0.38662428
248.0,248.0,0.5424575
249.0,249.0,0.39842898
250.0,250.0,0.39871857
251.0,251.0,0.3771388
252.0,252.0,0.53069854
253.0,253.0,0.4269329
254.0,254.0,0.5691282
255.0,255.0,0.44284743
256.0,256.0,0.21198979
257.0,257.0,0.27551982
258.0,258.0,0.56977195
259.0,259.0,0.4864985
260.0,260.0,0.41678455
261.0,261.0,0.44054064
262.0,262.0,0.3187825
263.0,263.0,0.40511745
264.0,264.0,0.55349016
265.0,265.0,0.35542268
266.0,266.0,0.44525683
267.0,267.0,0.42667943
268.0,268.0,0.4326283
269.0,269.0,0.5160665
270.0,270.0,0.44191736
271.0,271.0,0.3977797
272.0,272.0,0.53207874
273.0,273.0,0.4098138
274.0,274.0,0.13861972
275.0,275.0,0.5477217
276.0,276.0,0.5652777
277.0,277.0,0.56638056
278.0,278.0,0.36747947
279.0,279.0,0.3583095
280.0,280.0,0.44303268
281.0,281.0,0.32966632
282.0,282.0,0.50859725
283.0,283.0,0.41726068
284.0,284.0,0.38901272
285.0,285.0,0.40259317
286.0,286.0,0.27836585
287.0,287.0,0.37810665
288.0,288.0,0.11178106
289.0,289.0,0.56478727
290.0,290.0,0.32855064
291.0,291.0,0.36265993
292.0,292.0,0.295483
293.0,293.0,0.30938604
294.0,294.0,0.44834554
295.0,295.0,0.50586814
296.0,296.0,0.56489205
297.0,297.0,0.520507
298.0,298.0,0.4490485
299.0,299.0,0.47205874
300.0,300.0,0.4638006
301.0,301.0,0.47383404
302.0,302.0,0.4475924
303.0,303.0,0.55676347
304.0,304.0,0.4917274
305.0,305.0,0.5546818
306.0,306.0,0.30996305
307.0,307.0,0.2820432
