X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.0019221791779652398,51.000284985718594,0.5174745317248146
2.0,2.0,train,0.002107296273610718,58.88761832956296,0.5403800694910114
3.0,3.0,train,0.0023367566184870577,75.64314929704535,0.5659217457237288
4.0,4.0,train,0.0013370833912933733,20.36866116561755,0.4272592360189598
5.0,5.0,train,0.0019058228583565511,50.186998203311056,0.5153404182734596
6.0,6.0,train,0.001666869600698067,40.074237745440314,0.4818615761480872
7.0,7.0,train,0.0022156366022415153,64.08062955954317,0.5528040770713457
8.0,8.0,train,0.00199981342418675,53.30991480890031,0.5273529052785987
9.0,9.0,train,0.0022347845085209524,68.31234125785926,0.5549303644703024
10.0,10.0,train,0.0012653000950085538,14.368953012597553,0.4138132593535703
11.0,11.0,train,0.0028764377100230203,95.58858010025683,0.616098228891888
12.0,12.0,train,0.0018447596027794566,48.31314563111437,0.5072035135325081
13.0,13.0,train,0.0022290058236527754,66.30009817723759,0.5542908013014355
14.0,14.0,train,0.002234582186757492,66.98455169622758,0.5549080032642362
15.0,15.0,train,0.002362145739942498,77.52548097416596,0.5685744961249255
16.0,16.0,train,0.0013717063684488598,23.08115539302198,0.43352648551059114
17.0,17.0,train,0.0022021733470554542,63.63837081666916,0.5512968387995991
18.0,18.0,train,0.0039049536561881694,100.0,0.6854026677581999
19.0,19.0,train,0.0013316952886511988,19.83228112892114,0.42627142171869775
20.0,20.0,train,0.0018721636460082975,49.430474644326154,0.5108887450273566
21.0,21.0,train,0.0033549786212436197,98.92584412350665,0.651789045776778
22.0,22.0,train,0.0026486757745231896,89.22488181148026,0.5964095291961546
23.0,23.0,train,0.002216086658915794,64.30070921830239,0.5528542869283297
24.0,24.0,train,0.002366974579712809,78.2376093825879,0.5690753658739246
25.0,25.0,train,0.0015578757854534458,34.57963444326521,0.4650048845011858
26.0,26.0,train,0.002234582186757492,66.98455169622758,0.5549080032642362
27.0,27.0,train,0.002216944940645995,64.74682969245772,0.5529500085177406
28.0,28.0,train,0.0018320845743560969,47.02648635596024,0.505480156986022
29.0,29.0,train,0.002749380289092902,92.19976110157894,0.6053583866990153
30.0,30.0,train,0.0012827179615557984,15.515341881223042,0.4171335406966164
31.0,31.0,train,0.0014422287429324554,28.576704810603843,0.4458770704893345
32.0,32.0,train,0.001210769519268653,11.653929104754464,0.4031693276594337
33.0,33.0,train,0.001840313402045627,48.12882717072652,0.506600356534522
34.0,34.0,train,0.001418360381848022,26.262660818241887,0.44175774319391997
35.0,35.0,train,0.002103856502103732,58.67694748480576,0.5399742943675627
36.0,36.0,train,0.0024169165404147124,80.38321427642033,0.5741881740594785
37.0,37.0,train,0.0015038944077514745,31.521186305983303,0.45624349234132294
38.0,38.0,train,0.0019204209856604896,50.76222089714954,0.5172460311275356
39.0,39.0,train,0.0017619652668935807,45.03613861570675,0.49572432686082213
