x,y,species logistic values
1.0,1.0,0.27027628
2.0,2.0,0.3894638
3.0,3.0,0.23251976
4.0,4.0,0.27944526
5.0,5.0,0.18195789
6.0,6.0,0.36521396
7.0,7.0,0.71141243
8.0,8.0,0.44583708
9.0,9.0,0.0015670022
10.0,10.0,0.2379193
11.0,11.0,0.08328155
12.0,12.0,0.20756748
13.0,13.0,0.010898842
14.0,14.0,0.2912388
15.0,15.0,0.30475426
16.0,16.0,0.43733624
17.0,17.0,0.07072873
18.0,18.0,0.5938688
19.0,19.0,0.020419197
20.0,20.0,0.58493084
21.0,21.0,0.3699825
22.0,22.0,0.5736064
23.0,23.0,0.30590987
24.0,24.0,0.35910013
25.0,25.0,0.4182095
26.0,26.0,0.13038033
27.0,27.0,0.008459326
28.0,28.0,0.21396942
29.0,29.0,0.030290429
30.0,30.0,0.34615687
31.0,31.0,0.3875965
32.0,32.0,0.30345085
33.0,33.0,0.25082594
34.0,34.0,0.19400646
35.0,35.0,0.6593284
36.0,36.0,0.25220236
37.0,37.0,0.30224574
38.0,38.0,0.28995866
39.0,39.0,0.28404486
40.0,40.0,0.01750772
41.0,41.0,0.39759615
42.0,42.0,0.33353537
43.0,43.0,0.21815087
44.0,44.0,0.12861049
45.0,45.0,0.33068967
46.0,46.0,0.22838068
47.0,47.0,0.053194076
48.0,48.0,0.015260407
49.0,49.0,0.33645326
50.0,50.0,0.12987356
51.0,51.0,0.5678422
52.0,52.0,0.38019288
53.0,53.0,0.38743535
54.0,54.0,0.08856541
55.0,55.0,0.08191584
56.0,56.0,0.014545269
57.0,57.0,0.4099863
58.0,58.0,0.28711122
59.0,59.0,0.002175857
60.0,60.0,0.28707942
61.0,61.0,0.41030425
62.0,62.0,0.23597945
63.0,63.0,0.21641819
64.0,64.0,0.32239047
65.0,65.0,0.21906364
66.0,66.0,0.20592381
67.0,67.0,0.029869009
68.0,68.0,0.30597478
69.0,69.0,0.40261483
70.0,70.0,0.30472317
71.0,71.0,0.68654215
72.0,72.0,0.4236801
73.0,73.0,0.09704082
74.0,74.0,0.45824718
75.0,75.0,0.688198
76.0,76.0,0.36841714
77.0,77.0,0.38231704
78.0,78.0,0.3687895
79.0,79.0,0.007330496
80.0,80.0,0.14231548
81.0,81.0,0.0051045106
82.0,82.0,0.5244445
83.0,83.0,0.2676274
84.0,84.0,0.17011996
85.0,85.0,0.22795713
86.0,86.0,0.28739437
87.0,87.0,0.3705853
88.0,88.0,0.017201532
89.0,89.0,0.02861782
90.0,90.0,0.59033525
91.0,91.0,0.3094672
92.0,92.0,0.10393344
93.0,93.0,0.522762
94.0,94.0,0.070081405
95.0,95.0,0.022315312
96.0,96.0,0.19441646
97.0,97.0,0.04634388
98.0,98.0,0.12612006
99.0,99.0,0.40729806
100.0,100.0,0.6840473
101.0,101.0,0.4823186
102.0,102.0,0.32666197
103.0,103.0,0.34951603
104.0,104.0,0.63941264
105.0,105.0,0.18423119
106.0,106.0,0.4695084
107.0,107.0,0.22896239
108.0,108.0,0.1625868
109.0,109.0,0.091264285
110.0,110.0,0.26181173
111.0,111.0,0.2404151
112.0,112.0,0.31343982
113.0,113.0,0.19861117
114.0,114.0,0.034487203
115.0,115.0,0.30679253
116.0,116.0,0.036083266
117.0,117.0,0.19047159
118.0,118.0,0.44221678
119.0,119.0,0.042270742
120.0,120.0,0.15099682
121.0,121.0,0.33294293
122.0,122.0,0.42903304
123.0,123.0,0.08182476
124.0,124.0,0.40014234
125.0,125.0,0.27529934
126.0,126.0,0.2010899
127.0,127.0,0.11317828
128.0,128.0,0.3141268
129.0,129.0,0.31858695
130.0,130.0,0.25650555
131.0,131.0,0.22943702
132.0,132.0,0.034385093
133.0,133.0,0.46933657
134.0,134.0,0.09608492
135.0,135.0,0.5816534
136.0,136.0,0.04138287
137.0,137.0,0.37647426
138.0,138.0,0.42003465
139.0,139.0,0.043427944
140.0,140.0,0.08437823
141.0,141.0,0.20185868
142.0,142.0,0.2650744
143.0,143.0,0.4071574
144.0,144.0,0.208318
145.0,145.0,0.22908711
146.0,146.0,0.32985172
147.0,147.0,0.33743536
148.0,148.0,0.005341801
149.0,149.0,0.37938482
150.0,150.0,0.05836898
151.0,151.0,0.3019955
152.0,152.0,0.29213402
153.0,153.0,0.27880308
154.0,154.0,0.6159748
155.0,155.0,0.28856438
156.0,156.0,0.24821864
157.0,157.0,0.2625274
158.0,158.0,0.53915524
159.0,159.0,0.38691753
160.0,160.0,0.3961668
161.0,161.0,0.25982797
162.0,162.0,0.2506426
163.0,163.0,0.27052903
164.0,164.0,0.07721006
165.0,165.0,0.48440337
166.0,166.0,0.4027097
167.0,167.0,0.089791
168.0,168.0,0.27403107
169.0,169.0,0.24018435
170.0,170.0,0.51373947
171.0,171.0,0.08422971
172.0,172.0,0.37627757
173.0,173.0,0.26308548
