Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.59972E-7,0.000065997,0.00058318,1,0,0
8.07854E-7,0.000146783,0.000713761,0.999294781,0,0
9.21199E-7,0.000328419,0.000813823,0.997884344,0,0
1.0757E-6,0.000542933,0.000950183,0.996473907,0,0
1.1998E-6,0.001007073,0.001059686,0.993653032,0,0
1.64142E-6,0.002579889,0.001449176,0.985895628,0,0
2.49923E-6,0.005138433,0.002204843,0.977433004,0,0
4.105E-6,0.010048958,0.003616345,0.966854725,0,0
7.84269E-6,0.025624973,0.006886432,0.947813822,0,0
1.62139E-5,0.050358289,0.014133025,0.931593794,0,0
2.57261E-5,0.102404827,0.022240075,0.914668547,0,0
3.77704E-5,0.20141174,0.032315822,0.89280677,0,0
4.69266E-5,0.303871029,0.039837666,0.875881523,0,0
5.53365E-5,0.400990801,0.046644141,0.86248237,0,0
6.84626E-5,0.505855723,0.057076807,0.850493653,0,0
8.18435E-5,0.604290851,0.067479621,0.841325811,0,0
9.36747E-5,0.702198184,0.076488268,0.833568406,0.00330033,0
9.52113E-5,0.758900776,0.077645535,0.829337094,0.00330033,0
1.00029E-4,0.807626159,0.081255513,0.825811001,0.00330033,0
1.06702E-4,0.900187051,0.086208542,0.819464034,0.00330033,0
1.14775E-4,1.011036272,0.092129753,0.812411848,0.00330033,0
1.20615E-4,1.106154303,0.096366282,0.806770099,0.00330033,0
1.3004E-4,1.208103914,0.103119593,0.80112835,0.00660066,0
1.35434E-4,1.301071819,0.106939507,0.796191819,0.00660066,0
1.4643E-4,1.413427565,0.114626979,0.790550071,0.00660066,0
1.54701E-4,1.503269639,0.120322298,0.786318759,0.00660066,0
1.74374E-4,1.752255221,0.13357996,0.77574048,0.00660066,0
2.02067E-4,2.019935479,0.151578295,0.765867419,0.00660066,0
2.16407E-4,2.271104655,0.160607418,0.757404795,0.00660066,0
2.2497E-4,2.514006412,0.16590861,0.749647391,0.00990099,0
2.33442E-4,2.767185043,0.171087563,0.741889986,0.00990099,0
2.43471E-4,3.004956289,0.177135248,0.7348378,0.01320132,0
2.55153E-4,3.255162146,0.184070278,0.727785614,0.01320132,0
2.6683E-4,3.516944951,0.190886129,0.720733427,0.01320132,0
2.74329E-4,3.762033785,0.195203464,0.71438646,0.01980198,0
2.83227E-4,4.014358522,0.200266929,0.708039492,0.02310231,0
2.88972E-4,4.27220518,0.203502807,0.701692525,0.02310231,0
2.94883E-4,4.505896311,0.206804358,0.696050776,0.02640264,0
2.99955E-4,4.774036063,0.209616147,0.689703808,0.02640264,0
3.0437E-4,5.015885644,0.212047033,0.684062059,0.02640264,0
3.09266E-4,5.261240633,0.214725734,0.67842031,0.02640264,0
3.16893E-4,5.511014358,0.218862265,0.672778561,0.02970297,0
3.23601E-4,5.766889628,0.222464298,0.667136812,0.02970297,0
3.31153E-4,6.028301667,0.226480265,0.661495063,0.02970297,0
3.33264E-4,6.261311324,0.227595346,0.656558533,0.02970297,0
3.39304E-4,6.530860603,0.230768516,0.650916784,0.0330033,0
3.4249E-4,6.769844502,0.232431753,0.645980254,0.0330033,0
3.46491E-4,7.011671172,0.234510095,0.641043724,0.0330033,0
3.51552E-4,7.256480936,0.237123087,0.636107193,0.0330033,0
3.54392E-4,7.503967874,0.238581512,0.631170663,0.0330033,0
3.58086E-4,7.753601047,0.24047067,0.626234133,0.0330033,0
3.6087E-4,8.005525778,0.241887761,0.621297602,0.0330033,0
3.63113E-4,8.259339393,0.24302595,0.616361072,0.0330033,0
3.66173E-4,8.514522251,0.244573215,0.611424542,0.0330033,0
3.69426E-4,8.772376153,0.246210839,0.606488011,0.03630363,0
3.73404E-4,9.032384928,0.24820423,0.601551481,0.03960396,0
3.76494E-4,9.257871574,0.249744893,0.597320169,0.03960396,0
3.82458E-4,9.523508565,0.252701659,0.592383639,0.03960396,0
3.87207E-4,9.754546806,0.255039122,0.588152327,0.03960396,0
3.88833E-4,10.026301248,0.255836157,0.583215797,0.04290429,0
3.93011E-4,10.261294193,0.257876141,0.578984485,0.04290429,0
3.96421E-4,10.537908562,0.259532989,0.574047955,0.04620462,0
4.00886E-4,10.777849158,0.261691204,0.569816643,0.04620462,0
