Predictor variable,Categorical,Sample average
bio1,false,209.35333333333332
bio10,false,261.0233333333333
bio11,false,152.09
bio12,false,1324.8
bio13,false,209.08
bio14,false,39.8
bio15,false,53.516666666666666
bio16,false,552.1433333333333
bio17,false,142.43333333333334
bio18,false,349.23333333333335
bio19,false,235.79333333333332
bio2,false,123.27333333333333
bio3,false,55.38666666666666
bio4,false,4249.8966666666665
bio5,false,329.0
bio6,false,81.78666666666666
bio7,false,247.21333333333334
bio8,false,235.25
bio9,false,177.44666666666666
