x,y,species logistic values
1.0,1.0,0.3937568
2.0,2.0,0.4824164
3.0,3.0,0.2107385
4.0,4.0,0.36226928
5.0,5.0,0.05938503
6.0,6.0,0.49492353
7.0,7.0,0.6763134
8.0,8.0,0.4497106
9.0,9.0,4.5720322E-4
10.0,10.0,0.29320773
11.0,11.0,0.049152713
12.0,12.0,0.34039947
13.0,13.0,2.4356991E-6
14.0,14.0,0.23551232
15.0,15.0,0.51710594
16.0,16.0,0.46635762
17.0,17.0,0.37832677
18.0,18.0,0.54079896
19.0,19.0,0.22653496
20.0,20.0,0.5992238
21.0,21.0,0.495773
22.0,22.0,0.5649113
23.0,23.0,0.62113696
24.0,24.0,0.00182862
25.0,25.0,0.4569862
26.0,26.0,0.38491735
27.0,27.0,0.29146594
28.0,28.0,0.435503
29.0,29.0,0.44458416
30.0,30.0,0.2264317
31.0,31.0,0.33262286
32.0,32.0,0.7846112
33.0,33.0,0.2694119
34.0,34.0,0.49324808
35.0,35.0,0.32437068
36.0,36.0,0.44198862
37.0,37.0,4.2011437E-5
38.0,38.0,0.29012874
39.0,39.0,0.25536647
40.0,40.0,0.20308752
41.0,41.0,0.49958554
42.0,42.0,5.107444E-5
43.0,43.0,0.38050666
44.0,44.0,0.18442422
45.0,45.0,0.5550622
46.0,46.0,0.28655732
47.0,47.0,0.3782775
48.0,48.0,0.052611366
49.0,49.0,0.21837988
50.0,50.0,0.002765467
51.0,51.0,0.6392529
52.0,52.0,0.3065124
53.0,53.0,1.651298E-4
54.0,54.0,0.14645155
55.0,55.0,0.46147922
56.0,56.0,0.35741815
57.0,57.0,0.18005334
58.0,58.0,0.39512858
59.0,59.0,0.4502565
60.0,60.0,0.23680264
61.0,61.0,0.4772941
62.0,62.0,0.51287687
63.0,63.0,0.67283785
64.0,64.0,0.22354138
65.0,65.0,0.20526433
66.0,66.0,0.5675706
67.0,67.0,0.43971437
68.0,68.0,0.2933997
69.0,69.0,0.31066677
70.0,70.0,0.21538952
71.0,71.0,0.33841503
72.0,72.0,0.45320442
73.0,73.0,0.109877855
74.0,74.0,0.1543858
75.0,75.0,0.29648638
76.0,76.0,0.28438953
77.0,77.0,0.05077301
78.0,78.0,0.015681732
79.0,79.0,0.6858766
80.0,80.0,0.30507216
81.0,81.0,0.5879053
82.0,82.0,0.2148798
83.0,83.0,0.08125272
84.0,84.0,0.21626434
85.0,85.0,0.23980823
86.0,86.0,0.64416075
87.0,87.0,0.5475975
88.0,88.0,0.42616537
89.0,89.0,0.33227107
90.0,90.0,0.40133393
91.0,91.0,0.20382053
92.0,92.0,0.53792894
93.0,93.0,0.44205394
94.0,94.0,0.23003782
95.0,95.0,0.2095426
96.0,96.0,0.21448345
97.0,97.0,0.17453945
98.0,98.0,0.21944383
99.0,99.0,0.030823123
100.0,100.0,0.37290648
101.0,101.0,0.24482816
102.0,102.0,0.45898962
103.0,103.0,0.5177539
104.0,104.0,0.22011548
105.0,105.0,0.29960057
106.0,106.0,0.34100994
107.0,107.0,0.51118875
108.0,108.0,0.18413843
109.0,109.0,0.14945523
110.0,110.0,0.21640438
111.0,111.0,0.3391417
112.0,112.0,0.29339346
113.0,113.0,0.45962793
114.0,114.0,0.015780611
115.0,115.0,0.23413861
116.0,116.0,0.22371718
117.0,117.0,0.43857574
118.0,118.0,0.41251203
119.0,119.0,0.44272766
120.0,120.0,0.033977255
121.0,121.0,0.12334653
122.0,122.0,0.45439988
123.0,123.0,0.48714283
124.0,124.0,0.08562687
125.0,125.0,0.3321126
126.0,126.0,0.37144423
127.0,127.0,0.45543957
128.0,128.0,0.0042112027
129.0,129.0,0.44314086
130.0,130.0,0.22703144
131.0,131.0,0.6141525
132.0,132.0,0.25882605
133.0,133.0,0.46700162
134.0,134.0,0.23825265
135.0,135.0,0.3488811
136.0,136.0,0.48465782
137.0,137.0,0.29520684
138.0,138.0,0.20607686
139.0,139.0,0.34206554
140.0,140.0,0.21672662
141.0,141.0,0.442624
142.0,142.0,0.46585375
143.0,143.0,0.13087334
144.0,144.0,0.43311518
145.0,145.0,0.44294617
146.0,146.0,0.6376943
147.0,147.0,0.21506122
148.0,148.0,0.22056347
149.0,149.0,0.4468191
150.0,150.0,0.3825835
151.0,151.0,0.2155945
152.0,152.0,0.004518614
153.0,153.0,0.4342299
154.0,154.0,0.42521432
155.0,155.0,0.37129945
156.0,156.0,0.19974399
157.0,157.0,0.14561893
158.0,158.0,0.70056885
159.0,159.0,0.30040208
160.0,160.0,0.42162865
161.0,161.0,0.49198958
162.0,162.0,0.010496507
163.0,163.0,0.31850412
164.0,164.0,0.29541025
165.0,165.0,0.19464546
166.0,166.0,0.49551603
167.0,167.0,0.01585424
