Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.08553E-9,0.000000109,0.000001101,1,0,0
1.5838E-9,0.000000267,0.000001607,0.999294781,0,0
3.97872E-9,0.000001378,0.000004036,0.997179126,0,0
5.48626E-9,0.000002863,0.000005566,0.99506347,0,0
3.21533E-8,0.000012351,0.000032619,0.990832158,0,0
8.05079E-8,0.000031984,0.00008167,0.988716502,0,0
1.06022E-7,0.000051892,0.000107549,0.987306065,0,0
1.42288E-7,0.000101614,0.000144333,0.98448519,0,0
2.89367E-7,0.000265742,0.000293482,0.97954866,0,0
6.60222E-7,0.000561809,0.000669358,0.975317348,0,0
1.87858E-6,0.00112559,0.001902226,0.971791255,0,0
3.94709E-6,0.00258528,0.003988415,0.968265162,0,0
6.62229E-6,0.005532287,0.006673587,0.96403385,0,0
8.47168E-6,0.010030682,0.008521428,0.959802539,0,0
1.65111E-5,0.026296383,0.016474811,0.950634697,0,0
2.10125E-5,0.050832211,0.020872581,0.941466855,0,0
3.83795E-5,0.100895613,0.037477418,0.929478138,0,0
6.83684E-5,0.200331643,0.06486208,0.916784203,0,0
8.4019E-5,0.300640814,0.078543771,0.907616361,0,0
1.19588E-4,0.403396276,0.10819742,0.900564175,0,0
1.3524E-4,0.507040687,0.120649545,0.894922426,0.003333333,0
1.4792E-4,0.605569196,0.130485591,0.889985896,0.003333333,0
1.55389E-4,0.712340972,0.136177524,0.885049365,0.003333333,0
1.59396E-4,0.759882029,0.139199728,0.882933709,0.003333333,0
1.62471E-4,0.808179054,0.141505477,0.880818054,0.003333333,0
1.66838E-4,0.906907487,0.144758422,0.876586742,0.003333333,0
1.71014E-4,1.00853152,0.147845597,0.87235543,0.003333333,0
1.77031E-4,1.112379095,0.152255387,0.868124118,0.003333333,0
1.78923E-4,1.20173245,0.153633069,0.864598025,0.006666667,0
1.83602E-4,1.310789757,0.157019811,0.860366714,0.006666667,0
1.85021E-4,1.403055057,0.158041485,0.856840621,0.01,0
1.88177E-4,1.514904787,0.160305151,0.852609309,0.01,0
1.93998E-4,1.763815474,0.164448354,0.843441467,0.013333333,0
1.98335E-4,2.018556841,0.167508924,0.834273625,0.013333333,0
2.01824E-4,2.258585586,0.169954813,0.825811001,0.013333333,0
2.09161E-4,2.505921785,0.175051721,0.817348378,0.016666667,0
2.20359E-4,2.762674649,0.182711414,0.808885755,0.016666667,0
2.29979E-4,3.011420357,0.189179216,0.80112835,0.02,0
2.35542E-4,3.266782093,0.192872635,0.793370945,0.026666667,0
2.41842E-4,3.505538814,0.197014674,0.786318759,0.03,0
2.46135E-4,3.750234934,0.199813507,0.779266573,0.03,0
2.50512E-4,4.024347961,0.202646661,0.771509168,0.033333333,0
2.55882E-4,4.252089647,0.206095403,0.7651622,0.033333333,0
2.6375E-4,4.512546235,0.211094476,0.758110014,0.033333333,0
2.71017E-4,4.752890595,0.215656137,0.751763047,0.036666667,0
2.75021E-4,5.026363191,0.218147582,0.74471086,0.036666667,0
2.79049E-4,5.275050341,0.220637553,0.738363893,0.036666667,0
2.83393E-4,5.527917806,0.223305489,0.732016925,0.036666667,0
2.87032E-4,5.756199652,0.225525766,0.726375176,0.043333333,0
2.9142E-4,6.016797108,0.228186984,0.720028209,0.05,0
2.93807E-4,6.251015831,0.229626933,0.71438646,0.05,0
2.98247E-4,6.51775584,0.232290737,0.708039492,0.053333333,0
3.00763E-4,6.757548121,0.233792282,0.702397743,0.053333333,0
3.09952E-4,7.001788684,0.239226577,0.696755994,0.056666667,0
3.21941E-4,7.255244115,0.24620194,0.691114245,0.056666667,0
3.2686E-4,7.515551853,0.249026802,0.685472496,0.063333333,0
3.35531E-4,7.781289558,0.253954989,0.679830748,0.07,0
3.4543E-4,8.020553538,0.25950315,0.674894217,0.07,0
3.52866E-4,8.266443704,0.263616762,0.669957687,0.076666667,0
3.60223E-4,8.516678442,0.26764196,0.665021157,0.076666667,0
3.65471E-4,8.77119908,0.270486483,0.660084626,0.076666667,0
3.75272E-4,9.030900936,0.275740247,0.655148096,0.08,0
3.80325E-4,9.25811885,0.278419227,0.650916784,0.08,0
3.84091E-4,9.525663576,0.280403116,0.645980254,0.08,0
3.8999E-4,9.75796597,0.283489054,0.641748942,0.08,0
3.96979E-4,10.033270522,0.287110776,0.636812412,0.08,0
4.04678E-4,10.273093136,0.291058041,0.6325811,0.08,0
4.10049E-4,10.517593378,0.293786448,0.628349788,0.08,0
4.16182E-4,10.765540611,0.296875903,0.624118477,0.083333333,0
4.25406E-4,11.018358235,0.30147179,0.619887165,0.083333333,0
4.30848E-4,11.275893163,0.304155766,0.615655853,0.083333333,0
4.36861E-4,11.537036791,0.307096769,0.611424542,0.086666667,0
4.41766E-4,11.757452515,0.309477699,0.607898449,0.086666667,0
4.49727E-4,12.025814612,0.313307544,0.603667137,0.086666667,0
4.53466E-4,12.251970693,0.315091756,0.600141044,0.093333333,0
4.58772E-4,12.526422238,0.317607311,0.595909732,0.096666667,0
4.64058E-4,12.757639874,0.320095365,0.592383639,0.096666667,0
