x,y,species logistic values
1.0,1.0,0.3945276
2.0,2.0,0.48718464
3.0,3.0,0.34112227
4.0,4.0,0.54388523
5.0,5.0,0.15862887
6.0,6.0,0.4144061
7.0,7.0,0.62396747
8.0,8.0,0.28985056
9.0,9.0,0.15042202
10.0,10.0,0.34392473
11.0,11.0,0.19468802
12.0,12.0,0.5320186
13.0,13.0,0.03685411
14.0,14.0,0.3610808
15.0,15.0,0.39823693
16.0,16.0,0.45498526
17.0,17.0,0.3782799
18.0,18.0,0.6097152
19.0,19.0,0.35710302
20.0,20.0,0.6025889
21.0,21.0,0.57406723
22.0,22.0,0.58614206
23.0,23.0,0.62115073
24.0,24.0,0.18519193
25.0,25.0,0.4756476
26.0,26.0,0.51277804
27.0,27.0,0.56559366
28.0,28.0,0.43977565
29.0,29.0,0.4037739
30.0,30.0,0.40932763
31.0,31.0,0.40461257
32.0,32.0,0.55821955
33.0,33.0,0.5218798
34.0,34.0,0.41022936
35.0,35.0,0.53228945
36.0,36.0,0.44182912
37.0,37.0,0.07489917
38.0,38.0,0.5800089
39.0,39.0,0.3567182
40.0,40.0,0.34116685
41.0,41.0,0.466551
42.0,42.0,0.072299264
43.0,43.0,0.5126957
44.0,44.0,0.35840198
45.0,45.0,0.6202868
46.0,46.0,0.5358562
47.0,47.0,0.3878501
48.0,48.0,0.361858
49.0,49.0,0.3674272
50.0,50.0,0.17621303
51.0,51.0,0.6261701
52.0,52.0,0.4893754
53.0,53.0,0.11363507
54.0,54.0,0.472158
55.0,55.0,0.47589165
56.0,56.0,0.32938516
57.0,57.0,0.43677646
58.0,58.0,0.30242613
59.0,59.0,0.47624046
60.0,60.0,0.35041678
61.0,61.0,0.4211806
62.0,62.0,0.59262663
63.0,63.0,0.6328382
64.0,64.0,0.35671452
65.0,65.0,0.3670324
66.0,66.0,0.57417154
67.0,67.0,0.38369
68.0,68.0,0.37061635
69.0,69.0,0.38186407
70.0,70.0,0.35685742
71.0,71.0,0.38898194
72.0,72.0,0.5191808
73.0,73.0,0.44406655
74.0,74.0,0.20111616
75.0,75.0,0.37626112
76.0,76.0,0.5351066
77.0,77.0,0.36997524
78.0,78.0,0.28000063
79.0,79.0,0.52068543
80.0,80.0,0.51747996
81.0,81.0,0.6136487
82.0,82.0,0.35690305
83.0,83.0,0.30532303
84.0,84.0,0.3464157
85.0,85.0,0.35577032
86.0,86.0,0.6227116
87.0,87.0,0.44977516
88.0,88.0,0.49407837
89.0,89.0,0.595881
90.0,90.0,0.38826886
91.0,91.0,0.24568483
92.0,92.0,0.46246126
93.0,93.0,0.41132745
94.0,94.0,0.36212438
95.0,95.0,0.35172522
96.0,96.0,0.3508186
97.0,97.0,0.49715218
98.0,98.0,0.24216339
99.0,99.0,0.24033362
100.0,100.0,0.5441959
101.0,101.0,0.33505344
102.0,102.0,0.43407294
103.0,103.0,0.3813949
104.0,104.0,0.38310924
105.0,105.0,0.5616802
106.0,106.0,0.35587856
107.0,107.0,0.37334725
108.0,108.0,0.346703
109.0,109.0,0.4828189
110.0,110.0,0.3567876
111.0,111.0,0.38360816
112.0,112.0,0.4791655
113.0,113.0,0.47541994
114.0,114.0,0.22715634
115.0,115.0,0.37095463
116.0,116.0,0.3297395
117.0,117.0,0.38920566
118.0,118.0,0.54105735
119.0,119.0,0.2797963
120.0,120.0,0.24504578
121.0,121.0,0.45697805
122.0,122.0,0.48047665
123.0,123.0,0.4168977
124.0,124.0,0.42862955
125.0,125.0,0.46525988
126.0,126.0,0.59857166
127.0,127.0,0.44537908
128.0,128.0,0.18938346
129.0,129.0,0.436124
130.0,130.0,0.3565158
131.0,131.0,0.59884435
132.0,132.0,0.46496063
133.0,133.0,0.489215
134.0,134.0,0.4671004
135.0,135.0,0.26660877
136.0,136.0,0.4649946
137.0,137.0,0.5340472
138.0,138.0,0.36695457
139.0,139.0,0.511255
140.0,140.0,0.3568882
141.0,141.0,0.4067935
142.0,142.0,0.46362713
143.0,143.0,0.28075564
144.0,144.0,0.43750352
145.0,145.0,0.46368122
146.0,146.0,0.609146
147.0,147.0,0.35169658
148.0,148.0,0.34491184
149.0,149.0,0.43601504
150.0,150.0,0.59729725
151.0,151.0,0.35677052
152.0,152.0,0.18350953
153.0,153.0,0.4310653
154.0,154.0,0.6213039
155.0,155.0,0.38914543
156.0,156.0,0.35699344
157.0,157.0,0.4517796
158.0,158.0,0.6874516
159.0,159.0,0.3783224
160.0,160.0,0.46857238
161.0,161.0,0.4980653
162.0,162.0,0.2534798
