Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.31581E-5,0.001315811,0.015723991,1,0,0
1.69844E-5,0.003014246,0.020203985,0.999294781,0,0
1.94997E-5,0.006730529,0.023126984,0.997884344,0,0
2.09722E-5,0.01086717,0.024829981,0.996473907,0,0
3.15168E-5,0.026548458,0.03685411,0.992242595,0,0
4.52187E-5,0.053318473,0.05204267,0.987306065,0,0
6.02251E-5,0.10293119,0.068136892,0.980959097,0,0
7.97354E-5,0.202137068,0.08826198,0.971086037,0,0
1.07851E-4,0.303001017,0.115780865,0.96403385,0,0
1.26258E-4,0.412438941,0.132914732,0.957686883,0,0
1.35008E-4,0.503205301,0.14082841,0.952750353,0,0
1.6529E-4,0.607783762,0.167136967,0.947813822,0,0
1.7342E-4,0.709530508,0.173928077,0.943582511,0,0
1.76186E-4,0.762166847,0.176213024,0.941466855,0,0
1.80161E-4,0.815826595,0.179475608,0.939351199,0,0
1.87204E-4,0.908167108,0.185191925,0.935825106,0,0
1.94626E-4,1.003785539,0.191131443,0.932299013,0,0
2.01025E-4,1.102760024,0.196182383,0.92877292,0,0
2.09271E-4,1.206170031,0.202599377,0.925246827,0,0
2.2955E-4,1.316498143,0.217952973,0.921720733,0,0
2.42092E-4,1.41195075,0.227156342,0.918899859,0,0
2.47983E-4,1.510539497,0.231404416,0.916078984,0.00660066,0
2.63197E-4,1.76678163,0.242163386,0.909026798,0.00660066,0
2.78646E-4,2.011041689,0.252784936,0.902679831,0.00660066,0
2.95212E-4,2.26871315,0.26384807,0.896332863,0.00990099,0
3.20313E-4,2.517078691,0.280000619,0.890691114,0.01650165,0
3.31636E-4,2.77752442,0.287057271,0.885049365,0.01980198,0
3.48813E-4,3.016459961,0.297501834,0.880112835,0.02310231,0
3.54884E-4,3.263154727,0.301120777,0.875176305,0.02640264,0
3.61694E-4,3.514161675,0.305136022,0.870239774,0.0330033,0
3.75631E-4,3.771124715,0.313210874,0.865303244,0.0330033,0
3.89858E-4,4.001343058,0.32126303,0.861071932,0.03630363,0
4.05814E-4,4.282955215,0.330071164,0.856135402,0.03630363,0
4.11508E-4,4.529199988,0.333159874,0.85190409,0.03960396,0
4.15026E-4,4.777434702,0.335053457,0.847672779,0.04290429,0
4.17464E-4,5.027590771,0.336359782,0.843441467,0.04290429,0
4.22752E-4,5.279843626,0.339175155,0.839210155,0.04620462,0
4.26435E-4,5.534526636,0.341122263,0.834978843,0.056105611,0
4.27038E-4,5.790571405,0.34144003,0.830747532,0.056105611,0
4.28196E-4,6.004355398,0.342048871,0.827221439,0.062706271,0
4.32232E-4,6.263278348,0.344163592,0.822990127,0.062706271,0
4.3376E-4,6.5232024,0.344960579,0.818758815,0.062706271,0
4.35112E-4,6.783903398,0.345664084,0.814527504,0.062706271,0
4.35762E-4,7.001642069,0.346001924,0.81100141,0.062706271,0
4.36637E-4,7.263453653,0.346455826,0.806770099,0.062706271,0
4.36999E-4,7.52558995,0.346643653,0.802538787,0.066006601,0
4.37122E-4,7.787846022,0.346707163,0.798307475,0.069306931,0
4.40935E-4,8.007014941,0.348676862,0.794781382,0.069306931,0
4.44035E-4,8.272437199,0.350269964,0.790550071,0.072607261,0
4.44674E-4,8.539036646,0.350597183,0.786318759,0.072607261,0
4.45758E-4,8.761675439,0.351151527,0.782792666,0.072607261,0
4.4651E-4,9.02946888,0.351535576,0.778561354,0.072607261,0
4.46697E-4,9.252773596,0.351631285,0.775035261,0.075907591,0
4.4683E-4,9.520846796,0.351698964,0.770803949,0.075907591,0
4.46948E-4,9.788999737,0.351759123,0.766572638,0.075907591,0
4.47517E-4,10.012601378,0.352049593,0.763046544,0.082508251,0
4.53785E-4,10.282650875,0.355228566,0.758815233,0.089108911,0
4.54888E-4,10.509885776,0.355785081,0.75528914,0.092409241,0
4.55664E-4,10.783062321,0.356175917,0.751057828,0.092409241,0
4.56313E-4,11.011088274,0.356502282,0.747531735,0.099009901,0
4.56661E-4,11.285005758,0.356677317,0.743300423,0.102310231,0
4.56823E-4,11.513390019,0.356758587,0.73977433,0.102310231,0
4.57002E-4,11.787521041,0.356848194,0.735543018,0.102310231,0
4.57081E-4,12.016045788,0.356888197,0.732016925,0.102310231,0
4.57111E-4,12.29030787,0.356903204,0.727785614,0.102310231,0
4.5723E-4,12.518908353,0.356962749,0.72425952,0.102310231,0
4.57509E-4,12.79333276,0.357103016,0.720028209,0.102310231,0
4.59619E-4,13.022400168,0.35815995,0.716502116,0.102310231,0
4.62331E-4,13.253133133,0.359513471,0.712976023,0.108910891,0
4.63763E-4,13.531044583,0.360225914,0.708744711,0.115511551,0
4.65739E-4,13.763610459,0.361206679,0.705218618,0.115511551,0
4.66706E-4,14.043422048,0.361685063,0.700987306,0.118811881,0
4.67346E-4,14.276963098,0.362001465,0.697461213,0.118811881,0
4.67531E-4,14.51068085,0.362093158,0.69393512,0.122112211,0
4.67729E-4,14.791273829,0.362190883,0.689703808,0.122112211,0
