x,y,species logistic values
1.0,1.0,0.40829754
2.0,2.0,0.45515236
3.0,3.0,0.28497237
4.0,4.0,0.45612258
5.0,5.0,0.018647876
6.0,6.0,0.4655386
7.0,7.0,0.683493
8.0,8.0,0.31606063
9.0,9.0,0.0036377758
10.0,10.0,0.3447277
11.0,11.0,0.08780772
12.0,12.0,0.4380998
13.0,13.0,4.8820704E-5
14.0,14.0,0.28275642
15.0,15.0,0.46716574
16.0,16.0,0.45029318
17.0,17.0,0.39206585
18.0,18.0,0.6180397
19.0,19.0,0.31328458
20.0,20.0,0.6109368
21.0,21.0,0.5589905
22.0,22.0,0.6048572
23.0,23.0,0.6181198
24.0,24.0,0.010451522
25.0,25.0,0.46189046
26.0,26.0,0.4369909
27.0,27.0,0.45666894
28.0,28.0,0.463346
29.0,29.0,0.46422967
30.0,30.0,0.31409928
31.0,31.0,0.3800598
32.0,32.0,0.7197581
33.0,33.0,0.3773209
34.0,34.0,0.46565825
35.0,35.0,0.43096024
36.0,36.0,0.46273467
37.0,37.0,4.8649966E-4
38.0,38.0,0.45653102
39.0,39.0,0.3247259
40.0,40.0,0.27359906
41.0,41.0,0.4491012
42.0,42.0,5.5700314E-4
43.0,43.0,0.4588428
44.0,44.0,0.24251142
45.0,45.0,0.5754802
46.0,46.0,0.45915267
47.0,47.0,0.42556703
48.0,48.0,0.11921617
49.0,49.0,0.28797722
50.0,50.0,0.013867186
51.0,51.0,0.6772505
52.0,52.0,0.45992222
53.0,53.0,0.0014944501
54.0,54.0,0.2753163
55.0,55.0,0.45928007
56.0,56.0,0.26606533
57.0,57.0,0.2890629
58.0,58.0,0.3164003
59.0,59.0,0.46163774
60.0,60.0,0.25548804
61.0,61.0,0.46521902
62.0,62.0,0.58647317
63.0,63.0,0.66997343
64.0,64.0,0.29931736
65.0,65.0,0.2898676
66.0,66.0,0.5234068
67.0,67.0,0.42447835
68.0,68.0,0.31248468
69.0,69.0,0.37979552
70.0,70.0,0.26731297
71.0,71.0,0.371161
72.0,72.0,0.45719773
73.0,73.0,0.22712758
74.0,74.0,0.0539276
75.0,75.0,0.37517148
76.0,76.0,0.45860055
77.0,77.0,0.12599896
78.0,78.0,0.056847613
79.0,79.0,0.63760096
80.0,80.0,0.3749546
81.0,81.0,0.59173393
82.0,82.0,0.2655093
83.0,83.0,0.11608774
84.0,84.0,0.26040012
85.0,85.0,0.29589963
86.0,86.0,0.6402131
87.0,87.0,0.54723305
88.0,88.0,0.46012777
89.0,89.0,0.4703512
90.0,90.0,0.4472921
91.0,91.0,0.10368512
92.0,92.0,0.5402594
93.0,93.0,0.4685178
94.0,94.0,0.30289316
95.0,95.0,0.2637345
96.0,96.0,0.28601
97.0,97.0,0.31890845
98.0,98.0,0.09479829
99.0,99.0,0.05566485
100.0,100.0,0.45711717
101.0,101.0,0.29313886
102.0,102.0,0.4571493
103.0,103.0,0.46642253
104.0,104.0,0.2781898
105.0,105.0,0.4562552
106.0,106.0,0.33274704
107.0,107.0,0.46611682
108.0,108.0,0.27935857
109.0,109.0,0.2895821
110.0,110.0,0.26989642
111.0,111.0,0.3623112
112.0,112.0,0.35750216
113.0,113.0,0.4619895
114.0,114.0,0.032128762
115.0,115.0,0.269998
116.0,116.0,0.28185245
117.0,117.0,0.4206391
118.0,118.0,0.48307365
119.0,119.0,0.30361143
120.0,120.0,0.0605827
121.0,121.0,0.24346
122.0,122.0,0.45915195
123.0,123.0,0.46578234
124.0,124.0,0.19511564
125.0,125.0,0.3691534
126.0,126.0,0.48810264
127.0,127.0,0.46155787
128.0,128.0,0.01721058
129.0,129.0,0.46299586
130.0,130.0,0.26290107
131.0,131.0,0.6377153
132.0,132.0,0.39187405
133.0,133.0,0.4581666
134.0,134.0,0.3659631
135.0,135.0,0.20101833
136.0,136.0,0.46018973
137.0,137.0,0.4574966
138.0,138.0,0.30239227
139.0,139.0,0.45921847
140.0,140.0,0.2636833
141.0,141.0,0.45645162
142.0,142.0,0.45576644
143.0,143.0,0.19025227
144.0,144.0,0.46258095
145.0,145.0,0.46192923
146.0,146.0,0.65687364
147.0,147.0,0.25559124
148.0,148.0,0.2690658
149.0,149.0,0.45410964
150.0,150.0,0.45359418
151.0,151.0,0.2631447
152.0,152.0,0.016690895
153.0,153.0,0.45327467
154.0,154.0,0.51061165
155.0,155.0,0.38508362
156.0,156.0,0.2723626
157.0,157.0,0.25302508
158.0,158.0,0.64840096
159.0,159.0,0.35327694
160.0,160.0,0.46209854
161.0,161.0,0.45623055
162.0,162.0,0.04201106
163.0,163.0,0.45620784
164.0,164.0,0.31865162
165.0,165.0,0.2649098
166.0,166.0,0.54664016
167.0,167.0,0.012768191
168.0,168.0,0.65456855
169.0,169.0,0.45711532
170.0,170.0,0.28686768
171.0,171.0,0.46140966
172.0,172.0,0.26132354
173.0,173.0,0.32221678
174.0,174.0,0.64622676
175.0,175.0,0.4564762
