Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.76582E-9,0.000000377,0.000004103,1,0,0
6.60776E-9,0.000001037,0.0000072,0.999294781,0,0
1.06593E-8,0.000003079,0.000011615,0.997884344,0,0
1.91165E-8,0.000010659,0.00002083,0.994358251,0,0
4.48057E-8,0.000026192,0.000048821,0.991537377,0,0
1.86854E-7,0.000052713,0.000203566,0.990126939,0,0
2.48606E-7,0.000120635,0.000270823,0.988011283,0,0
3.51167E-7,0.000281199,0.000382507,0.98448519,0,0
5.11456E-7,0.00054999,0.000557003,0.980253879,0,0
9.16494E-7,0.001050415,0.000997672,0.975317348,0,0
2.22482E-6,0.002675326,0.002418438,0.967559944,0,0
5.1646E-6,0.005177631,0.005596169,0.962623413,0,0
8.20673E-6,0.010515801,0.008863302,0.956981664,0,0
1.22638E-5,0.025628504,0.013187209,0.946403385,0,0
1.94527E-5,0.05143082,0.020756921,0.935119887,0,0
3.91667E-5,0.100399163,0.04093156,0.922425952,0,0
7.41512E-5,0.205357943,0.074759194,0.909026798,0,0
8.83394E-5,0.30287311,0.087807725,0.900564175,0.00660066,0
1.11289E-4,0.410031129,0.108152225,0.89280677,0.00660066,0
1.24981E-4,0.505124787,0.11986328,0.887165021,0.00990099,0
1.44036E-4,0.600868037,0.135658915,0.882228491,0.00990099,0
1.64396E-4,0.710946008,0.15192118,0.877291961,0.00990099,0
1.7511E-4,0.762525681,0.160235635,0.875176305,0.00990099,0
1.82546E-4,0.816065203,0.165911319,0.873060649,0.00990099,0
2.12294E-4,0.91505279,0.187868846,0.869534556,0.00990099,0
2.22468E-4,1.002256779,0.195115635,0.866713681,0.00990099,0
2.42739E-4,1.121088101,0.209175822,0.863187588,0.00990099,0
2.69693E-4,1.223040914,0.227127584,0.860366714,0.00990099,0
2.76918E-4,1.305012993,0.231801466,0.858251058,0.01320132,0
2.85974E-4,1.417516647,0.237581087,0.855430183,0.01320132,0
2.93809E-4,1.505074436,0.242511415,0.853314528,0.01320132,0
3.09165E-4,1.777362551,0.251992824,0.84696756,0.01650165,0
3.14925E-4,2.027836254,0.255488025,0.841325811,0.01980198,0
3.17272E-4,2.280811209,0.256902942,0.835684062,0.02310231,0
3.18416E-4,2.503347686,0.257590478,0.830747532,0.02640264,0
3.20921E-4,2.759503531,0.259091761,0.825105783,0.02970297,0
3.24663E-4,3.017892767,0.261323546,0.819464034,0.0330033,0
3.25542E-4,3.277898383,0.261845861,0.813822285,0.0330033,0
3.28373E-4,3.506789329,0.263522715,0.808885755,0.0330033,0
3.30314E-4,3.770185497,0.264668271,0.803244006,0.0330033,0
3.31743E-4,4.002004176,0.265509297,0.798307475,0.0330033,0
3.33023E-4,4.267985185,0.266261079,0.792665726,0.03960396,0
3.34885E-4,4.50195668,0.267351908,0.787729196,0.04620462,0
3.36567E-4,4.770590912,0.268334417,0.782087447,0.04620462,0
3.39182E-4,5.00699911,0.269856413,0.777150917,0.052805281,0
3.40741E-4,5.278949685,0.270760916,0.771509168,0.052805281,0
3.43758E-4,5.518556553,0.272505197,0.766572638,0.052805281,0
3.4649E-4,5.760222406,0.274077235,0.761636107,0.056105611,0
3.48372E-4,6.003715205,0.275156165,0.756699577,0.062706271,0
3.50821E-4,6.283414323,0.276555429,0.751057828,0.069306931,0
3.57167E-4,6.531591175,0.280156945,0.746121298,0.069306931,0
3.59442E-4,6.782395372,0.281438798,0.741184767,0.069306931,0
3.61788E-4,7.034773973,0.282756416,0.736248237,0.069306931,0
3.64466E-4,7.252450923,0.284254398,0.732016925,0.075907591,0
3.65753E-4,7.508052518,0.284972357,0.727080395,0.075907591,0
3.70722E-4,7.76626198,0.287729653,0.722143865,0.075907591,0
3.73621E-4,8.027121796,0.289328918,0.717207334,0.075907591,0
3.7581E-4,8.252001174,0.290531622,0.712976023,0.075907591,0
3.78467E-4,8.515949053,0.291985706,0.708039492,0.075907591,0
3.82256E-4,8.782098304,0.294049209,0.703102962,0.075907591,0
3.83944E-4,9.01191566,0.294965121,0.69887165,0.085808581,0
3.87232E-4,9.281759947,0.296741356,0.69393512,0.085808581,0
3.91157E-4,9.515545995,0.298850074,0.689703808,0.085808581,0
3.92509E-4,9.750700938,0.299573517,0.685472496,0.085808581,0
3.95418E-4,10.026519446,0.301125202,0.680535966,0.085808581,0
3.98748E-4,10.264926473,0.302893149,0.676304654,0.085808581,0
4.0217E-4,10.50505225,0.304700607,0.672073343,0.085808581,0
4.08382E-4,10.788482986,0.307957727,0.667136812,0.089108911,0
4.12847E-4,11.034544868,0.310279791,0.662905501,0.089108911,0
4.16048E-4,11.283500093,0.311935082,0.658674189,0.089108911,0
4.19546E-4,11.534436952,0.313735099,0.654442877,0.092409241,0
4.21831E-4,11.787028585,0.314905577,0.650211566,0.095709571,0
4.28168E-4,12.042554111,0.318131577,0.645980254,0.099009901,0
4.29792E-4,12.257092337,0.318952983,0.642454161,0.099009901,0
4.34905E-4,12.517008316,0.321527693,0.638222849,0.102310231,0
4.39623E-4,12.779788082,0.323885767,0.633991537,0.102310231,0
4.43967E-4,13.000903503,0.326042796,0.630465444,0.102310231,0
4.524E-4,13.270398949,0.330190873,0.626234133,0.102310231,0
4.62582E-4,13.545808482,0.335132016,0.622002821,0.102310231,0
4.66916E-4,13.778125778,0.337212831,0.618476728,0.102310231,0
4.72922E-4,14.013080412,0.340075613,0.614950635,0.102310231,0
4.76381E-4,14.250713226,0.341713149,0.611424542,0.108910891,0
4.8413E-4,14.539482156,0.345351756,0.60719323,0.112211221,0
4.95009E-4,14.784890296,0.350392847,0.603667137,0.115511551,0
5.03419E-4,15.035275683,0.354237135,0.600141044,0.115511551,0
5.14367E-4,15.291019851,0.359174117,0.596614951,0.118811881,0
5.21204E-4,15.550652627,0.362218754,0.593088858,0.122112211,0
5.25365E-4,15.760003693,0.364057727,0.590267983,0.122112211,0
5.28625E-4,16.023758961,0.365491388,0.58674189,0.132013201,0
5.30782E-4,16.288834912,0.36643623,0.583215797,0.138613861,0
5.33622E-4,16.501894109,0.36767584,0.580394922,0.138613861,0
