x,y,species logistic values
1.0,1.0,0.36553603
2.0,2.0,0.43165982
3.0,3.0,0.3546164
4.0,4.0,0.48558572
5.0,5.0,0.18503092
6.0,6.0,0.42251235
7.0,7.0,0.6402778
8.0,8.0,0.38817292
9.0,9.0,0.02992489
10.0,10.0,0.37510595
11.0,11.0,0.10282392
12.0,12.0,0.48071623
13.0,13.0,0.0014377072
14.0,14.0,0.31884104
15.0,15.0,0.40529418
16.0,16.0,0.4014973
17.0,17.0,0.3191639
18.0,18.0,0.63608646
19.0,19.0,0.3168341
20.0,20.0,0.586432
21.0,21.0,0.5526965
22.0,22.0,0.5698144
23.0,23.0,0.6189256
24.0,24.0,0.04694111
25.0,25.0,0.45985
26.0,26.0,0.4347888
27.0,27.0,0.51989377
28.0,28.0,0.38737625
29.0,29.0,0.4143649
30.0,30.0,0.32675296
31.0,31.0,0.3630355
32.0,32.0,0.6292953
33.0,33.0,0.5047916
34.0,34.0,0.4169846
35.0,35.0,0.48386654
36.0,36.0,0.44375977
37.0,37.0,0.0063367332
38.0,38.0,0.5423918
39.0,39.0,0.30160233
40.0,40.0,0.34794787
41.0,41.0,0.41932735
42.0,42.0,0.006118053
43.0,43.0,0.46287727
44.0,44.0,0.2805319
45.0,45.0,0.6091926
46.0,46.0,0.47692248
47.0,47.0,0.4030606
48.0,48.0,0.2061723
49.0,49.0,0.35160083
50.0,50.0,0.04053862
51.0,51.0,0.65842015
52.0,52.0,0.41444814
53.0,53.0,0.016257336
54.0,54.0,0.39450827
55.0,55.0,0.43638134
56.0,56.0,0.30282754
57.0,57.0,0.326105
58.0,58.0,0.3909451
59.0,59.0,0.45329052
60.0,60.0,0.31203103
61.0,61.0,0.3959013
62.0,62.0,0.5999976
63.0,63.0,0.65002215
64.0,64.0,0.31430763
65.0,65.0,0.37109903
66.0,66.0,0.6179196
67.0,67.0,0.31475967
68.0,68.0,0.3126602
69.0,69.0,0.37897757
70.0,70.0,0.33660603
71.0,71.0,0.366907
72.0,72.0,0.470732
73.0,73.0,0.3527599
74.0,74.0,0.26753327
75.0,75.0,0.3728511
76.0,76.0,0.47990033
77.0,77.0,0.22302526
78.0,78.0,0.1231476
79.0,79.0,0.5600798
80.0,80.0,0.50415313
81.0,81.0,0.600737
82.0,82.0,0.3410461
83.0,83.0,0.18160802
84.0,84.0,0.329851
85.0,85.0,0.30140486
86.0,86.0,0.6254787
87.0,87.0,0.442263
88.0,88.0,0.45736283
89.0,89.0,0.5639203
90.0,90.0,0.35760865
91.0,91.0,0.22753894
92.0,92.0,0.4559463
93.0,93.0,0.39374122
94.0,94.0,0.3275554
95.0,95.0,0.3530311
96.0,96.0,0.29946235
97.0,97.0,0.44324964
98.0,98.0,0.31279004
99.0,99.0,0.11350615
100.0,100.0,0.50593895
101.0,101.0,0.31465596
102.0,102.0,0.4175395
103.0,103.0,0.36556023
104.0,104.0,0.3134625
105.0,105.0,0.51331514
106.0,106.0,0.28690672
107.0,107.0,0.42022705
108.0,108.0,0.3302783
109.0,109.0,0.41802803
110.0,110.0,0.33255547
111.0,111.0,0.34739044
112.0,112.0,0.37431005
113.0,113.0,0.4624687
114.0,114.0,0.09217073
115.0,115.0,0.28523105
116.0,116.0,0.27026746
117.0,117.0,0.33074528
118.0,118.0,0.4887189
119.0,119.0,0.3767012
120.0,120.0,0.119243234
121.0,121.0,0.3823507
122.0,122.0,0.4403716
123.0,123.0,0.4008312
124.0,124.0,0.31348684
125.0,125.0,0.43295768
126.0,126.0,0.5701875
127.0,127.0,0.43487495
128.0,128.0,0.06535866
129.0,129.0,0.43743882
130.0,130.0,0.3310458
131.0,131.0,0.5907673
132.0,132.0,0.37149858
133.0,133.0,0.43613175
134.0,134.0,0.3762548
135.0,135.0,0.3540721
136.0,136.0,0.44573382
137.0,137.0,0.47290212
138.0,138.0,0.36784047
139.0,139.0,0.45938426
140.0,140.0,0.34254774
141.0,141.0,0.40872434
142.0,142.0,0.41775322
143.0,143.0,0.20197818
144.0,144.0,0.42801082
145.0,145.0,0.44945413
146.0,146.0,0.6113788
147.0,147.0,0.3398775
148.0,148.0,0.28900325
149.0,149.0,0.4002148
150.0,150.0,0.5572238
151.0,151.0,0.36607647
152.0,152.0,0.063518405
153.0,153.0,0.3857107
154.0,154.0,0.60542357
155.0,155.0,0.35394213
156.0,156.0,0.34740555
157.0,157.0,0.3562723
158.0,158.0,0.7285954
159.0,159.0,0.34920204
160.0,160.0,0.42812896
161.0,161.0,0.44279808
