x,y,species logistic values
1.0,1.0,0.39462134
2.0,2.0,0.4871798
3.0,3.0,0.34127748
4.0,4.0,0.5438343
5.0,5.0,0.15892296
6.0,6.0,0.41450718
7.0,7.0,0.62394905
8.0,8.0,0.29007918
9.0,9.0,0.15080675
10.0,10.0,0.34408978
11.0,11.0,0.19518808
12.0,12.0,0.532126
13.0,13.0,0.037025582
14.0,14.0,0.36120653
15.0,15.0,0.39836442
16.0,16.0,0.45501465
17.0,17.0,0.37838894
18.0,18.0,0.6097402
19.0,19.0,0.35723677
20.0,20.0,0.6025647
21.0,21.0,0.5741128
22.0,22.0,0.5861645
23.0,23.0,0.6211051
24.0,24.0,0.1855918
25.0,25.0,0.47568
26.0,26.0,0.51289815
27.0,27.0,0.5655386
28.0,28.0,0.4398655
29.0,29.0,0.40387172
30.0,30.0,0.40948203
31.0,31.0,0.40499154
32.0,32.0,0.5583929
33.0,33.0,0.522052
34.0,34.0,0.41033491
35.0,35.0,0.5323999
36.0,36.0,0.44188625
37.0,37.0,0.075164646
38.0,38.0,0.57993877
39.0,39.0,0.3568507
40.0,40.0,0.3413221
41.0,41.0,0.46656504
42.0,42.0,0.07255382
43.0,43.0,0.5126913
44.0,44.0,0.3588219
45.0,45.0,0.6202253
46.0,46.0,0.53585047
47.0,47.0,0.38796157
48.0,48.0,0.3621598
49.0,49.0,0.36754975
50.0,50.0,0.17657876
51.0,51.0,0.626168
52.0,52.0,0.48944256
53.0,53.0,0.11398064
54.0,54.0,0.47237268
55.0,55.0,0.47590414
56.0,56.0,0.32960102
57.0,57.0,0.43692484
58.0,58.0,0.30263957
59.0,59.0,0.47627303
60.0,60.0,0.35055393
61.0,61.0,0.4212902
62.0,62.0,0.59266824
63.0,63.0,0.63279957
64.0,64.0,0.35684723
65.0,65.0,0.36715898
66.0,66.0,0.5742896
67.0,67.0,0.3837925
68.0,68.0,0.3707294
69.0,69.0,0.38197714
70.0,70.0,0.35699105
71.0,71.0,0.3890815
72.0,72.0,0.5191467
73.0,73.0,0.44432554
74.0,74.0,0.20140602
75.0,75.0,0.3763812
76.0,76.0,0.5350957
77.0,77.0,0.3702894
78.0,78.0,0.28040016
79.0,79.0,0.52090913
80.0,80.0,0.51766545
81.0,81.0,0.613602
82.0,82.0,0.35703707
83.0,83.0,0.30575842
84.0,84.0,0.3465604
85.0,85.0,0.35590178
86.0,86.0,0.62267303
87.0,87.0,0.4501005
88.0,88.0,0.49409
89.0,89.0,0.5958134
90.0,90.0,0.3883743
91.0,91.0,0.24596429
92.0,92.0,0.46276373
93.0,93.0,0.41171283
94.0,94.0,0.36225185
95.0,95.0,0.3518667
96.0,96.0,0.35095602
97.0,97.0,0.4973391
98.0,98.0,0.24243465
99.0,99.0,0.2407994
100.0,100.0,0.5441468
101.0,101.0,0.33520713
102.0,102.0,0.43412918
103.0,103.0,0.38154933
104.0,104.0,0.38350004
105.0,105.0,0.5616258
106.0,106.0,0.35600334
107.0,107.0,0.3734879
108.0,108.0,0.34685117
109.0,109.0,0.48302516
110.0,110.0,0.3569209
111.0,111.0,0.38371184
112.0,112.0,0.47931355
113.0,113.0,0.47545227
114.0,114.0,0.22760803
115.0,115.0,0.37134898
116.0,116.0,0.33020976
117.0,117.0,0.38930237
118.0,118.0,0.54113805
119.0,119.0,0.28003415
120.0,120.0,0.24551253
121.0,121.0,0.45722917
122.0,122.0,0.48048487
123.0,123.0,0.41700912
124.0,124.0,0.42888415
125.0,125.0,0.4655361
126.0,126.0,0.59850717
127.0,127.0,0.44542667
128.0,128.0,0.18971
129.0,129.0,0.4361881
130.0,130.0,0.35664842
131.0,131.0,0.5988463
132.0,132.0,0.46506512
133.0,133.0,0.48921198
134.0,134.0,0.46720666
135.0,135.0,0.26685965
136.0,136.0,0.46501702
137.0,137.0,0.5340298
138.0,138.0,0.36708176
139.0,139.0,0.5112609
140.0,140.0,0.3570222
141.0,141.0,0.40688044
142.0,142.0,0.46364963
143.0,143.0,0.28125545
144.0,144.0,0.43756616
145.0,145.0,0.46372035
146.0,146.0,0.60913986
147.0,147.0,0.35183635
148.0,148.0,0.34505433
149.0,149.0,0.43606833
150.0,150.0,0.5971859
151.0,151.0,0.3569072
152.0,152.0,0.18383366
153.0,153.0,0.43112463
154.0,154.0,0.62121785
155.0,155.0,0.38924363
156.0,156.0,0.3571292
157.0,157.0,0.45201808
158.0,158.0,0.68733656
159.0,159.0,0.37843364
160.0,160.0,0.46862575
161.0,161.0,0.4980485
162.0,162.0,0.2538815
163.0,163.0,0.5501363
164.0,164.0,0.37158084
165.0,165.0,0.3467572
166.0,166.0,0.6262815
167.0,167.0,0.13702583
168.0,168.0,0.64357394
169.0,169.0,0.5555184
170.0,170.0,0.35663468
171.0,171.0,0.4802966
172.0,172.0,0.36222208
173.0,173.0,0.4495497
174.0,174.0,0.61125493
175.0,175.0,0.54609257
176.0,176.0,0.433064
177.0,177.0,0.5812049
178.0,178.0,0.42744222
179.0,179.0,0.37845337
180.0,180.0,0.47034913
181.0,181.0,0.3468523
182.0,182.0,0.4881973
183.0,183.0,0.5695728
184.0,184.0,0.602825
185.0,185.0,0.4061919
186.0,186.0,0.35145345
187.0,187.0,0.6179869
188.0,188.0,0.4157958
189.0,189.0,0.36699036
190.0,190.0,0.4766413
191.0,191.0,0.13615234
192.0,192.0,0.36543974
193.0,193.0,0.0883986
194.0,194.0,0.45276108
195.0,195.0,0.3504179
196.0,196.0,0.36154884
197.0,197.0,0.25834727
198.0,198.0,0.6110266
199.0,199.0,0.5004306
200.0,200.0,0.5593885
201.0,201.0,0.49070773
202.0,202.0,0.44737625
203.0,203.0,0.4133668
204.0,204.0,0.5723586
205.0,205.0,0.3782008
206.0,206.0,0.3712493
207.0,207.0,0.3812975
208.0,208.0,0.4621127
209.0,209.0,0.37192824
210.0,210.0,0.13244502
211.0,211.0,0.3877821
212.0,212.0,0.36033517
213.0,213.0,0.18215856
214.0,214.0,0.13438019
215.0,215.0,0.5945797
216.0,216.0,0.06725048
217.0,217.0,0.55891883
218.0,218.0,0.5096925
219.0,219.0,0.34510663
