Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.19635E-5,0.001196354,0.014242721,1,0,0
1.55369E-5,0.002750049,0.018418542,0.999294781,0,0
1.80199E-5,0.006201255,0.021299358,0.997884344,0,0
2.04027E-5,0.012015501,0.02404807,0.995768688,0,0
3.11408E-5,0.02768595,0.036245885,0.991537377,0,0
4.48074E-5,0.050644857,0.051336355,0.987306065,0,0
6.02953E-5,0.104420234,0.067876595,0.980253879,0,0
7.96447E-5,0.201639654,0.087747625,0.970380818,0,0
1.08314E-4,0.302321174,0.115680226,0.963328632,0,0
1.25912E-4,0.412258581,0.131993601,0.956981664,0,0
1.3811E-4,0.504034771,0.142952986,0.952045134,0,0
1.55947E-4,0.608227031,0.158489549,0.947108604,0,0
1.68602E-4,0.706092801,0.169175007,0.942877292,0,0
1.71355E-4,0.757079962,0.171463139,0.940761636,0,0
1.7611E-4,0.809331867,0.175387055,0.93864598,0,0
1.80113E-4,0.916649339,0.178661606,0.934414669,0,0
1.84959E-4,1.008214493,0.182590588,0.930888575,0,0
1.94662E-4,1.102970348,0.190345977,0.927362482,0,0
2.0867E-4,1.203981034,0.201286122,0.923836389,0.003333333,0
2.21956E-4,1.312797702,0.211392998,0.920310296,0.006666667,0
2.31735E-4,1.403954754,0.218670361,0.917489422,0.006666667,0
2.4737E-4,1.524438914,0.230030122,0.913963329,0.006666667,0
2.62512E-4,1.753075586,0.24072113,0.907616361,0.01,0
2.79202E-4,2.024244312,0.252165951,0.900564175,0.01,0
2.91466E-4,2.25249078,0.260359095,0.894922426,0.013333333,0
3.13227E-4,2.52486263,0.274462365,0.888575458,0.013333333,0
3.25995E-4,2.781659781,0.282489536,0.882933709,0.016666667,0
3.36356E-4,3.013377195,0.288874209,0.877997179,0.026666667,0
3.53793E-4,3.25419384,0.299366779,0.873060649,0.03,0
3.59872E-4,3.504707083,0.302951965,0.868124118,0.033333333,0
3.7597E-4,3.762537729,0.312272211,0.863187588,0.036666667,0
3.95334E-4,4.033967033,0.323157873,0.858251058,0.04,0
4.02597E-4,4.27367109,0.327152791,0.854019746,0.043333333,0
4.09473E-4,4.517860842,0.330891417,0.849788434,0.043333333,0
4.1114E-4,4.764228174,0.331791634,0.845557123,0.043333333,0
4.15919E-4,5.012841864,0.334358747,0.841325811,0.046666667,0
4.18391E-4,5.263239871,0.335678898,0.837094499,0.053333333,0
4.20433E-4,5.515036196,0.336765337,0.832863188,0.056666667,0
4.2073E-4,5.76742531,0.336922885,0.828631876,0.06,0
4.23138E-4,6.020773117,0.338199109,0.824400564,0.06,0
4.24953E-4,6.275314023,0.339157969,0.820169252,0.06,0
4.26334E-4,6.530782891,0.339885326,0.815937941,0.06,0
4.28197E-4,6.787286238,0.340864645,0.811706629,0.06,0
4.29184E-4,7.001711525,0.341382017,0.808180536,0.063333333,0
4.30402E-4,7.259748897,0.342019225,0.803949224,0.063333333,0
4.30736E-4,7.518079834,0.342194022,0.799717913,0.063333333,0
4.34426E-4,7.777226386,0.344116621,0.795486601,0.063333333,0
4.35616E-4,8.038484002,0.344734275,0.791255289,0.066666667,0
4.36716E-4,8.25670897,0.34530404,0.787729196,0.066666667,0
4.3839E-4,8.519385232,0.346169444,0.783497884,0.07,0
4.39186E-4,8.782670548,0.346580569,0.779266573,0.07,0
4.39561E-4,9.00238209,0.346773656,0.77574048,0.07,0
4.40335E-4,9.266478686,0.347172453,0.771509168,0.07,0
4.40492E-4,9.57479173,0.347253245,0.766572638,0.076666667,0
4.42637E-4,9.751362646,0.348354918,0.763751763,0.08,0
4.45231E-4,10.018000778,0.349682857,0.759520451,0.083333333,0
4.46862E-4,10.285563483,0.350514723,0.75528914,0.09,0
4.48392E-4,10.509530473,0.351293053,0.751763047,0.09,0
4.49145E-4,10.778857212,0.351675442,0.747531735,0.09,0
4.49557E-4,11.003542656,0.351884761,0.744005642,0.09,0
4.4981E-4,11.273388234,0.35201312,0.73977433,0.09,0
4.50154E-4,11.543369648,0.352187173,0.735543018,0.09,0
4.50419E-4,11.768536527,0.352321493,0.732016925,0.09,0
4.50583E-4,12.038859182,0.352404559,0.727785614,0.09,0
4.50815E-4,12.264212733,0.352522173,0.72425952,0.09,0
4.52039E-4,12.534906559,0.353141381,0.720028209,0.093333333,0
4.56038E-4,12.762319436,0.355155894,0.716502116,0.096666667,0
4.57856E-4,13.036608602,0.356067504,0.712270804,0.096666667,0
4.59195E-4,13.265943431,0.356737655,0.708744711,0.1,0
4.59914E-4,13.54179047,0.357096434,0.704513399,0.1,0
4.60502E-4,13.771966626,0.357389802,0.700987306,0.1,0
4.60859E-4,14.002346011,0.357567992,0.697461213,0.1,0
4.61147E-4,14.278959402,0.357711223,0.693229901,0.1,0
4.61787E-4,14.509660878,0.358030212,0.689703808,0.1,0
4.65091E-4,14.788112211,0.359670501,0.685472496,0.113333333,0
4.66911E-4,15.02114011,0.360570422,0.681946403,0.113333333,0
4.67675E-4,15.254826882,0.360947303,0.67842031,0.116666667,0
4.69242E-4,15.536040658,0.361719296,0.674188999,0.12,0
4.69902E-4,15.770870729,0.362044005,0.670662906,0.126666667,0
4.7057E-4,16.005978399,0.362372315,0.667136812,0.13,0
4.71418E-4,16.288650434,0.362788133,0.662905501,0.133333333,0
4.71883E-4,16.524539316,0.363016102,0.659379408,0.133333333,0
4.7201E-4,16.760540919,0.363078493,0.655853315,0.133333333,0
4.72551E-4,17.043888552,0.363343288,0.651622003,0.14,0
4.75518E-4,17.280948566,0.364792448,0.64809591,0.15,0
4.77815E-4,17.519402348,0.365909987,0.644569817,0.15,0
4.7919E-4,17.758703097,0.366576956,0.641043724,0.153333333,0
4.82125E-4,18.047620162,0.367995931,0.636812412,0.16,0
4.82477E-4,18.288796606,0.368165526,0.633286319,0.163333333,0
4.82648E-4,18.530087281,0.36824797,0.629760226,0.166666667,0
4.8304E-4,18.771559583,0.368436697,0.626234133,0.166666667,0
4.87979E-4,19.014518684,0.37080697,0.622708039,0.17,0
4.89206E-4,19.258900655,0.371393085,0.619181946,0.17,0
4.91453E-4,19.504044354,0.372464016,0.615655853,0.176666667,0
4.92416E-4,19.750071708,0.372921645,0.61212976,0.176666667,0
4.9378E-4,20.046011657,0.373568403,0.607898449,0.176666667,0
4.94294E-4,20.293047123,0.373811827,0.604372355,0.18,0
4.94896E-4,20.540305131,0.374097016,0.600846262,0.183333333,0
5.00231E-4,20.789498548,0.376610832,0.597320169,0.19,0
5.01396E-4,21.039878362,0.377157151,0.593794076,0.193333333,0
5.03888E-4,21.291213338,0.378322688,0.590267983,0.196666667,0
5.04906E-4,21.543436071,0.378797271,0.58674189,0.196666667,0
5.06102E-4,21.796194415,0.379354298,0.583215797,0.196666667,0
5.08182E-4,22.049888336,0.380320608,0.579689704,0.196666667,0
5.13296E-4,22.254334958,0.382683061,0.576868829,0.2,0
5.16708E-4,22.511741722,0.384249395,0.573342736,0.203333333,0
5.16907E-4,22.770147211,0.384340478,0.569816643,0.21,0
5.17619E-4,23.028773496,0.384666183,0.56629055,0.213333333,0
5.18909E-4,23.287852348,0.385255584,0.562764457,0.216666667,0
5.25219E-4,23.548814644,0.388122362,0.559238364,0.223333333,0
5.2667E-4,23.759305343,0.388777613,0.556417489,0.223333333,0
5.3034E-4,24.023834471,0.390429128,0.552891396,0.223333333,0
5.32568E-4,24.289480492,0.391427043,0.549365303,0.23,0
5.38003E-4,24.504049142,0.393848533,0.546544429,0.233333333,0
5.42494E-4,24.774749798,0.395834768,0.543018336,0.233333333,0
5.45543E-4,25.046554701,0.397175689,0.539492243,0.243333333,0
5.47184E-4,25.265165162,0.397895288,0.536671368,0.246666667,0
5.51026E-4,25.539825765,0.399572508,0.533145275,0.246666667,0
5.53398E-4,25.760751917,0.40060346,0.530324401,0.25,0
5.57064E-4,26.038528475,0.402189994,0.526798307,0.263333333,0
5.62429E-4,26.263132017,0.404496816,0.523977433,0.263333333,0
5.67715E-4,26.54540553,0.406752074,0.52045134,0.263333333,0
5.69138E-4,26.772796811,0.407356482,0.517630465,0.263333333,0
