X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.0014544830681376246,88.37322078332905,0.6372337730081786
2.0,2.0,train,0.001366101593975661,82.03130528675011,0.6226211243457077
3.0,3.0,train,0.0013001356716511002,74.04019485858588,0.6109235604718323
4.0,4.0,train,6.394487650801981E-4,32.61743549114651,0.43575180713929673
5.0,5.0,train,6.118572663921685E-4,30.068444254058445,0.4249394010879311
6.0,6.0,train,4.181529183154737E-4,5.23912369814054,0.33555177719782986
7.0,7.0,train,0.0014553113948032163,88.51824628411462,0.637365374565045
8.0,8.0,train,4.7035286972096994E-4,15.929557749315551,0.362265500398861
9.0,9.0,train,0.0013451995385720954,79.44780254874983,0.6189914760943592
10.0,10.0,train,4.650436238016281E-4,14.78411948533743,0.35964698289831165
11.0,11.0,train,0.0015050462361521956,91.3439297459932,0.6450958177147094
12.0,12.0,train,9.447857158112791E-4,54.20700121725634,0.5329348090219878
13.0,13.0,train,0.001328580241037804,77.60603005641167,0.6160553190730803
14.0,14.0,train,0.0013059659890728807,75.34007648267145,0.6119865700007757
15.0,15.0,train,0.001604937224044741,94.11340930238026,0.6596673205598651
16.0,16.0,train,0.0020287343325111253,99.32320280278782,0.7101555259695308
17.0,17.0,train,0.0016202481163813945,95.08048192395452,0.6617956877887147
18.0,18.0,train,9.249544993771457E-4,53.508439557431416,0.5276509260349113
19.0,19.0,train,5.886178350698922E-4,28.46765964005227,0.41550568796960496
20.0,20.0,train,0.001218527455600704,68.11337064951377,0.5954086721410528
21.0,21.0,train,8.109996498023297E-4,47.54627457298992,0.49481012146425424
22.0,22.0,train,0.001413460404348696,85.13265870637984,0.6305945497712105
23.0,23.0,train,0.0013731290559164848,82.57900522491143,0.6238259610118362
24.0,24.0,train,0.0013186890597597293,76.78924789941196,0.6142862483036309
25.0,25.0,train,4.404815284662135E-4,9.554227969126956,0.34724770053012843
26.0,26.0,train,0.0013059659890728807,75.34007648267145,0.6119865700007757
27.0,27.0,train,0.0014243742622967095,86.50667028145979,0.6323844906566667
28.0,28.0,train,0.001314174999628146,76.43929285472362,0.6134734644939618
29.0,29.0,train,0.0013979920912729343,84.10377308802356,0.6280275829453443
30.0,30.0,train,5.424940017244437E-4,24.77474995172655,0.3958347676103525
31.0,31.0,train,2.2138387195555978E-4,1.3081117869416423,0.21096312347111132
32.0,32.0,train,4.286243097810406E-4,6.880119087480792,0.34108853936046923
33.0,33.0,train,0.0012927420845688172,73.52217071080725,0.6095671230167278
34.0,34.0,train,4.7366081444239904E-4,17.13256149681042,0.36388617660325284
35.0,35.0,train,4.779560910760025E-4,17.54395740266518,0.36597832912483313
36.0,36.0,train,0.0014752197633682788,89.07382771295644,0.6404998672732959
37.0,37.0,train,4.7220433313017166E-4,16.862322494688776,0.36317361229071066
38.0,38.0,train,0.0015168893378393346,92.25081271982509,0.6468882880005091
39.0,39.0,train,0.0012229956179138348,68.53494650178384,0.5962900825931938
40.0,40.0,train,6.683872229835655E-4,35.25680978425895,0.4466636481788295
41.0,41.0,train,6.552683555395E-4,34.14831246285645,0.44176966756881036
42.0,42.0,train,4.8262154955828313E-4,18.49276421119933,0.3682352539106888
43.0,43.0,train,7.715661707797402E-4,45.01110187178451,0.48235596797666985
44.0,44.0,train,4.4397279603013335E-4,9.888669568979095,0.3490393356101244
45.0,45.0,train,6.371431341311889E-4,32.324445328792784,0.43486388210439775
46.0,46.0,train,0.0013998751085604487,84.38269882364558,0.6283419751907706
47.0,47.0,train,0.0013554096380078567,80.71879836397967,0.620773145058588
48.0,48.0,train,4.1839137810518426E-4,5.263286494651253,0.3356788982900304
49.0,49.0,train,4.55372110223673E-4,12.724451991689072,0.35482131775936493
50.0,50.0,train,8.367187036246126E-4,48.86398525801396,0.5026149899210794
51.0,51.0,train,0.0012418387593506833,69.83461517087206,0.5999653052263466
52.0,52.0,train,6.223720216233943E-4,31.020576842519937,0.4291083801578305
53.0,53.0,train,6.985709640211277E-4,37.914068368695254,0.457604264846772
54.0,54.0,train,0.001657469315290758,96.86767281188162,0.6668604488528408
55.0,55.0,train,8.881297958567944E-4,52.323108536727844,0.517515334280988
56.0,56.0,train,0.0011747892464329629,65.60226759610876,0.5865729983878124
57.0,57.0,train,0.0012927420845688172,73.52217071080725,0.6095671230167278
58.0,58.0,train,0.001384971799007926,83.53496074839637,0.6258390494545479
59.0,59.0,train,5.511651750859262E-4,25.552788419379397,0.39963327937848236
60.0,60.0,train,0.0013247847914346293,77.31900471596191,0.6153784123808427
61.0,61.0,train,9.455119878837262E-4,54.27655536073214,0.5331260758835128
62.0,62.0,train,0.0012605430448085866,71.08926396350179,0.6035478597994717
63.0,63.0,train,5.303805853811809E-4,24.02867349479779,0.39044714695453187
64.0,64.0,train,0.0013152171580818228,76.57998786681091,0.6136614153990047
65.0,65.0,train,6.837982633906058E-4,36.43968275229264,0.45230422886909843
66.0,66.0,train,6.40535284221103E-4,32.81957231191043,0.43616927165482117
67.0,67.0,train,0.0013600639596322102,81.35031171762024,0.6215798097389228
68.0,68.0,train,6.823217002727993E-4,36.2688706256506,0.45176877947066796
69.0,69.0,train,3.3495898162855665E-4,2.9821337354554247,0.2880200201687821
70.0,70.0,train,6.683872229835655E-4,35.25680978425895,0.4466636481788295
71.0,71.0,train,4.948960120899532E-4,20.540305695711666,0.3740970156456149
72.0,72.0,train,0.0015624184619575316,93.63947241126208,0.6536137987026147
73.0,73.0,train,5.177641277072138E-4,23.057920410556864,0.38473267743748846
74.0,74.0,train,7.665000924322261E-4,44.557635975886484,0.48071131133544703
75.0,75.0,train,4.3507405991632616E-4,7.91950419168448,0.3444531664928268
76.0,76.0,train,0.0013812537098689382,83.03721899544611,0.6252093544216177
77.0,77.0,train,4.820846377134809E-4,18.043646958130225,0.36797634024343806
78.0,78.0,train,0.001321614323705544,76.95457815671247,0.6148111369396995
79.0,79.0,train,7.665000924322261E-4,44.557635975886484,0.48071131133544703
80.0,80.0,train,4.169640707486064E-4,5.118700938686503,0.33491728505931795
81.0,81.0,train,0.0013012627313993975,74.30074541463281,0.6111295049408398
82.0,82.0,train,6.229183635892925E-4,31.061862064341234,0.4293233470617545
83.0,83.0,train,4.5838054898189937E-4,13.126449790249453,0.3563301730940531
84.0,84.0,train,0.0014187777760566026,85.86986569471973,0.6314688042032938
85.0,85.0,train,7.842322484858203E-4,45.8414520781847,0.4864226711133299
86.0,86.0,train,0.001609375018146829,94.75591225511856,0.6602869703018832
87.0,87.0,train,8.304291819692422E-4,48.5909092929112,0.5007286924394954
88.0,88.0,train,6.1796601816159E-4,30.637896168414258,0.4273688308125032
89.0,89.0,train,0.001159384400151639,65.09291059221937,0.5833684143479417
90.0,90.0,train,0.0013646682332452646,81.75788874054767,0.6223744308221195
