Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.20084E-7,0.000022008,0.000249283,1,0,0
3.6038E-7,0.000058046,0.000408127,0.999294781,0,0
4.798E-7,0.00014734,0.000543296,0.997884344,0,0
5.60789E-7,0.000259343,0.000634944,0.996473907,0,0
1.02092E-6,0.000566061,0.00115532,0.993653032,0,0
1.8102E-6,0.001124998,0.002046669,0.990832158,0,0
4.21068E-6,0.002738591,0.004747854,0.988011283,0,0
5.53385E-6,0.005271698,0.006230527,0.98448519,0,0
7.80054E-6,0.010327348,0.008760221,0.978843441,0,0
1.47317E-5,0.026272512,0.016416278,0.969675599,0,0
3.44764E-5,0.050236612,0.037591768,0.963328632,0,0
5.02263E-5,0.104156218,0.05384034,0.95416079,0,0
6.73265E-5,0.205203865,0.070871836,0.942172073,0,0
8.96142E-5,0.307270789,0.092170732,0.933004231,0,0
1.00222E-4,0.401701604,0.101969066,0.925952045,0,0
1.19499E-4,0.511410699,0.119243234,0.918899859,0,0
1.41566E-4,0.601645557,0.138218882,0.913963329,0,0
1.53038E-4,0.705950254,0.147764906,0.909026798,0,0
1.78309E-4,0.755779651,0.1680642,0.906911142,0,0
1.88566E-4,0.811723763,0.17603005,0.904795487,0,0
1.97991E-4,0.90912393,0.183216556,0.901269394,0,0
2.10486E-4,1.010999525,0.192552694,0.8977433,0,0
2.22527E-4,1.119918039,0.201349834,0.894217207,0,0
2.38218E-4,1.21176294,0.212529977,0.891396333,0,0
2.53358E-4,1.31054915,0.223025258,0.888575458,0,0
2.69804E-4,1.415468058,0.234112584,0.885754584,0.00330033,0
2.87877E-4,1.500205794,0.245937868,0.883638928,0.00330033,0
3.15733E-4,1.772356615,0.263466062,0.877291961,0.00660066,0
3.2771E-4,2.000004083,0.270754242,0.87235543,0.00660066,0
3.404E-4,2.269486242,0.278320724,0.866713681,0.01320132,0
3.52583E-4,2.51326855,0.285438623,0.861777151,0.01320132,0
3.57045E-4,2.761920427,0.288010535,0.856840621,0.01320132,0
3.6197E-4,3.013264599,0.290827866,0.85190409,0.01320132,0
3.68634E-4,3.269406244,0.294604769,0.84696756,0.01980198,0
3.74851E-4,3.530577801,0.298092266,0.84203103,0.01980198,0
3.7731E-4,3.756335707,0.29946234,0.837799718,0.02310231,0
3.81171E-4,4.022440497,0.301602322,0.832863188,0.0330033,0
3.84714E-4,4.252569706,0.303554846,0.828631876,0.03630363,0
3.86365E-4,4.522383777,0.304460786,0.823695346,0.04620462,0
3.89863E-4,4.755411721,0.306372973,0.819464034,0.04950495,0
3.92506E-4,5.029641435,0.307810551,0.814527504,0.052805281,0
3.96685E-4,5.266564704,0.310071341,0.810296192,0.059405941,0
4.00329E-4,5.505914116,0.312031029,0.80606488,0.062706271,0
4.03004E-4,5.787350537,0.313462482,0.80112835,0.062706271,0
4.05243E-4,6.029741063,0.31465596,0.796897038,0.062706271,0
4.07257E-4,6.273354207,0.31572636,0.792665726,0.062706271,0
4.09047E-4,6.518273683,0.316674579,0.788434415,0.066006601,0
4.12514E-4,6.764346248,0.318503689,0.784203103,0.069306931,0
4.1435E-4,7.012605991,0.319468127,0.779971791,0.069306931,0
4.15847E-4,7.261689217,0.320252569,0.77574048,0.069306931,0
4.20992E-4,7.513420986,0.322935516,0.771509168,0.069306931,0
4.22603E-4,7.766541543,0.323771179,0.767277856,0.075907591,0
4.2686E-4,8.021886643,0.325969525,0.763046544,0.075907591,0
4.29293E-4,8.278658175,0.327219697,0.758815233,0.079207921,0
4.3137E-4,8.536887222,0.328283145,0.754583921,0.085808581,0
4.3208E-4,8.752777981,0.328645678,0.751057828,0.085808581,0
4.35012E-4,9.012960364,0.330139723,0.746826516,0.085808581,0
4.36205E-4,9.274327601,0.330745286,0.742595205,0.092409241,0
4.37774E-4,9.536501588,0.3315408,0.738363893,0.095709571,0
4.39782E-4,9.756025544,0.33255548,0.7348378,0.095709571,0
4.41515E-4,10.020273489,0.333429121,0.730606488,0.099009901,0
4.43138E-4,10.285720609,0.334245057,0.726375176,0.105610561,0
4.43783E-4,10.507528037,0.334568949,0.722849083,0.105610561,0
4.45216E-4,10.774264963,0.33528727,0.718617772,0.112211221,0
4.47856E-4,11.04219101,0.336606021,0.71438646,0.115511551,0
4.49158E-4,11.266531609,0.337254514,0.710860367,0.115511551,0
4.51451E-4,11.536881677,0.33839355,0.706629055,0.118811881,0
4.53199E-4,11.763168338,0.339259303,0.703102962,0.122112211,0
4.5445E-4,12.035548037,0.339877501,0.69887165,0.122112211,0
4.56821E-4,12.263394564,0.341046094,0.695345557,0.125412541,0
4.58424E-4,12.538091925,0.341833783,0.691114245,0.125412541,0
4.5988E-4,12.767848483,0.342547757,0.687588152,0.125412541,0
4.61256E-4,13.044221525,0.343220484,0.683356841,0.125412541,0
4.61948E-4,13.275045481,0.34355857,0.679830748,0.125412541,0
4.63662E-4,13.506306028,0.344394606,0.676304654,0.132013201,0
4.67108E-4,13.78571535,0.346068118,0.672073343,0.135313531,0
4.68049E-4,14.019515538,0.346523982,0.66854725,0.135313531,0
4.6912E-4,14.253926709,0.347041485,0.665021157,0.135313531,0
4.70872E-4,14.535918583,0.347886762,0.660789845,0.135313531,0
4.72854E-4,14.771966182,0.348840256,0.657263752,0.135313531,0
4.74892E-4,15.008887645,0.349817644,0.653737659,0.135313531,0
4.76169E-4,15.294337646,0.350429045,0.649506347,0.138613861,0
4.78167E-4,15.532900025,0.351382691,0.645980254,0.138613861,0
4.79657E-4,15.772530998,0.352092136,0.642454161,0.138613861,0
4.81635E-4,16.013081608,0.353031096,0.638928068,0.141914191,0
4.83833E-4,16.254917941,0.354072107,0.635401975,0.141914191,0
4.86686E-4,16.546299139,0.355417972,0.631170663,0.145214521,0
4.89931E-4,16.790563133,0.356941472,0.62764457,0.145214521,0
4.92102E-4,17.036301268,0.35795719,0.624118477,0.145214521,0
4.93723E-4,17.282909249,0.358713187,0.620592384,0.148514851,0
4.96901E-4,17.530772532,0.360190437,0.617066291,0.151815182,0
4.99263E-4,17.779816879,0.361284422,0.613540197,0.158415842,0
5.03062E-4,18.030771587,0.363035496,0.610014104,0.158415842,0
5.04745E-4,18.282803185,0.363807856,0.606488011,0.158415842,0
5.08275E-4,18.536421945,0.365422429,0.602961918,0.158415842,0
5.10184E-4,18.790967025,0.366292296,0.599435825,0.158415842,0
5.11874E-4,19.046526069,0.367060376,0.595909732,0.161716172,0
5.13901E-4,19.251868852,0.367978899,0.593088858,0.165016502,0
5.16366E-4,19.509534908,0.369092675,0.589562764,0.168316832,0
5.19491E-4,19.768752071,0.370498663,0.586036671,0.168316832,0
5.21305E-4,20.029065191,0.371311798,0.582510578,0.168316832,0
5.2343E-4,20.290523238,0.372261923,0.578984485,0.174917492,0
5.2475E-4,20.500185133,0.372851091,0.576163611,0.178217822,0
5.25896E-4,20.762934242,0.37336107,0.572637518,0.181518152,0
5.2787E-4,21.026400222,0.374238319,0.569111425,0.191419142,0
5.3042E-4,21.29098412,0.375367532,0.565585331,0.194719472,0
5.31868E-4,21.503457513,0.376006618,0.562764457,0.194719472,0
5.32643E-4,21.769671061,0.376348465,0.558533145,0.194719472,0
