X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,7.958291325583383E-4,49.071816624033744,0.4741373150749779
2.0,2.0,train,6.013713873119647E-4,28.695364559020735,0.4052312067971546
3.0,3.0,train,0.0014236102681068792,71.57850838983157,0.6172810946163944
4.0,4.0,train,7.855866612029093E-4,48.53108494842235,0.47090867448529394
5.0,5.0,train,6.591471788358444E-4,36.29841245498427,0.4275190016794801
6.0,6.0,train,5.236055869391599E-4,20.318412548910246,0.3723405265003816
7.0,7.0,train,0.0015883197120547328,83.30580101530819,0.6427923108659808
8.0,8.0,train,3.9269175675053075E-4,5.040172685675896,0.3079112334396612
9.0,9.0,train,0.0015248948087581695,78.6298512481965,0.633381947194571
10.0,10.0,train,0.0010744771606890616,59.39013179642366,0.549007602142535
11.0,11.0,train,0.0018712798752796894,90.02063306347752,0.6794946184618248
12.0,12.0,train,9.036506061741978E-4,53.62737716046251,0.5058785124917246
13.0,13.0,train,5.968367633936489E-4,28.097301632486417,0.40340824046962787
14.0,14.0,train,0.00143735482246033,73.01189051473102,0.6195484618780873
15.0,15.0,train,0.0018585572301965236,89.6467722410159,0.6780070703462822
16.0,16.0,train,0.0014154230507529752,71.43618052809934,0.6159176026350046
17.0,17.0,train,0.0018262965351576522,88.90800301728463,0.6741724729234493
18.0,18.0,train,0.0018930197266640648,90.89303658004509,0.6820049105595837
19.0,19.0,train,5.229776261385464E-4,20.234863573844937,0.3720601209304482
20.0,20.0,train,0.0019172435161560791,91.53440213228318,0.6847561040289155
21.0,21.0,train,6.605409320267795E-4,36.678831802654116,0.4280360457468708
22.0,22.0,train,0.0017420169271033202,87.30860749883004,0.6637099543955295
23.0,23.0,train,0.001470938540745294,75.2698927387724,0.6249771858397983
24.0,24.0,train,0.0018667966022390728,89.83343330771181,0.6789719992413897
25.0,25.0,train,4.811128185590416E-4,15.949577531077237,0.35278360127387026
26.0,26.0,train,0.00143735482246033,73.01189051473102,0.6195484618780873
27.0,27.0,train,0.0018409308547828016,89.2752303497496,0.6759232070175424
28.0,28.0,train,6.16345207559494E-4,30.64515831523407,0.4111724977878894
29.0,29.0,train,6.477424155754926E-4,34.78827707012385,0.4232527662353266
30.0,30.0,train,4.417167168474831E-4,10.053264959252536,0.3335307604280913
31.0,31.0,train,7.254546396605177E-4,44.39987577136601,0.4511242964924377
32.0,32.0,train,0.0015604032318240657,81.04245477608613,0.638710539255667
33.0,33.0,train,0.0015564883616734548,80.63424949848493,0.6381306615798243
34.0,34.0,train,4.4753803413810064E-4,11.009921564371346,0.336447439587887
35.0,35.0,train,3.630326434699325E-4,3.054109023735448,0.29143291521815684
36.0,36.0,train,0.0016089105172856764,83.62574054098778,0.6457443550755396
37.0,37.0,train,0.0019968476461817656,93.68969787142831,0.693471070166694
38.0,38.0,train,0.0016471512737306437,84.86888356396874,0.6510993247074296
39.0,39.0,train,0.001589540078053708,83.32483394442706,0.6429686420842519
40.0,40.0,train,6.575595537271572E-4,35.76083625367789,0.4269288964087648
41.0,41.0,train,5.500495135563014E-4,23.286395131307767,0.38392550441177686
42.0,42.0,train,4.2686005761511633E-4,8.021892723526795,0.32596952513421645
43.0,43.0,train,0.0011249345021291947,60.80913397731396,0.5603425612942152
44.0,44.0,train,0.0016515009006446931,85.09919846250278,0.6516981794733814
45.0,45.0,train,5.258958110344673E-4,20.762890916934257,0.3733610696887822
46.0,46.0,train,7.857866151083439E-4,48.54010315231102,0.4709720835096438
47.0,47.0,train,0.0018095354572127034,88.67023296898526,0.6721439267408238
48.0,48.0,train,0.001494778585314599,76.78132522507359,0.62873778848507
