x,y,species logistic values
1.0,1.0,0.36428866
2.0,2.0,0.44671848
3.0,3.0,0.3352618
4.0,4.0,0.5061909
5.0,5.0,0.1581551
6.0,6.0,0.41228116
7.0,7.0,0.634556
8.0,8.0,0.33662578
9.0,9.0,0.04405995
10.0,10.0,0.35089067
11.0,11.0,0.10453597
12.0,12.0,0.4905783
13.0,13.0,0.0032480408
14.0,14.0,0.31939536
15.0,15.0,0.3947298
16.0,16.0,0.4132494
17.0,17.0,0.32664353
18.0,18.0,0.62381846
19.0,19.0,0.31681862
20.0,20.0,0.5928772
21.0,21.0,0.556159
22.0,22.0,0.5730855
23.0,23.0,0.6217579
24.0,24.0,0.0654324
25.0,25.0,0.46203846
26.0,26.0,0.45309684
27.0,27.0,0.53775305
28.0,28.0,0.39934906
29.0,29.0,0.401478
30.0,30.0,0.3464019
31.0,31.0,0.34944907
32.0,32.0,0.59046245
33.0,33.0,0.4973514
34.0,34.0,0.40689245
35.0,35.0,0.49248624
36.0,36.0,0.43690854
37.0,37.0,0.011831952
38.0,38.0,0.5584648
39.0,39.0,0.30640724
40.0,40.0,0.33100584
41.0,41.0,0.42981964
42.0,42.0,0.011488668
43.0,43.0,0.4787446
44.0,44.0,0.27803576
45.0,45.0,0.61612195
46.0,46.0,0.49694505
47.0,47.0,0.3870393
48.0,48.0,0.23812729
49.0,49.0,0.3438509
50.0,50.0,0.05933741
51.0,51.0,0.64590573
52.0,52.0,0.43626812
53.0,53.0,0.025960365
54.0,54.0,0.40606254
55.0,55.0,0.44555667
56.0,56.0,0.3002907
57.0,57.0,0.35487226
58.0,58.0,0.34357962
59.0,59.0,0.45788005
60.0,60.0,0.31062248
61.0,61.0,0.39790994
62.0,62.0,0.5932566
63.0,63.0,0.64539975
64.0,64.0,0.314861
65.0,65.0,0.35673007
66.0,66.0,0.59270185
67.0,67.0,0.32576543
68.0,68.0,0.3188803
69.0,69.0,0.3683415
70.0,70.0,0.3296666
71.0,71.0,0.36288053
72.0,72.0,0.48619422
73.0,73.0,0.36598292
74.0,74.0,0.22456945
75.0,75.0,0.36207244
76.0,76.0,0.49882457
77.0,77.0,0.25145972
78.0,78.0,0.14864399
79.0,79.0,0.5282539
80.0,80.0,0.4943236
81.0,81.0,0.6074119
82.0,82.0,0.3326222
83.0,83.0,0.19510603
84.0,84.0,0.3209722
85.0,85.0,0.30572167
86.0,86.0,0.62601876
87.0,87.0,0.41974613
88.0,88.0,0.46765953
89.0,89.0,0.57837677
90.0,90.0,0.3568724
91.0,91.0,0.2190214
92.0,92.0,0.43477318
93.0,93.0,0.37058923
94.0,94.0,0.32583016
95.0,95.0,0.33843723
96.0,96.0,0.30254316
97.0,97.0,0.44823462
98.0,98.0,0.2698766
99.0,99.0,0.12712324
100.0,100.0,0.52011627
101.0,101.0,0.3061644
102.0,102.0,0.415637
103.0,103.0,0.36196643
104.0,104.0,0.30968675
105.0,105.0,0.53184617
106.0,106.0,0.2954764
107.0,107.0,0.39320216
108.0,108.0,0.3217445
109.0,109.0,0.42555794
110.0,110.0,0.3269498
111.0,111.0,0.34762686
112.0,112.0,0.40031347
113.0,113.0,0.4636998
114.0,114.0,0.1088816
115.0,115.0,0.28728947
116.0,116.0,0.2578188
117.0,117.0,0.33872756
118.0,118.0,0.50092435
119.0,119.0,0.32505688
120.0,120.0,0.13243209
121.0,121.0,0.3901539
122.0,122.0,0.4501366
123.0,123.0,0.39943826
124.0,124.0,0.33558363
125.0,125.0,0.42331582
126.0,126.0,0.5833546
127.0,127.0,0.43211922
128.0,128.0,0.085655585
129.0,129.0,0.43038023
130.0,130.0,0.325758
131.0,131.0,0.59252876
132.0,132.0,0.39724788
133.0,133.0,0.4507334
134.0,134.0,0.4011935
135.0,135.0,0.30550748
136.0,136.0,0.44726193
137.0,137.0,0.49374694
138.0,138.0,0.35463443
139.0,139.0,0.47585407
140.0,140.0,0.33359182
141.0,141.0,0.39843836
142.0,142.0,0.42785797
143.0,143.0,0.1959597
144.0,144.0,0.4246778
145.0,145.0,0.44998887
146.0,146.0,0.6099396
147.0,147.0,0.32972977
148.0,148.0,0.29316783
149.0,149.0,0.40482926
150.0,150.0,0.5753634
151.0,151.0,0.34904838
152.0,152.0,0.08293857
153.0,153.0,0.3931273
154.0,154.0,0.6154405
155.0,155.0,0.35427853
156.0,156.0,0.33698
157.0,157.0,0.3723815
158.0,158.0,0.72030145
159.0,159.0,0.3468197
160.0,160.0,0.43812564
161.0,161.0,0.45863858
162.0,162.0,0.12088841
163.0,163.0,0.51266533
164.0,164.0,0.32388356
165.0,165.0,0.32773587
166.0,166.0,0.62586766
167.0,167.0,0.08629005
168.0,168.0,0.660188
169.0,169.0,0.54185665
170.0,170.0,0.31628847
171.0,171.0,0.44403863
172.0,172.0,0.34715927
173.0,173.0,0.37359235
174.0,174.0,0.61070013
175.0,175.0,0.512427
176.0,176.0,0.34902838
