x,y,species logistic values
1.0,1.0,0.36313167
2.0,2.0,0.48237273
3.0,3.0,0.300145
4.0,4.0,0.55523163
5.0,5.0,0.13154648
6.0,6.0,0.40977803
7.0,7.0,0.6250835
8.0,8.0,0.26176932
9.0,9.0,0.095575295
10.0,10.0,0.31383517
11.0,11.0,0.09582232
12.0,12.0,0.5149808
13.0,13.0,0.017805418
14.0,14.0,0.31774086
15.0,15.0,0.39531657
16.0,16.0,0.44088382
17.0,17.0,0.33969906
18.0,18.0,0.59793407
19.0,19.0,0.31529245
20.0,20.0,0.6136804
21.0,21.0,0.56767184
22.0,22.0,0.584854
23.0,23.0,0.6344225
24.0,24.0,0.12678725
25.0,25.0,0.4834467
26.0,26.0,0.49348614
27.0,27.0,0.58417124
28.0,28.0,0.4414377
29.0,29.0,0.38631678
30.0,30.0,0.41241217
31.0,31.0,0.3091086
32.0,32.0,0.4915767
33.0,33.0,0.47917685
34.0,34.0,0.40424713
35.0,35.0,0.51431304
36.0,36.0,0.43590692
37.0,37.0,0.04395466
38.0,38.0,0.6012861
39.0,39.0,0.31328368
40.0,40.0,0.300145
41.0,41.0,0.4551941
42.0,42.0,0.04402156
43.0,43.0,0.5234483
44.0,44.0,0.2608711
45.0,45.0,0.6378094
46.0,46.0,0.5504706
47.0,47.0,0.363428
48.0,48.0,0.32075542
49.0,49.0,0.32874474
50.0,50.0,0.13246259
51.0,51.0,0.6187377
52.0,52.0,0.49955723
53.0,53.0,0.06615481
54.0,54.0,0.43100923
55.0,55.0,0.47189796
56.0,56.0,0.32187146
57.0,57.0,0.43532395
58.0,58.0,0.2721525
59.0,59.0,0.4834467
60.0,60.0,0.30475143
61.0,61.0,0.42363214
62.0,62.0,0.579566
63.0,63.0,0.6395942
64.0,64.0,0.3138219
65.0,65.0,0.33125898
66.0,66.0,0.53140277
67.0,67.0,0.34565347
68.0,68.0,0.32760644
69.0,69.0,0.35159317
70.0,70.0,0.31529245
71.0,71.0,0.35617968
72.0,72.0,0.5251205
73.0,73.0,0.3921254
74.0,74.0,0.17347312
75.0,75.0,0.34507686
76.0,76.0,0.55028766
77.0,77.0,0.32064596
78.0,78.0,0.21367508
79.0,79.0,0.44744062
80.0,80.0,0.4697016
81.0,81.0,0.62848276
82.0,82.0,0.31573436
83.0,83.0,0.21513127
84.0,84.0,0.30252653
85.0,85.0,0.31089234
86.0,86.0,0.63274044
87.0,87.0,0.35999492
88.0,88.0,0.5024515
89.0,89.0,0.6176081
90.0,90.0,0.35806048
91.0,91.0,0.22821511
92.0,92.0,0.378847
93.0,93.0,0.30865228
94.0,94.0,0.32107654
95.0,95.0,0.3110493
96.0,96.0,0.3053779
97.0,97.0,0.45947763
98.0,98.0,0.21672992
99.0,99.0,0.15004954
100.0,100.0,0.5597025
101.0,101.0,0.2867462
102.0,102.0,0.41878018
103.0,103.0,0.3778789
104.0,104.0,0.29095367
105.0,105.0,0.5791266
106.0,106.0,0.30663854
107.0,107.0,0.356696
108.0,108.0,0.3055095
109.0,109.0,0.44209924
110.0,110.0,0.31482637
111.0,111.0,0.3476616
112.0,112.0,0.46215934
113.0,113.0,0.4834467
114.0,114.0,0.14447133
115.0,115.0,0.2793477
116.0,116.0,0.21715027
117.0,117.0,0.35326514
118.0,118.0,0.532018
119.0,119.0,0.25103486
120.0,120.0,0.15376256
121.0,121.0,0.405281
122.0,122.0,0.47798124
123.0,123.0,0.41816407
124.0,124.0,0.3886599
125.0,125.0,0.39586455
126.0,126.0,0.62037385
127.0,127.0,0.43619037
128.0,128.0,0.16204043
129.0,129.0,0.4288333
130.0,130.0,0.3138219
131.0,131.0,0.6018995
132.0,132.0,0.46918297
133.0,133.0,0.48679334
134.0,134.0,0.4727479
135.0,135.0,0.2390962
136.0,136.0,0.45899683
137.0,137.0,0.54688334
138.0,138.0,0.33146065
139.0,139.0,0.5234284
140.0,140.0,0.31573436
141.0,141.0,0.3847316
142.0,142.0,0.45395765
143.0,143.0,0.16884413
144.0,144.0,0.42964008
145.0,145.0,0.46555376
146.0,146.0,0.61147994
147.0,147.0,0.30954075
148.0,148.0,0.29737148
149.0,149.0,0.41935992
150.0,150.0,0.6180388
151.0,151.0,0.31787536
152.0,152.0,0.15632142
153.0,153.0,0.41249582
154.0,154.0,0.64457864
155.0,155.0,0.35508534
156.0,156.0,0.31725925
157.0,157.0,0.40432417
158.0,158.0,0.70500964
159.0,159.0,0.3423816
160.0,160.0,0.47622642
161.0,161.0,0.49612415
162.0,162.0,0.1910769
163.0,163.0,0.5639119
164.0,164.0,0.32971287
165.0,165.0,0.3055095
166.0,166.0,0.64866585
167.0,167.0,0.11351208
168.0,168.0,0.655491
169.0,169.0,0.575404
170.0,170.0,0.31328368
171.0,171.0,0.49051487
172.0,172.0,0.3228137
173.0,173.0,0.45062608
174.0,174.0,0.6194317
175.0,175.0,0.5597025
176.0,176.0,0.43068734
177.0,177.0,0.6017345
178.0,178.0,0.4192153
179.0,179.0,0.3415885
180.0,180.0,0.4613648
181.0,181.0,0.30298245
182.0,182.0,0.48313755
183.0,183.0,0.5872932
184.0,184.0,0.59130245
185.0,185.0,0.4076879
186.0,186.0,0.31258693
187.0,187.0,0.63181835
188.0,188.0,0.39189854
189.0,189.0,0.32581657
190.0,190.0,0.47288823
191.0,191.0,0.08538862
192.0,192.0,0.3366151
193.0,193.0,0.06650132
194.0,194.0,0.44928682
195.0,195.0,0.31319904
196.0,196.0,0.3189494
197.0,197.0,0.18756491
198.0,198.0,0.62510824
199.0,199.0,0.45764986
200.0,200.0,0.55347323
201.0,201.0,0.4212759
202.0,202.0,0.38523635
203.0,203.0,0.3336877
204.0,204.0,0.52856004
205.0,205.0,0.3433808
206.0,206.0,0.32760644
207.0,207.0,0.35161972
208.0,208.0,0.36645812
209.0,209.0,0.33833683
210.0,210.0,0.109437995
211.0,211.0,0.29674545
212.0,212.0,0.3150369
213.0,213.0,0.11133184
214.0,214.0,0.08292849
215.0,215.0,0.60173184
216.0,216.0,0.035297845
217.0,217.0,0.57550234
218.0,218.0,0.5156317
219.0,219.0,0.25673875
220.0,220.0,0.58417124
221.0,221.0,0.30050611
222.0,222.0,0.33542922
223.0,223.0,0.44654274
224.0,224.0,0.6434872
225.0,225.0,0.24764076
226.0,226.0,0.5797191
227.0,227.0,0.10999197
228.0,228.0,0.058450527
229.0,229.0,0.5569859
230.0,230.0,0.39732853
231.0,231.0,0.3228137
232.0,232.0,0.29719836
233.0,233.0,0.30910358
234.0,234.0,0.20099714
235.0,235.0,0.44014716
236.0,236.0,0.24070589
237.0,237.0,0.2280919
238.0,238.0,0.32415742
239.0,239.0,0.4188211
240.0,240.0,0.47618052
241.0,241.0,0.034727782
242.0,242.0,0.46178758
243.0,243.0,0.5974662
244.0,244.0,0.41795194
245.0,245.0,0.12270423
246.0,246.0,0.29892877
247.0,247.0,0.5725891
248.0,248.0,0.30711657
249.0,249.0,0.47384784
250.0,250.0,0.48004434
251.0,251.0,0.65169364
252.0,252.0,0.10223596
253.0,253.0,0.35556123
254.0,254.0,0.45555496
255.0,255.0,0.646144
256.0,256.0,0.39549983
257.0,257.0,0.14525291
258.0,258.0,0.6112211
259.0,259.0,0.37876654
260.0,260.0,0.3228137
261.0,261.0,0.30785698
262.0,262.0,0.5831081
263.0,263.0,0.413981
264.0,264.0,0.566138
265.0,265.0,0.37313744
266.0,266.0,0.4033403
267.0,267.0,0.32527995
268.0,268.0,0.19572763
269.0,269.0,0.35159415
270.0,270.0,0.49281427
271.0,271.0,0.60575235
272.0,272.0,0.28485832
273.0,273.0,0.25449297
274.0,274.0,0.09056932
275.0,275.0,0.5398709
276.0,276.0,0.2831432
277.0,277.0,0.6283098
278.0,278.0,0.6155098
279.0,279.0,0.15287437
280.0,280.0,0.30522004
281.0,281.0,0.31774086
282.0,282.0,0.555647
283.0,283.0,0.36916995
284.0,284.0,0.31482637
285.0,285.0,0.41630727
286.0,286.0,0.318818
287.0,287.0,0.029580144
288.0,288.0,0.35326514
289.0,289.0,0.49836317
290.0,290.0,0.5779859
291.0,291.0,0.42428643
292.0,292.0,0.62901074
293.0,293.0,0.55791944
294.0,294.0,0.21594222
295.0,295.0,0.40570417
296.0,296.0,0.3263661
297.0,297.0,0.4611111
298.0,298.0,0.49102944
299.0,299.0,0.31482637
300.0,300.0,0.47097936
301.0,301.0,0.5865672
302.0,302.0,0.3853103
303.0,303.0,0.3055095
304.0,304.0,0.00582672
305.0,305.0,0.21012545
306.0,306.0,0.29341778
307.0,307.0,0.617011
308.0,308.0,0.4204091
309.0,309.0,0.6202926
310.0,310.0,0.3291463
311.0,311.0,0.28470266
312.0,312.0,0.49646926
313.0,313.0,0.31757954
314.0,314.0,0.5144794
315.0,315.0,0.29929858
316.0,316.0,0.22337538
317.0,317.0,0.11413117
318.0,318.0,0.30015117
319.0,319.0,0.39837095
320.0,320.0,0.33944845
321.0,321.0,0.40742713
322.0,322.0,0.63015634
323.0,323.0,0.40701267
324.0,324.0,0.32490546
325.0,325.0,0.04070061
326.0,326.0,0.482911
327.0,327.0,0.34565347
328.0,328.0,0.33513612
329.0,329.0,0.33820936
330.0,330.0,0.2966833
331.0,331.0,0.37710324
332.0,332.0,0.4168655
333.0,333.0,0.48191622
334.0,334.0,0.32058117
335.0,335.0,0.61037964
336.0,336.0,0.31654546
337.0,337.0,0.5722379
338.0,338.0,0.5577875
339.0,339.0,0.29776177
340.0,340.0,0.43486726
341.0,341.0,0.25860676
342.0,342.0,0.32154754
343.0,343.0,0.55375224
344.0,344.0,0.16162726
345.0,345.0,0.2895015
346.0,346.0,0.44748944
347.0,347.0,0.6575366
348.0,348.0,0.5878383
349.0,349.0,0.30954075
350.0,350.0,0.30556607
351.0,351.0,0.16950312
352.0,352.0,0.2769329
353.0,353.0,0.2877609
354.0,354.0,0.31529245
355.0,355.0,0.039276276
356.0,356.0,0.22471493
357.0,357.0,0.13034238
358.0,358.0,0.482911
359.0,359.0,0.32580593
360.0,360.0,0.3367733
361.0,361.0,0.4854342
362.0,362.0,0.35306022
363.0,363.0,0.066995494
364.0,364.0,0.17607048
365.0,365.0,0.33050352
366.0,366.0,0.02577059
367.0,367.0,0.33592188
368.0,368.0,0.30490667
369.0,369.0,0.58581096
370.0,370.0,0.32573014
371.0,371.0,0.12647547
372.0,372.0,0.60305494
373.0,373.0,0.35375872
374.0,374.0,0.48699778
375.0,375.0,0.30475143
376.0,376.0,0.34876278
377.0,377.0,0.41827866
378.0,378.0,0.40779713
379.0,379.0,0.48188838
380.0,380.0,0.5493347
381.0,381.0,0.5101649
382.0,382.0,0.34810007
383.0,383.0,0.3867164
384.0,384.0,0.31192732
385.0,385.0,0.39827207
386.0,386.0,0.6707305
387.0,387.0,0.28360918
388.0,388.0,0.47076192
389.0,389.0,0.37878007
390.0,390.0,0.38994074
391.0,391.0,0.038144022
392.0,392.0,0.40441552
393.0,393.0,0.5215165
394.0,394.0,0.52332973
395.0,395.0,0.33163723
396.0,396.0,0.65169364
397.0,397.0,0.31725925
398.0,398.0,0.44431746
399.0,399.0,0.520666
400.0,400.0,0.48451456
401.0,401.0,0.3776185
402.0,402.0,0.39190024
403.0,403.0,0.55492836
404.0,404.0,0.32709208
405.0,405.0,0.4345159
406.0,406.0,0.19823197
407.0,407.0,0.49829987
408.0,408.0,0.25995865
409.0,409.0,0.3263661
