Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.27037E-6,0.000527037,0.00582672,1,0,0
7.34036E-6,0.001261073,0.008096691,0.999270605,0,0
8.50036E-6,0.002937755,0.009364239,0.997811816,0,0
1.00162E-5,0.005794478,0.01101568,0.995623632,0,0
1.45266E-5,0.010908328,0.015897385,0.992706054,0,0
3.10599E-5,0.026675958,0.033386666,0.987600292,0,0
3.56612E-5,0.050008789,0.038144023,0.98249453,0,0
4.75773E-5,0.103172536,0.05024936,0.9730124,0,0
8.39542E-5,0.204063384,0.085388623,0.962071481,0,0
9.73364E-5,0.304188943,0.097670114,0.95404814,0,0
1.10208E-4,0.409236845,0.109176068,0.946754194,0,0
1.15855E-4,0.510517319,0.114131171,0.940189643,0,0
1.34777E-4,0.613059504,0.130342379,0.934354486,0,0
1.51854E-4,0.712527277,0.144471334,0.929248724,0,0
1.53332E-4,0.758411413,0.14567292,0.92706054,0,0
1.58752E-4,0.805624995,0.150049535,0.924872356,0,0
1.72712E-4,0.904956128,0.161118215,0.920495988,0,0
1.81233E-4,1.010534951,0.167733857,0.916119621,0,0
1.89992E-4,1.103301045,0.174426051,0.912472648,0,0
2.03729E-4,1.200187309,0.184708331,0.908825675,0,0
2.18841E-4,1.3067178,0.195727633,0.905178702,0,0
2.26215E-4,1.418137503,0.20099715,0.901531729,0,0
2.32935E-4,1.510262025,0.205740023,0.89861415,0.00660066,0
2.44402E-4,1.75011861,0.213703633,0.891320204,0.00660066,0
2.63585E-4,2.028652478,0.226674926,0.883296864,0.00660066,0
2.82567E-4,2.272538425,0.239096201,0.876732312,0.01320132,0
3.06483E-4,2.509224271,0.254188463,0.870897155,0.01650165,0
3.24475E-4,2.762254802,0.265154315,0.865061999,0.02310231,0
3.46896E-4,3.033885065,0.278375946,0.859226842,0.02970297,0
3.55999E-4,3.280149727,0.283609177,0.85412108,0.0330033,0
3.6152E-4,3.531694369,0.286746217,0.849015317,0.03630363,0
3.67302E-4,3.75066074,0.290002132,0.84463895,0.03960396,0
3.7394E-4,4.010511324,0.293704113,0.839533187,0.03960396,0
3.77202E-4,4.273493991,0.295508586,0.834427425,0.04290429,0
3.79447E-4,4.500867476,0.296745447,0.830051058,0.04290429,0
3.82412E-4,4.805872087,0.298372505,0.824215901,0.04290429,0
3.8382E-4,5.035784111,0.299142515,0.819839533,0.04290429,0
3.85658E-4,5.266616585,0.300144993,0.815463166,0.04620462,0
3.87243E-4,5.5368623,0.301007163,0.810357403,0.04620462,0
3.90308E-4,5.809273126,0.302668928,0.805251641,0.04950495,0
3.92963E-4,6.005141169,0.304101633,0.801604668,0.052805281,0
3.95043E-4,6.320589154,0.305220041,0.795769511,0.056105611,0
3.95583E-4,6.597292565,0.305509505,0.790663749,0.059405941,0
3.95688E-4,6.755536269,0.305566072,0.787746171,0.059405941,0
3.98522E-4,7.033810112,0.307082408,0.782640408,0.059405941,0
4.00462E-4,7.273390578,0.308116726,0.778264041,0.062706271,0
4.01451E-4,7.513941295,0.308642526,0.773887673,0.066006601,0
4.03143E-4,7.755390648,0.309540753,0.769511306,0.072607261,0
4.04658E-4,8.038003518,0.310343155,0.764405543,0.082508251,0
4.0715E-4,8.322247928,0.311658864,0.759299781,0.082508251,0
4.08056E-4,8.526067776,0.312135544,0.755652808,0.082508251,0
4.0917E-4,8.771231564,0.312721532,0.750547046,0.085808581,0
