x,y,species logistic values
1.0,1.0,0.35671818
2.0,2.0,0.47785345
3.0,3.0,0.29386857
4.0,4.0,0.5525362
5.0,5.0,0.12758766
6.0,6.0,0.4059605
7.0,7.0,0.6219324
8.0,8.0,0.25747272
9.0,9.0,0.08833272
10.0,10.0,0.30877802
11.0,11.0,0.08670165
12.0,12.0,0.50926244
13.0,13.0,0.015725126
14.0,14.0,0.31050846
15.0,15.0,0.39159217
16.0,16.0,0.43562126
17.0,17.0,0.33274013
18.0,18.0,0.5933195
19.0,19.0,0.30846834
20.0,20.0,0.6111329
21.0,21.0,0.56324166
22.0,22.0,0.5810188
23.0,23.0,0.6322116
24.0,24.0,0.11872488
25.0,25.0,0.48031864
26.0,26.0,0.4882683
27.0,27.0,0.58228004
28.0,28.0,0.4380976
29.0,29.0,0.38147956
30.0,30.0,0.40820616
31.0,31.0,0.29595748
32.0,32.0,0.4821453
33.0,33.0,0.47062245
34.0,34.0,0.40037215
35.0,35.0,0.5083916
36.0,36.0,0.4317215
37.0,37.0,0.03995129
38.0,38.0,0.59960836
39.0,39.0,0.30623734
40.0,40.0,0.29386857
41.0,41.0,0.4499949
42.0,42.0,0.04021991
43.0,43.0,0.52076393
44.0,44.0,0.24793826
45.0,45.0,0.63608617
46.0,46.0,0.5482202
47.0,47.0,0.35808828
48.0,48.0,0.31228536
49.0,49.0,0.3220174
50.0,50.0,0.12514496
51.0,51.0,0.6149381
52.0,52.0,0.49635842
53.0,53.0,0.060509667
54.0,54.0,0.42245996
55.0,55.0,0.46762365
56.0,56.0,0.317518
57.0,57.0,0.43078333
58.0,58.0,0.2676525
59.0,59.0,0.48031864
60.0,60.0,0.29749656
61.0,61.0,0.42015
62.0,62.0,0.57482255
63.0,63.0,0.6369536
64.0,64.0,0.3068317
65.0,65.0,0.3249594
66.0,66.0,0.5237287
67.0,67.0,0.3386363
68.0,68.0,0.3201086
69.0,69.0,0.34567225
70.0,70.0,0.30846834
71.0,71.0,0.34969553
72.0,72.0,0.5216536
73.0,73.0,0.38278288
74.0,74.0,0.16939922
75.0,75.0,0.33918983
76.0,76.0,0.5480527
77.0,77.0,0.31136456
78.0,78.0,0.20388287
79.0,79.0,0.43701518
80.0,80.0,0.46072078
81.0,81.0,0.6264524
82.0,82.0,0.3089648
83.0,83.0,0.20397227
84.0,84.0,0.29567644
85.0,85.0,0.30361792
86.0,86.0,0.6302901
87.0,87.0,0.34755403
88.0,88.0,0.49946505
89.0,89.0,0.61611015
90.0,90.0,0.35205686
