Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.52178E-6,0.000452178,0.004957956,1,0,0
6.33748E-6,0.001085925,0.006934997,0.999271137,0,0
7.46156E-6,0.002544092,0.008155031,0.997813411,0,0
8.74237E-6,0.005037348,0.009541525,0.995626822,0,0
1.44497E-5,0.011001972,0.015672898,0.991982507,0,0
2.92088E-5,0.026820795,0.031182285,0.986880466,0,0
3.39906E-5,0.052006516,0.036102857,0.981049563,0,0
5.26154E-5,0.104213637,0.054800963,0.971574344,0,0
7.93187E-5,0.202903817,0.080377978,0.960641399,0,0
9.36256E-5,0.30837296,0.093520146,0.951895044,0,0
1.06159E-4,0.410169903,0.104727949,0.944606414,0,0
1.20916E-4,0.510546874,0.117574674,0.938046647,0,0
1.32898E-4,0.612016286,0.127737165,0.932215743,0,0
1.46453E-4,0.710437719,0.13895597,0.927113703,0,0
1.4873E-4,0.754741533,0.140812166,0.924927114,0,0
1.58455E-4,0.801509004,0.148650319,0.922740525,0,0
1.67092E-4,0.916555509,0.155492905,0.917638484,0,0
1.71009E-4,1.001294965,0.158560475,0.913994169,0.003333333,0
1.85083E-4,1.109050411,0.16939922,0.909620991,0.003333333,0
2.03197E-4,1.20764139,0.182944813,0.905976676,0.003333333,0
2.08184E-4,1.310847152,0.186597203,0.902332362,0.006666667,0
2.19493E-4,1.417761397,0.19475932,0.898688047,0.006666667,0
2.25971E-4,1.506468621,0.199361743,0.895772595,0.006666667,0
2.40583E-4,1.764634095,0.209551411,0.887755102,0.01,0
2.59501E-4,2.016025175,0.222365366,0.880466472,0.013333333,0
2.7866E-4,2.257633083,0.234925963,0.873906706,0.02,0
3.04125E-4,2.522190104,0.25100516,0.867346939,0.023333333,0
3.28743E-4,2.779327659,0.265920708,0.861516035,0.033333333,0
3.39542E-4,3.012493892,0.272277132,0.856413994,0.036666667,0
3.48483E-4,3.252344266,0.277457682,0.851311953,0.036666667,0
3.57478E-4,3.535743543,0.282595497,0.84548105,0.04,0
3.62104E-4,3.752552359,0.28520961,0.841107872,0.04,0
3.66469E-4,4.007452484,0.287658629,0.836005831,0.04,0
3.70719E-4,4.302260148,0.290027416,0.830174927,0.04,0
3.7328E-4,4.562693909,0.291446966,0.825072886,0.04,0
3.75682E-4,4.78751874,0.292773322,0.820699708,0.04,0
3.76999E-4,5.013317905,0.293498211,0.816326531,0.043333333,0
3.79397E-4,5.277951231,0.294814558,0.81122449,0.043333333,0
3.80971E-4,5.50609949,0.295676454,0.806851312,0.05,0
3.82793E-4,5.77334555,0.296670812,0.801749271,0.05,0
3.85202E-4,6.003890802,0.297981681,0.797376093,0.053333333,0
3.85918E-4,6.273829739,0.298370205,0.792274052,0.053333333,0
3.87957E-4,6.622049436,0.299474323,0.785714286,0.053333333,0
3.8928E-4,6.81647288,0.300189096,0.782069971,0.056666667,0
3.9083E-4,7.011625096,0.301024581,0.778425656,0.056666667,0
3.92228E-4,7.285678934,0.301776454,0.773323615,0.063333333,0
3.94329E-4,7.600558067,0.302903058,0.767492711,0.066666667,0
3.95802E-4,7.758637179,0.303691109,0.764577259,0.07,0
3.9832E-4,8.036839723,0.305033913,0.759475219,0.07,0
3.99813E-4,8.316288447,0.305827414,0.754373178,0.073333333,0
4.00782E-4,8.516540821,0.306341701,0.750728863,0.08,0
4.02388E-4,8.797709744,0.307191961,0.745626822,0.08,0
4.04561E-4,9.120562786,0.30833963,0.739795918,0.08,0
4.05393E-4,9.363504818,0.308778011,0.735422741,0.08,0
4.0598E-4,9.688126484,0.30908672,0.729591837,0.083333333,0
4.06645E-4,9.76939686,0.309436612,0.728134111,0.086666667,0
4.08688E-4,10.136163931,0.310508463,0.721574344,0.086666667,0
4.09061E-4,10.258816488,0.310703505,0.719387755,0.086666667,0
4.09977E-4,10.545458303,0.311182921,0.714285714,0.086666667,0
4.11056E-4,10.750727722,0.311746415,0.710641399,0.086666667,0
4.12422E-4,11.039056404,0.312458547,0.705539359,0.09,0
4.13941E-4,11.286960891,0.313249201,0.701166181,0.096666667,0
4.1522E-4,11.535736611,0.313913028,0.696793003,0.096666667,0
4.16889E-4,11.785605251,0.314777931,0.692419825,0.096666667,0
4.18661E-4,12.036274104,0.315693251,0.688046647,0.1,0
4.20245E-4,12.371945688,0.316509822,0.682215743,0.103333333,0
4.21606E-4,12.540295737,0.317209711,0.679300292,0.103333333,0
4.23201E-4,12.75155867,0.318028248,0.675655977,0.11,0
4.24816E-4,13.006129305,0.318854764,0.671282799,0.12,0
4.26518E-4,13.261500906,0.319723745,0.666909621,0.123333333,0
4.27273E-4,13.517692989,0.320108578,0.662536443,0.123333333,0
4.30326E-4,13.818267038,0.321659914,0.657434402,0.123333333,0
4.31031E-4,14.033586113,0.322017405,0.653790087,0.13,0
4.3398E-4,14.293267516,0.323508013,0.64941691,0.136666667,0
4.36311E-4,14.511011657,0.324681013,0.645043732,0.136666667,0
4.38873E-4,14.773658152,0.325966068,0.641399417,0.146666667,0
4.42787E-4,15.03800166,0.32792003,0.637026239,0.153333333,0
4.43257E-4,15.303822425,0.328154096,0.632653061,0.153333333,0
4.45575E-4,15.526079723,0.329304744,0.629008746,0.156666667,0
4.49561E-4,15.839805441,0.331274911,0.623906706,0.16,0
4.50757E-4,16.019941247,0.331863925,0.620262391,0.16,0
4.52172E-4,16.290870146,0.332558856,0.616618076,0.166666667,0
4.5492E-4,16.51741568,0.333905347,0.612973761,0.166666667,0
4.56879E-4,16.836585389,0.334861665,0.60787172,0.17,0
4.5874E-4,17.019647546,0.335767779,0.604956268,0.17,0
4.62602E-4,17.250370118,0.337640028,0.601311953,0.17,0
4.65082E-4,17.529039672,0.338836605,0.596938776,0.173333333,0
4.65883E-4,17.761850267,0.339222356,0.593294461,0.176666667,0
4.6876E-4,18.042643012,0.340603798,0.588921283,0.18,0
4.74542E-4,18.278762702,0.343362395,0.585276968,0.183333333,0
4.79421E-4,18.517490881,0.345672238,0.581632653,0.186666667,0
4.80909E-4,18.757442942,0.346373572,0.577988338,0.19,0
4.83209E-4,19.046596244,0.347454316,0.57361516,0.196666667,0
4.88001E-4,19.289661219,0.349695531,0.569970845,0.203333333,0
4.91252E-4,19.534677773,0.351206581,0.565597668,0.203333333,0
4.93449E-4,19.780887922,0.352224226,0.562682216,0.21,0
4.97485E-4,20.028620016,0.354085073,0.559037901,0.216666667,0
5.03711E-4,20.279150467,0.356934688,0.555393586,0.226666667,0
5.08412E-4,20.532620199,0.359069778,0.551749271,0.233333333,0
5.18885E-4,20.78871053,0.363775787,0.548104956,0.236666667,0
5.23102E-4,21.048929793,0.365651027,0.544460641,0.243333333,0
5.2577E-4,21.258773715,0.366831722,0.54154519,0.253333333,0
5.34845E-4,21.524300207,0.370815861,0.537900875,0.253333333,0
5.37967E-4,21.792686702,0.372174539,0.53425656,0.263333333,0
5.40129E-4,22.008268317,0.373112095,0.531341108,0.27,0
5.42319E-4,22.278993627,0.374059209,0.527696793,0.273333333,0
5.44428E-4,22.55079941,0.374968595,0.524052478,0.273333333,0
5.49833E-4,22.769792175,0.377286491,0.521137026,0.273333333,0
