variable,x,y
bio1,-307.1,4.259283999444568E-15
bio1,-305.7776,4.259283999444568E-15
bio1,-304.45520000000005,4.259283999444568E-15
bio1,-303.13280000000003,4.259283999444568E-15
bio1,-301.8104,4.259283999444568E-15
bio1,-300.488,4.259283999444568E-15
bio1,-299.16560000000004,4.259283999444568E-15
bio1,-297.8432,4.259283999444568E-15
bio1,-296.5208,4.259283999444568E-15
bio1,-295.19840000000005,4.259283999444568E-15
bio1,-293.87600000000003,4.259283999444568E-15
bio1,-292.5536,4.259283999444568E-15
bio1,-291.2312,4.259283999444568E-15
bio1,-289.90880000000004,4.259283999444568E-15
bio1,-288.5864,4.259283999444568E-15
bio1,-287.264,4.259283999444568E-15
bio1,-285.9416,4.259283999444568E-15
bio1,-284.61920000000003,4.259283999444568E-15
bio1,-283.2968,4.259283999444568E-15
bio1,-281.9744,4.259283999444568E-15
bio1,-280.65200000000004,4.259283999444568E-15
bio1,-279.3296,4.259283999444568E-15
bio1,-278.0072,4.259283999444568E-15
bio1,-276.6848,4.259283999444568E-15
bio1,-275.36240000000004,4.259283999444568E-15
bio1,-274.04,4.259283999444568E-15
bio1,-272.7176,4.259283999444568E-15
bio1,-271.39520000000005,4.259283999444568E-15
bio1,-270.07280000000003,4.259283999444568E-15
bio1,-268.7504,4.259283999444568E-15
bio1,-267.428,4.259283999444568E-15
bio1,-266.10560000000004,4.259283999444568E-15
bio1,-264.7832,4.259283999444568E-15
bio1,-263.4608,4.259283999444568E-15
bio1,-262.13840000000005,4.259283999444568E-15
bio1,-260.81600000000003,4.259283999444568E-15
bio1,-259.4936,4.259283999444568E-15
bio1,-258.1712,4.259283999444568E-15
bio1,-256.84880000000004,4.259283999444568E-15
bio1,-255.52640000000002,4.259283999444568E-15
bio1,-254.204,4.259283999444568E-15
bio1,-252.88160000000002,4.259283999444568E-15
bio1,-251.55920000000003,4.5522998009541425E-15
bio1,-250.23680000000002,5.555740346534265E-15
bio1,-248.9144,6.776319058692448E-15
bio1,-247.592,8.260124694154693E-15
bio1,-246.26960000000003,1.0062809858654449E-14
bio1,-244.9472,1.2251626850621339E-14
bio1,-243.62480000000002,1.490764604047002E-14
bio1,-242.30240000000003,1.8128642982400897E-14
bio1,-240.98000000000002,2.2032426406849888E-14
bio1,-239.6576,2.67608709443503E-14
bio1,-238.33520000000001,3.248463848718082E-14
bio1,-237.01280000000003,3.9409203981752294E-14
bio1,-235.6904,4.7781321678127056E-14
bio1,-234.36800000000002,5.789745310784411E-14
bio1,-233.0456,7.011350457468077E-14
bio1,-231.72320000000002,8.485623499438627E-14
bio1,-230.4008,1.0263787568335139E-13
bio1,-229.07840000000002,1.2407161073275247E-13
bio1,-227.75600000000003,1.4989185836544044E-13
bio1,-226.4336,1.809774660861685E-13
bio1,-225.11120000000003,2.183790122475479E-13
bio1,-223.7888,2.633534937433041E-13
bio1,-222.46640000000002,3.1740089072654354E-13
bio1,-221.144,3.823120747932507E-13
bio1,-219.82160000000002,4.602234934293625E-13
bio1,-218.49920000000003,5.536807991257664E-13
bio1,-217.17680000000001,6.657205169069424E-13
bio1,-215.8544,7.999544494700916E-13
bio1,-214.53200000000004,9.606815126392276E-13
bio1,-213.20960000000002,1.153013665447511E-12
bio1,-211.8872,1.3830231447922725E-12
bio1,-210.5648,1.657929978200745E-12
bio1,-209.24240000000003,1.9862952428673086E-12
bio1,-207.92000000000002,2.378275961584242E-12
