variable,x,y
bio11,-557.1,1.5909423112248078E-8
bio11,-555.2736,1.5909423112248078E-8
bio11,-553.4472000000001,1.5909423112248078E-8
bio11,-551.6208,1.5909423112248078E-8
bio11,-549.7944,1.5909423112248078E-8
bio11,-547.9680000000001,1.5909423112248078E-8
bio11,-546.1416,1.5909423112248078E-8
bio11,-544.3152,1.5909423112248078E-8
bio11,-542.4888,1.5909423112248078E-8
bio11,-540.6624,1.5909423112248078E-8
bio11,-538.836,1.5909423112248078E-8
bio11,-537.0096,1.5909423112248078E-8
bio11,-535.1832,1.5909423112248078E-8
bio11,-533.3568,1.5909423112248078E-8
bio11,-531.5304,1.5909423112248078E-8
bio11,-529.7040000000001,1.5909423112248078E-8
bio11,-527.8776,1.5909423112248078E-8
bio11,-526.0512,1.5909423112248078E-8
bio11,-524.2248,1.5909423112248078E-8
bio11,-522.3984,1.5909423112248078E-8
bio11,-520.572,1.5909423112248078E-8
bio11,-518.7456,1.5909423112248078E-8
bio11,-516.9192,1.5909423112248078E-8
bio11,-515.0928,1.5909423112248078E-8
bio11,-513.2664,1.5909423112248078E-8
bio11,-511.44000000000005,1.5909423112248078E-8
bio11,-509.6136,1.5909423112248078E-8
bio11,-507.78720000000004,1.5909423112248078E-8
bio11,-505.9608,1.5909423112248078E-8
bio11,-504.1344,1.5909423112248078E-8
bio11,-502.308,1.5909423112248078E-8
bio11,-500.4816,1.5909423112248078E-8
bio11,-498.65520000000004,1.5909423112248078E-8
bio11,-496.8288,1.5909423112248078E-8
bio11,-495.0024,1.5909423112248078E-8
bio11,-493.17600000000004,1.5909423112248078E-8
bio11,-491.3496,1.5909423112248078E-8
bio11,-489.52320000000003,1.5909423112248078E-8
bio11,-487.69680000000005,1.5909423112248078E-8
bio11,-485.8704,1.5909423112248078E-8
bio11,-484.04400000000004,1.5909423112248078E-8
bio11,-482.2176,1.5909423112248078E-8
bio11,-480.3912,1.648661829278808E-8
bio11,-478.5648,1.8343106589213676E-8
bio11,-476.7384,2.0402211475811782E-8
bio11,-474.91200000000003,2.2685384237774997E-8
bio11,-473.0856,2.5216106536163352E-8
bio11,-471.2592,2.8020410880458257E-8
bio11,-469.43280000000004,3.11267633890111E-8
bio11,-467.6064,3.456664643408658E-8
bio11,-465.78000000000003,3.837470430312351E-8
bio11,-463.9536,4.258884445107469E-8
bio11,-462.1272,4.7251024426486765E-8
bio11,-460.3008,5.2407038708679465E-8
bio11,-458.4744,5.810754899471249E-8
bio11,-456.648,6.440780708771854E-8
bio11,-454.8216,7.136890189940459E-8
bio11,-452.9952,7.905740062597033E-8
bio11,-451.16880000000003,8.754685865142164E-8
bio11,-449.3424,9.691737545836077E-8
bio11,-447.516,1.0725739940653511E-7
bio11,-445.68960000000004,1.1866316640407604E-7
bio11,-443.8632,1.3124086706284288E-7
bio11,-442.0368,1.4510598589367874E-7
bio11,-440.21040000000005,1.603858521548318E-7
bio11,-438.384,1.772188085169546E-7
bio11,-436.5576,1.9575736587285064E-7
bio11,-434.7312,2.161670380473879E-7
bio11,-432.9048,2.3863015030656243E-7
bio11,-431.0784,2.633444751154457E-7
bio11,-429.252,2.9052728223177837E-7
bio11,-427.42560000000003,3.2041594977272325E-7
bio11,-425.5992,3.5326806369084807E-7
bio11,-423.7728,3.8936698842917394E-7
bio11,-421.94640000000004,4.2901942265416437E-7
bio11,-420.12,4.725625046830828E-7
bio11,-418.2936,5.203609134696308E-7
bio11,-416.4672,5.728151677431015E-7
bio11,-414.6408,6.30358329090086E-7
bio11,-412.8144,6.934655516488419E-7
bio11,-410.98800000000006,7.6265024517852E-7
bio11,-409.1616,8.384755574297742E-7
bio11,-407.3352,9.215490877068078E-7
bio11,-405.5088,1.0125372682523448E-6
bio11,-403.68240000000003,1.1121583156636916E-6
bio11,-401.856,1.2211997955091647E-6
bio11,-400.0296,1.3405095842244918E-6
