x,y,species logistic values
1.0,1.0,0.49012494
2.0,2.0,8.162828E-11
3.0,3.0,0.42277852
4.0,4.0,0.44956642
5.0,5.0,0.55714643
6.0,6.0,0.35655895
7.0,7.0,4.994775E-8
8.0,8.0,0.5711429
9.0,9.0,0.37626466
10.0,10.0,0.0129060075
11.0,11.0,0.442571
12.0,12.0,0.48279595
13.0,13.0,0.29329404
14.0,14.0,0.4649315
15.0,15.0,1.8880209E-4
16.0,16.0,0.417785
17.0,17.0,0.04977496
18.0,18.0,0.27084208
19.0,19.0,0.006883109
20.0,20.0,0.12103025
21.0,21.0,0.35908267
22.0,22.0,0.33205512
23.0,23.0,0.564281
24.0,24.0,0.03344244
25.0,25.0,0.0034753014
26.0,26.0,1.06462714E-7
27.0,27.0,0.009059663
28.0,28.0,0.30948123
29.0,29.0,0.41427484
30.0,30.0,0.011305309
31.0,31.0,1.1872942E-5
32.0,32.0,1.42228255E-5
33.0,33.0,3.668834E-9
34.0,34.0,0.3661641
35.0,35.0,2.945995E-4
36.0,36.0,0.50381553
37.0,37.0,0.33535478
38.0,38.0,4.221937E-5
39.0,39.0,9.233155E-5
40.0,40.0,2.3032756E-12
41.0,41.0,0.26751915
42.0,42.0,0.5745192
43.0,43.0,0.0059906654
44.0,44.0,6.3883613E-6
45.0,45.0,0.019623835
46.0,46.0,0.48747867
47.0,47.0,0.5499327
48.0,48.0,5.026886E-10
49.0,49.0,0.552153
50.0,50.0,0.2422248
51.0,51.0,0.42950204
52.0,52.0,0.5615594
53.0,53.0,4.004878E-5
54.0,54.0,0.56183636
55.0,55.0,5.5142397E-9
56.0,56.0,0.12917979
57.0,57.0,0.54770094
58.0,58.0,6.860472E-4
59.0,59.0,9.6129684E-4
60.0,60.0,3.2887128E-4
61.0,61.0,0.35066786
62.0,62.0,1.8660444E-9
63.0,63.0,0.014573265
64.0,64.0,0.5308302
65.0,65.0,0.009644581
66.0,66.0,1.994277E-8
67.0,67.0,0.0010098778
68.0,68.0,3.0101592E-8
69.0,69.0,0.5754481
70.0,70.0,0.3872967
71.0,71.0,0.026604613
72.0,72.0,0.5588027
73.0,73.0,4.6778838E-5
74.0,74.0,1.0859096E-6
75.0,75.0,0.30550018
76.0,76.0,0.36007407
77.0,77.0,0.08868
78.0,78.0,0.4204904
79.0,79.0,0.0035189635
80.0,80.0,2.5953148E-7
81.0,81.0,0.019932842
82.0,82.0,3.2698124E-5
83.0,83.0,0.33701357
84.0,84.0,0.34842643
85.0,85.0,3.482737E-4
86.0,86.0,1.5207522E-9
87.0,87.0,0.0033976608
88.0,88.0,0.005455824
89.0,89.0,2.7524797E-8
90.0,90.0,0.5610962
91.0,91.0,1.0445586E-9
92.0,92.0,7.128027E-10
93.0,93.0,0.46891406
94.0,94.0,1.0476975E-11
95.0,95.0,0.49970347
96.0,96.0,1.1267558E-4
97.0,97.0,1.4488924E-4
98.0,98.0,0.28376213
99.0,99.0,0.114473656
100.0,100.0,0.047623582
101.0,101.0,0.52063227
102.0,102.0,3.1380679E-10
103.0,103.0,8.599283E-5
104.0,104.0,2.1910537E-6
105.0,105.0,0.5814352
106.0,106.0,0.0042141583
107.0,107.0,0.5126631
108.0,108.0,0.41166106
109.0,109.0,0.37546375
110.0,110.0,9.653222E-11
111.0,111.0,0.44233733
112.0,112.0,0.22051178
113.0,113.0,0.006611712
114.0,114.0,0.38344786
115.0,115.0,0.5115149
116.0,116.0,0.021692833
117.0,117.0,0.23105057
118.0,118.0,0.47643766
119.0,119.0,0.4563428
120.0,120.0,0.53051794
121.0,121.0,3.762626E-4
122.0,122.0,0.008584753
123.0,123.0,1.9928306E-8
124.0,124.0,7.513012E-4
125.0,125.0,2.4618636E-8
126.0,126.0,2.0987125E-6
127.0,127.0,2.6364487E-6
128.0,128.0,0.016632196
129.0,129.0,0.5802039
130.0,130.0,0.5738871
131.0,131.0,0.36788446
132.0,132.0,0.5336513
133.0,133.0,0.43462756
134.0,134.0,0.103244804
135.0,135.0,0.39323696
136.0,136.0,4.670374E-8
137.0,137.0,0.53758997
138.0,138.0,1.8372177E-11
139.0,139.0,0.30273613
140.0,140.0,0.38464653
141.0,141.0,5.386299E-4
142.0,142.0,0.35838792
