Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.50085E-12,0.000000001,0.000000001,0.966769706,0,0
3.00947E-12,0.000000003,0.000000002,0.962132921,0,0
8.79177E-12,0.00000001,0.000000007,0.952086553,0,0
2.04764E-11,0.000000026,0.000000016,0.944358578,0,0
6.30978E-11,0.000000106,0.000000049,0.928902628,0,0
1.36547E-10,0.00000025,0.000000106,0.917310665,0,0
4.95697E-10,0.000001048,0.000000386,0.897217929,0,0
1.39277E-9,0.000002578,0.000001086,0.884080371,0,0
8.12206E-9,0.000010549,0.000006333,0.870942813,0,0
1.82422E-8,0.000026357,0.000014223,0.860896445,0,0
2.97957E-8,0.000052245,0.00002323,0.85316847,0,0
5.2038E-8,0.000101086,0.000040571,0.8438949,0,0
9.32676E-8,0.00025774,0.000072713,0.827666151,0,0
2.25281E-7,0.000502482,0.000175616,0.813755796,0,0
4.82769E-7,0.001015343,0.000376263,0.802163833,0,0
9.40431E-7,0.002592516,0.000732695,0.783616692,0,0
2.55849E-6,0.005049091,0.001990826,0.771251932,0,0
4.01472E-6,0.01011234,0.003120414,0.759659969,0,0
8.06053E-6,0.025741521,0.006245363,0.739567233,0,0
1.26356E-5,0.050798716,0.009755564,0.721020093,0,0
2.60855E-5,0.10258771,0.019932843,0.699381762,0,0
4.354E-5,0.203019386,0.032832587,0.676970634,0,0
7.20547E-5,0.306380305,0.053191164,0.663060278,0,0
1.01649E-4,0.40835669,0.073433455,0.653786708,0,0
1.21875E-4,0.509670928,0.086777091,0.64683153,0,0
1.35473E-4,0.600335939,0.095534249,0.641421947,0,0
1.49055E-4,0.700636947,0.104115022,0.636012365,0,0
1.64425E-4,0.765430265,0.113631212,0.632921175,0,0
1.70364E-4,0.816066953,0.117254172,0.630602782,0,0
1.77015E-4,0.902662784,0.12127686,0.626738794,0,0
1.97369E-4,1.015318023,0.133362007,0.622102009,0,0
2.30168E-4,1.104473792,0.152152223,0.619010819,0,0
2.47077E-4,1.201766116,0.161523961,0.615919629,0,0
2.65484E-4,1.306118487,0.171494145,0.612828439,0,0
2.89886E-4,1.416713768,0.184350869,0.609737249,0,0
3.40866E-4,1.509765442,0.209964379,0.607418856,0,0
3.62834E-4,1.756751375,0.220511785,0.602009274,0,0
3.88045E-4,2.02606437,0.232275081,0.596599691,0,0
4.22549E-4,2.271103104,0.247810242,0.591962906,0.003333333,0
4.61121E-4,2.536241936,0.264449046,0.587326121,0.006666667,0
5.0168E-4,2.778524021,0.281169246,0.583462133,0.006666667,0
5.13957E-4,3.033761249,0.286081806,0.579598145,0.01,0
5.39423E-4,3.299276654,0.296059864,0.575734158,0.01,0
5.5682E-4,3.518112386,0.302717922,0.572642968,0.01,0
5.80798E-4,3.80298599,0.31169037,0.56877898,0.01,0
6.05486E-4,4.04273636,0.320690506,0.56568779,0.016666667,0
6.20018E-4,4.289063307,0.325879166,0.5625966,0.016666667,0
6.28475E-4,4.539356755,0.328862411,0.55950541,0.016666667,0
6.39323E-4,4.79442698,0.332650694,0.556414219,0.02,0
6.61616E-4,5.05532918,0.340302752,0.553323029,0.023333333,0
6.73319E-4,5.256004467,0.344249868,0.551004637,0.026666667,0
6.85353E-4,5.528522868,0.348259788,0.547913447,0.033333333,0
6.92651E-4,5.804577225,0.35066787,0.544822257,0.033333333,0
6.97142E-4,6.013415971,0.35214085,0.542503864,0.036666667,0
7.02817E-4,6.293388936,0.353992685,0.539412674,0.04,0
7.10735E-4,6.505824541,0.356558943,0.537094281,0.04,0
7.14841E-4,6.791081044,0.35788136,0.534003091,0.043333333,0
7.21685E-4,7.006749706,0.360074074,0.531684699,0.043333333,0
7.29505E-4,7.297804122,0.362561273,0.528593509,0.046666667,0
7.38854E-4,7.517848184,0.365509288,0.526275116,0.05,0
7.46285E-4,7.815036331,0.367833241,0.523183926,0.056666667,0
7.46685E-4,8.038981012,0.367957983,0.520865533,0.056666667,0
7.62249E-4,8.266269427,0.372768454,0.518547141,0.063333333,0
7.70602E-4,8.573379969,0.375320278,0.515455951,0.066666667,0
7.80665E-4,8.883295889,0.378367094,0.51236476,0.066666667,0
7.89851E-4,9.040668009,0.38112256,0.510819165,0.07,0
7.93712E-4,9.27839322,0.382273226,0.508500773,0.07,0
7.96869E-4,9.517165761,0.383211012,0.50618238,0.073333333,0
7.97247E-4,9.756312904,0.383323344,0.503863988,0.076666667,0
8.00901E-4,10.075944464,0.384404867,0.500772798,0.08,0
8.10788E-4,10.318268771,0.387312343,0.498454405,0.08,0
8.14492E-4,10.562324158,0.388394348,0.496136012,0.086666667,0
8.17251E-4,10.807210543,0.389197936,0.49381762,0.09,0
8.26389E-4,11.053649026,0.391844579,0.491499227,0.09,0
8.31918E-4,11.30292367,0.393434728,0.489180835,0.093333333,0
8.33631E-4,11.636066462,0.393925751,0.486089645,0.103333333,0
8.34812E-4,11.802978078,0.39426391,0.484544049,0.103333333,0
8.36212E-4,12.137168729,0.394664029,0.481452859,0.103333333,0
8.39508E-4,12.304843433,0.395604245,0.479907264,0.103333333,0
8.50366E-4,12.558824135,0.398681095,0.477588872,0.106666667,0
8.53331E-4,12.814459182,0.3995158,0.475270479,0.113333333,0
8.65203E-4,13.072100998,0.402834946,0.472952087,0.113333333,0
8.71316E-4,13.332868184,0.404529765,0.470633694,0.12,0
8.7369E-4,13.507526142,0.405185225,0.469088099,0.123333333,0
8.85753E-4,13.772124208,0.408494438,0.466769706,0.123333333,0
8.89648E-4,14.038408201,0.409554925,0.464451314,0.13,0
8.932E-4,14.306085267,0.41051887,0.462132921,0.13,0
9.02214E-4,14.575416214,0.412950946,0.459814529,0.133333333,0
9.04224E-4,14.756074524,0.413490508,0.458268934,0.136666667,0
