x,y,species logistic values
1.0,1.0,0.4747108
2.0,2.0,0.5180871
3.0,3.0,0.44698817
4.0,4.0,0.5399606
5.0,5.0,0.31609026
6.0,6.0,0.48041102
7.0,7.0,0.531249
8.0,8.0,0.41501397
9.0,9.0,0.2352683
10.0,10.0,0.44758078
11.0,11.0,0.21834208
12.0,12.0,0.47910455
13.0,13.0,0.12482211
14.0,14.0,0.45741487
15.0,15.0,0.47012842
16.0,16.0,0.5035093
17.0,17.0,0.46622595
18.0,18.0,0.51195157
19.0,19.0,0.45532653
20.0,20.0,0.5335844
21.0,21.0,0.504209
22.0,22.0,0.5138598
23.0,23.0,0.5427903
24.0,24.0,0.2654572
25.0,25.0,0.5083784
26.0,26.0,0.4759205
27.0,27.0,0.544158
28.0,28.0,0.48694417
29.0,29.0,0.4783543
30.0,30.0,0.4598648
31.0,31.0,0.35891542
32.0,32.0,0.44980267
33.0,33.0,0.45039433
34.0,34.0,0.47846135
35.0,35.0,0.47754568
36.0,36.0,0.49615437
37.0,37.0,0.17975453
38.0,38.0,0.55037314
39.0,39.0,0.45502058
40.0,40.0,0.44698817
41.0,41.0,0.5092584
42.0,42.0,0.18332575
43.0,43.0,0.5232536
44.0,44.0,0.33469555
45.0,45.0,0.5495704
46.0,46.0,0.5255364
47.0,47.0,0.47096628
48.0,48.0,0.39068565
49.0,49.0,0.46091527
50.0,50.0,0.27786562
51.0,51.0,0.5241624
52.0,52.0,0.49683455
53.0,53.0,0.20561554
54.0,54.0,0.43382156
55.0,55.0,0.51246566
56.0,56.0,0.42749497
57.0,57.0,0.46335882
58.0,58.0,0.4234245
59.0,59.0,0.5083784
60.0,60.0,0.45176822
61.0,61.0,0.47852525
62.0,62.0,0.5055103
63.0,63.0,0.53999114
64.0,64.0,0.4551155
65.0,65.0,0.46074018
66.0,66.0,0.4722982
67.0,67.0,0.46890554
68.0,68.0,0.4622763
69.0,69.0,0.46822003
70.0,70.0,0.45532653
71.0,71.0,0.4719726
72.0,72.0,0.53147364
73.0,73.0,0.41495678
74.0,74.0,0.35198623
75.0,75.0,0.46529433
76.0,76.0,0.52725244
77.0,77.0,0.3856241
78.0,78.0,0.32450655
79.0,79.0,0.42952502
80.0,80.0,0.4448635
81.0,81.0,0.5432669
82.0,82.0,0.4553723
83.0,83.0,0.316756
84.0,84.0,0.44977018
85.0,85.0,0.45451805
86.0,86.0,0.5398493
87.0,87.0,0.38561216
88.0,88.0,0.51645964
89.0,89.0,0.550805
90.0,90.0,0.47127485
91.0,91.0,0.3769851
92.0,92.0,0.3955641
93.0,93.0,0.35719347
94.0,94.0,0.45802182
95.0,95.0,0.45268166
96.0,96.0,0.45191213
97.0,97.0,0.44475427
98.0,98.0,0.38158214
99.0,99.0,0.27172574
100.0,100.0,0.53978294
101.0,101.0,0.44353706
102.0,102.0,0.49371675
103.0,103.0,0.45877013
104.0,104.0,0.35129198
105.0,105.0,0.543526
106.0,106.0,0.45427838
107.0,107.0,0.46177065
108.0,108.0,0.44989017
109.0,109.0,0.43668136
110.0,110.0,0.45526847
111.0,111.0,0.4691634
112.0,112.0,0.46428835
113.0,113.0,0.5083784
114.0,114.0,0.27063978
115.0,115.0,0.35029072
116.0,116.0,0.30598664
117.0,117.0,0.47182366
118.0,118.0,0.49033925
