Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.54114E-4,0.035411366,0.12482211,1,0,0
5.44106E-4,0.089821963,0.179754524,0.997590361,0,0
5.57342E-4,0.145556205,0.183325749,0.995180723,0,0
6.42647E-4,0.209820933,0.205615531,0.992771084,0,0
7.63839E-4,0.355558302,0.235268298,0.987951807,0,0
8.97274E-4,0.445285664,0.265457198,0.985542169,0,0
9.21291E-4,0.537414813,0.270639781,0.98313253,0,0
9.26368E-4,0.630051573,0.271725757,0.980722892,0,0
9.55354E-4,0.725586961,0.27786561,0.978313253,0,0
1.09467E-3,0.835053696,0.305986655,0.975903614,0,0
1.14752E-3,0.949805573,0.316090246,0.973493976,0,0
1.15106E-3,1.064911204,0.316756022,0.971084337,0,0
1.16678E-3,1.181588888,0.319699064,0.968674699,0,0
1.19275E-3,1.300864005,0.324506563,0.96626506,0.00330033,0
1.24904E-3,1.425768202,0.334695562,0.963855422,0.00330033,0
1.33862E-3,1.55963012,0.350290708,0.961445783,0.00330033,0
1.34862E-3,1.828943664,0.351986219,0.956626506,0.00330033,0
1.39003E-3,2.105912281,0.358915433,0.951807229,0.00330033,0
1.46057E-3,2.251969536,0.370383556,0.94939759,0.00330033,0
1.48444E-3,2.696782729,0.374171462,0.942168675,0.01320132,0
1.49872E-3,2.846654247,0.376415187,0.939759036,0.01650165,0
1.52954E-3,3.149844371,0.381206418,0.934939759,0.01980198,0
1.52954E-3,3.302798746,0.381206418,0.930120482,0.01980198,0
1.53198E-3,3.608991679,0.381582154,0.927710843,0.02970297,0
1.54925E-3,3.76391661,0.384230581,0.925301205,0.02970297,0
1.55839E-3,4.075587727,0.385624098,0.920481928,0.0330033,0
1.60169E-3,4.394953502,0.392136745,0.915662651,0.0330033,0
1.62485E-3,4.557438814,0.395564094,0.913253012,0.03630363,0
1.65499E-3,4.887740204,0.399966658,0.908433735,0.03960396,0
1.65575E-3,5.05331559,0.400077112,0.906024096,0.04290429,0
1.67119E-3,5.386299871,0.402306342,0.901204819,0.04950495,0
1.69482E-3,5.555781723,0.405686911,0.898795181,0.052805281,0
1.74221E-3,5.900968198,0.412353491,0.893975904,0.059405941,0
1.7517E-3,6.076138399,0.413670457,0.891566265,0.062706271,0
1.76101E-3,6.252239641,0.414956781,0.889156627,0.066006601,0
1.77795E-3,6.606177109,0.417282114,0.884337349,0.066006601,0
1.79488E-3,6.78566487,0.419588372,0.881927711,0.069306931,0
1.80428E-3,7.326741157,0.420860804,0.874698795,0.079207921,0
1.81326E-3,7.508067396,0.422072195,0.872289157,0.082508251,0
1.82336E-3,7.872737761,0.423428049,0.86746988,0.085808581,0
1.85396E-3,8.05813327,0.427494975,0.865060241,0.089108911,0
1.86939E-3,8.431849787,0.429525016,0.860240964,0.092409241,0
1.90242E-3,8.622091307,0.433821561,0.857831325,0.092409241,0
1.92468E-3,8.814559091,0.436681368,0.855421687,0.092409241,0
1.92824E-3,9.007383501,0.437136798,0.853012048,0.092409241,0
1.97455E-3,9.402066207,0.442983861,0.848192771,0.099009901,0
1.97898E-3,9.59996409,0.443537049,0.845783133,0.102310231,0
1.98587E-3,9.798550719,0.444394707,0.843373494,0.102310231,0
1.98876E-3,10.196274636,0.444754283,0.838554217,0.108910891,0
1.98964E-3,10.395238628,0.444863497,0.836144578,0.108910891,0
1.99292E-3,10.594530785,0.445270526,0.83373494,0.108910891,0
