"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"1","L_0.5","L",0.5,0.717673635277085,0.71641987362295,0.000495959118818107,0.00910183119442085,0.000337443606222068,0.00164473684210526,1.08206371191136e-05,0.102235099337748,0.00178498576426015,12905.9988072484,311.807850030626,1.733585751598e-68,4
"2","LQ_0.5","LQ",0.5,0.722140241449283,0.719598463335713,0.000719448034792898,0.0103793219294175,0.000324520786303738,0.00330036598117811,1.4523537191979e-05,0.103814482398048,0.000480394178040821,12816.759423836,222.568466618233,4.14029437982841e-49,8
"3","H_0.5","H",0.5,0.804317278806086,0.794562444975455,0.000298059904687472,0.0140480659231749,0.000200844710368648,0.00164473684210526,1.08206371191136e-05,0.113704688044615,0.00172396748238189,12757.9901355417,163.799178324021,2.39122271111289e-36,40
"4","LQH_0.5","LQH",0.5,0.803843013916664,0.793092183897387,0.000364146480640133,0.0149409352667302,0.000239942864999554,0.00164473684210526,1.08206371191136e-05,0.112049058905542,0.00165216969265737,12764.230426865,170.039469647292,1.05574244746402e-37,38
"5","L_1","L",1,0.717269849380519,0.716008956380486,0.000450482080209741,0.00878727851636785,0.000311370048186345,0.00164473684210526,1.08206371191136e-05,0.0972791042174974,0.00131115107248135,12914.7570614256,320.566104207903,2.17327457223177e-70,4
"6","LQ_1","LQ",1,0.720777647587416,0.719150723916424,0.000772693342575388,0.0103471872281588,0.000333290721272392,0.00164473684210526,1.08206371191136e-05,0.102158853258975,0.000307987859337219,12829.8018018389,235.610844621175,6.09417361136732e-52,6
"7","H_1","H",1,0.797408869193926,0.789836454976331,0.000271946579859007,0.0111280115212234,0.000140801102069558,0.00164473684210526,1.08206371191136e-05,0.102126176368073,0.00110699880814707,12626.6620732876,32.4711160698644,7.87311155155032e-08,29
"8","LQH_1","LQH",1,0.796944882490963,0.787241156503319,0.000342140000925172,0.0125399903898638,0.000163225516149207,0.00164473684210526,1.08206371191136e-05,0.117005054025793,0.00120712833928693,12630.9503274604,36.7593702427148,9.22494621489085e-09,30
"9","L_1.5","L",1.5,0.716150995368943,0.715299782418116,0.000447370468430258,0.00853989484648351,0.000306009556689366,0.00164473684210526,1.08206371191136e-05,0.100568577901708,0.00125133898562426,12922.2286047695,328.03764755181,5.18429344641125e-72,3
"10","LQ_1.5","LQ",1.5,0.720488390054239,0.718722759549651,0.000790054569788784,0.0102808671126439,0.000324492798711073,0.00164473684210526,1.08206371191136e-05,0.0988584872777971,0.000205164202635975,12837.7743876596,243.583430441891,1.13159184260782e-53,6
"11","H_1.5","H",1.5,0.792755787353132,0.782593757047957,0.000296593926284568,0.0107042466554261,0.000143474842856299,0.00164473684210526,1.08206371191136e-05,0.107071279191356,0.00168093629703837,12594.1909572177,0,0.885441085851174,24
"12","LQH_1.5","LQH",1.5,0.789744278720924,0.779062109352914,0.000272492681208484,0.0117428067277369,0.000145483071404289,0.00164473684210526,1.08206371191136e-05,0.116983269431858,0.00122744177077005,12598.2871805328,4.09622331504033,0.114202622998164,25
"13","L_2","L",2,0.715615061360773,0.714823336651115,0.000428796949840018,0.00843910244917209,0.000292043394855028,0.00164473684210526,1.08206371191136e-05,0.103858051585918,0.00127809199572009,12924.5092970034,330.318339785636,1.65746188395844e-72,3
"14","LQ_2","LQ",2,0.719422395287305,0.717804195254578,0.000767747341121806,0.0100149304941147,0.000304317832617621,0.00164473684210526,1.08206371191136e-05,0.100492331822935,0.000125630945824856,12847.0813227953,252.890365577592,1.07823772234671e-55,6
"15","H_2","H",2,0.785171954059443,0.77838434539664,0.000204978265772853,0.00880158152903193,0.000134989120823499,0.00164473684210526,1.08206371191136e-05,0.108705123736494,0.000988903377866946,12609.8627014986,15.6717442808294,0.000350012567683521,21
"16","LQH_2","LQH",2,0.781433630813416,0.773534021089662,0.000206106710561452,0.0101288191231013,0.000103689507900346,0.00164473684210526,1.08206371191136e-05,0.116994161728825,0.000914115648195518,12618.0502234493,23.8592662316005,5.83694816707957e-06,21
"17","L_2.5","L",2.5,0.715054166042634,0.714167769875782,0.000418777085034306,0.00839164525329258,0.000281969183688143,0.00164473684210526,1.08206371191136e-05,0.102213314743813,0.00131160491818833,12927.558380215,333.367422997298,3.60863986940602e-73,3
"18","LQ_2.5","LQ",2.5,0.718523788128401,0.717272627863529,0.000769257714463568,0.00969544190639876,0.000282817004339005,0.00164473684210526,1.08206371191136e-05,0.105437434646218,0.000115541618814972,12854.9380854058,260.747128188043,2.12148613590603e-57,5
"19","H_2.5","H",2.5,0.782018019129173,0.774915105126781,0.000171179412174455,0.00757612118216988,0.000130006371794321,0.00164473684210526,1.08206371191136e-05,0.105426542349251,0.000660906127286701,12623.6605360614,29.4695788436893,3.53119688036195e-07,17
"20","LQH_2.5","LQH",2.5,0.777755508373785,0.771002916300872,0.000211677592359809,0.00853063064753573,7.82907401714852e-05,0.00164473684210526,1.08206371191136e-05,0.113704688044615,0.000569766189676442,12636.5906199228,42.3996627051038,5.49781214535697e-10,18
"21","L_3","L",3,0.714480055913334,0.713284804558409,0.000385872138784122,0.00838551965642004,0.000280389690258435,0.00164473684210526,1.08206371191136e-05,0.0989238410596026,0.00155897471511006,12931.3081844375,337.117227219782,5.5345702209714e-74,3
"22","LQ_3","LQ",3,0.717727962834078,0.716471898417468,0.000755051745856584,0.00953121568549162,0.00027263859271809,0.00328947368421053,1.44275161588181e-05,0.102147960962008,0.00018920794304311,12861.7935376227,267.602580404959,6.8864859154042e-59,5
"23","H_3","H",3,0.778886108884171,0.771272257952581,0.000198953651489894,0.00796838605683284,0.000174514792666781,0.00164473684210526,1.08206371191136e-05,0.115338532589753,0.000770275824141536,12647.5308640156,53.3399067978989,2.3149737790633e-12,16
"24","LQH_3","LQH",3,0.774959841657196,0.768348787774719,0.000233826144936275,0.00845431108720351,7.9129333254083e-05,0.00164473684210526,1.08206371191136e-05,0.110404322063437,0.000480841696167365,12645.3891986955,51.1982414777867,6.75464908402451e-12,14
"25","L_3.5","L",3.5,0.713654864371988,0.712177023008259,0.000357711300935627,0.00833326520713756,0.00027947775981645,0.00164473684210526,1.08206371191136e-05,0.102213314743813,0.00131160491818833,12940.2809001672,346.089942949448,6.23280353241331e-76,4
"26","LQ_3.5","LQ",3.5,0.716962972099129,0.715699496709866,0.000714856441473506,0.00934626989453044,0.000257325375911705,0.00328947368421053,1.44275161588181e-05,0.102147960962008,0.00018920794304311,12869.4241264727,275.233169255007,1.51717734118639e-60,5
"27","H_3.5","H",3.5,0.775815867757916,0.768163191577369,0.000201746740036521,0.00813211453121085,0.000189939235599668,0.00164473684210526,1.08206371191136e-05,0.11368290345068,0.00142745073543291,12664.8891195192,70.6981623015163,3.93775585505794e-16,15
"28","LQH_3.5","LQH",3.5,0.772802890813357,0.765391014627753,0.000232704674528594,0.00860597490232481,8.72351684738359e-05,0.00164473684210526,1.08206371191136e-05,0.11205995120251,0.000559901017203608,12652.3316811288,58.1407239110467,2.09923899843506e-13,11
"29","L_4","L",4,0.711917850860578,0.710664712033297,0.00032347921219905,0.00813830727281817,0.000267024662842476,0.00164473684210526,1.08206371191136e-05,0.100568577901708,0.00151103427648299,12950.2092747055,356.01831748774,4.35275576460021e-78,4
"30","LQ_4","LQ",4,0.715965988012698,0.714641740120745,0.000703278833849554,0.00949242733288849,0.000248546428084475,0.00493421052631579,3.96756694367498e-05,0.0988802718717323,0.000299023101560845,12877.7137963935,283.522839175779,2.40412694663115e-62,5
"31","H_4","H",4,0.773480516963413,0.766349531906936,0.000169728328244453,0.00731599460301816,0.00018141733464277,0.00164473684210526,1.08206371191136e-05,0.112016382014639,0.0010069901337936,12673.0743256976,78.8833684798556,6.57436554217723e-18,12
"32","LQH_4","LQH",4,0.770453591051517,0.762021188410565,0.000178614929874254,0.00833017236745992,8.79853557973295e-05,0.00164473684210526,1.08206371191136e-05,0.108748692924364,0.000769971625711934,12663.9681018316,69.7771446138522,6.24087143037826e-16,11
